Id;Country;StartDate;EndDate;Type;Name
4db4b984-9de1-4ece-92c0-5d1941da3709;AT;2020-01-01;;Public;DE Neujahr,EN New Year's Day
27792ba0-ce59-43d9-a2ac-937fe7a1739a;AT;2020-01-06;;Public;DE Heilige drei Könige,EN Epiphany
76fda190-a48a-4380-87c8-b11c363c2832;AT;2020-04-13;;Public;DE Ostermontag,EN Easter Monday
8b9d71ac-0b94-4cde-95eb-4facacb8b39c;AT;2020-05-01;;Public;DE Staatsfeiertag,EN Labour Day
f08cb0b9-e874-46c7-adb5-b91055b51ba5;AT;2020-05-21;;Public;DE Christi Himmelfahrt,EN Ascension Day
3c638954-82ed-475b-be09-51b1da5e9329;AT;2020-06-01;;Public;DE Pfingstmontag,EN Pentecost Monday
7cb84d17-1028-41c9-bca0-7706677383b4;AT;2020-06-11;;Public;DE Fronleichnam,EN Corpus Christi
360ab63b-b076-4885-9a6a-f0df71cd2462;AT;2020-08-15;;Public;DE Mariä Himmelfahrt,EN Assumption Day
cd16b6f6-be1e-425d-8def-5a03542b94dd;AT;2020-10-26;;Public;DE Nationalfeiertag,EN National Day
ef2e38e7-fddd-4d4a-a085-5979da6ef9f9;AT;2020-11-01;;Public;DE Allerheiligen,EN All Saints' Day
0da4df5b-3e58-4d6e-a562-13a60ccd3050;AT;2020-12-08;;Public;DE Mariä Empfängnis,EN Immaculate Conception
d3f57a19-215f-46a5-b4cf-e62a0e5987fb;AT;2020-12-25;;Public;DE Christtag,EN Christmas Day
80cf49a5-765c-4610-a242-f13ce086389e;AT;2020-12-26;;Public;DE Stefanitag,EN St Stephen's Day
6ca451d3-5d88-435e-b674-37fd72a2f17e;AT;2021-01-01;;Public;DE Neujahr,EN New Year's Day
9badbb6f-bb3d-47a0-a9ba-33a9152cac05;AT;2021-01-06;;Public;DE Heilige drei Könige,EN Epiphany
da4bf2b0-8655-4e83-a042-43f20e5bcb15;AT;2021-04-05;;Public;DE Ostermontag,EN Easter Monday
c59321eb-b3f0-4c8d-8741-89a469b7a0a7;AT;2021-05-01;;Public;DE Staatsfeiertag,EN Labour Day
ab8f614b-288f-4692-ae6d-3d6d921e3fbb;AT;2021-05-13;;Public;DE Christi Himmelfahrt,EN Ascension Day
6ddffc41-02b3-498d-ba10-3fce099aedd7;AT;2021-05-24;;Public;DE Pfingstmontag,EN Pentecost Monday
d23f88bf-a386-47e0-b8a1-5742bc90caeb;AT;2021-06-03;;Public;DE Fronleichnam,EN Corpus Christi
997052b6-d730-426f-83d4-a7350b7af3ce;AT;2021-08-15;;Public;DE Mariä Himmelfahrt,EN Assumption Day
552fd3bc-58cb-4490-a1f5-46ee42987ab1;AT;2021-10-26;;Public;DE Nationalfeiertag,EN National Day
a3f50483-cb5a-4f0f-96e2-80a9b7da0791;AT;2021-11-01;;Public;DE Allerheiligen,EN All Saints' Day
8e8b6a82-a5a9-47aa-a1b0-eb2b7b45232b;AT;2021-12-08;;Public;DE Mariä Empfängnis,EN Immaculate Conception
5547451e-7b57-43fb-bdc2-72089ae5b946;AT;2021-12-25;;Public;DE Christtag,EN Christmas Day
6442856e-0953-41de-8f42-745b35d36bc5;AT;2021-12-26;;Public;DE Stefanitag,EN St Stephen's Day
dbe5d6a7-2526-4029-b6d6-9d56736c6d33;AT;2022-01-01;;Public;DE Neujahr,EN New Year's Day
5c12a37d-81f2-4b82-abc0-c7568fec2be4;AT;2022-01-06;;Public;DE Heilige drei Könige,EN Epiphany
33b291d0-d41d-4df7-a3b7-bc1bdc53a599;AT;2022-04-17;;Public;DE Ostersonntag,EN Easter Sunday
1763752a-b476-433b-b7b8-37f912d78a64;AT;2022-04-18;;Public;DE Ostermontag,EN Easter Monday
9e08ca01-025d-4612-8a69-938dd7b6a855;AT;2022-05-01;;Public;DE Staatsfeiertag,EN Labour Day
91d693c6-0596-4d6c-ae97-c81e66f9d6cf;AT;2022-05-26;;Public;DE Christi Himmelfahrt,EN Ascension Day
d1d01f8b-cf0b-485e-a456-97b6e74cff8e;AT;2022-06-05;;Public;DE Pfingstsonntag,EN Pentecost Sunday
ba0ce895-d52f-42dd-8598-a97b8b02ea9f;AT;2022-06-06;;Public;DE Pfingstmontag,EN Pentecost Monday
cf2cde9c-d96e-49cd-9a78-fcde7d712618;AT;2022-06-16;;Public;DE Fronleichnam,EN Corpus Christi
9f6e2a31-191b-413e-8f65-82586089aaf6;AT;2022-08-15;;Public;DE Mariä Himmelfahrt,EN Assumption Day
3ae3d351-6887-4580-b376-949af2e573ff;AT;2022-10-26;;Public;DE Nationalfeiertag,EN National Day
8b13a4fe-0ec5-490a-9ada-f92dc2a1af37;AT;2022-11-01;;Public;DE Allerheiligen,EN All Saints' Day
fac63448-d230-4a44-bde0-450763c685a8;AT;2022-12-08;;Public;DE Mariä Empfängnis,EN Immaculate Conception
c9a97f7d-696c-47e8-b72e-d36586d0b35c;AT;2022-12-25;;Public;DE Christtag,EN Christmas Day
0620e029-2342-4bcf-b2f3-4b63220e5d5c;AT;2022-12-26;;Public;DE Stefanitag,EN St Stephen's Day
13f3463d-9e9f-4605-aeab-f4d9733d7bd7;AT;2023-01-01;;Public;DE Neujahr,EN New Year's Day
89cba73b-bb5d-44dd-b6ef-bead84113a54;AT;2023-01-06;;Public;DE Heilige drei Könige,EN Epiphany
