Id;Country;StartDate;EndDate;Type;Names;Subdivisions;Comments
c7ef9b93-b78c-4ccd-b5da-74a223d0de17;AT;2020-02-10;2020-02-15;School;DE Semesterferien,EN Semester Holidays;BL;
6c38f4b7-5de2-4b84-b01f-d867bc5ba265;AT;2020-04-04;2020-04-14;School;DE Osterferien,EN Easter Holidays;BL;
74804a6f-a027-4f6a-9c6c-7bba2430f7b6;AT;2020-05-30;2020-06-02;School;DE Pfingstferien,EN Pentecost Holidays;BL;
ce0e9b4e-c625-46b8-bcd7-21da2213806f;AT;2020-07-04;2020-09-06;School;DE Sommerferien,EN Summer Holidays;BL;
0738bd99-cae6-47e1-9156-245c457874d5;AT;2020-10-27;2020-10-31;School;DE Herbstferien,EN Autumn Holidays;BL;
7bcdaefe-a7b0-415d-b4a7-c4f09f2594c3;AT;2020-12-24;2021-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;BL;
3d461a4a-28f1-4565-9b4e-0dd26c1e2254;AT;2021-02-08;2021-02-13;School;DE Semesterferien,EN Semester Holidays;BL;
693cdede-7e1d-46f6-bfd3-1e57691cde15;AT;2021-03-27;2021-04-05;School;DE Osterferien,EN Easter Holidays;BL;
68a46fbe-14a4-46cd-aae3-a3e453cd0fbf;AT;2021-05-22;2021-05-24;School;DE Pfingstferien,EN Pentecost Holidays;BL;
18e678d4-f0e8-4ae6-9109-0f98da441f4e;AT;2021-07-03;2021-09-05;School;DE Sommerferien,EN Summer Holidays;BL;
e558688a-a122-4ee6-98f9-5dda1c38b382;AT;2021-10-27;2021-10-31;School;DE Herbstferien,EN Autumn Holidays;BL;
eeabc734-04cc-4b11-83a7-cdaeebceccc1;AT;2021-12-24;2022-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;BL;
c295b6f4-707b-4076-873e-af18a96dd20c;AT;2022-02-14;2022-02-19;School;DE Semesterferien,EN Semester Holidays;BL;
5061afda-e2d2-4749-8ce2-f62be716c79f;AT;2022-04-09;2022-04-18;School;DE Osterferien,EN Easter Holidays;BL;
25cdd3fe-6e55-42f8-bd05-0f5491f2dffa;AT;2022-06-04;2022-06-06;School;DE Pfingstferien,EN Pentecost Holidays;BL;
b958dc47-f61b-435d-a584-f42c0058f7e9;AT;2022-07-02;2022-09-04;School;DE Sommerferien,EN Summer Holidays;BL;
ea364b15-922f-4f7d-9c48-b6f769b52e6d;AT;2022-10-27;2022-10-31;School;DE Herbstferien,EN Autumn Holidays;BL;
6b578cf2-fac7-4ae7-bc5d-fc70ea38549a;AT;2022-12-24;2023-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;BL;
43ece0b9-2407-470d-acd8-818ef2a95d79;AT;2023-02-13;2023-02-18;School;DE Semesterferien,EN Semester Holidays;BL;
59d1fafb-ad16-4c0d-b027-512885ca8845;AT;2023-04-01;2023-04-10;School;DE Osterferien,EN Easter Holidays;BL;
1e5d1db2-cb84-4099-91e0-d7091cd6f50f;AT;2023-05-27;2023-05-29;School;DE Pfingstferien,EN Pentecost Holidays;BL;
265f7bb6-50df-44d1-a45a-890432cb8881;AT;2023-07-01;2023-09-03;School;DE Sommerferien,EN Summer Holidays;BL;
