Id;Country;StartDate;EndDate;Type;Names;Subdivisions;Comments
3906fd79-43c4-40f2-abed-dc2d7201307d;AT;2020-02-10;2020-02-15;School;DE Semesterferien,EN Semester Holidays;KÄ;
db85a63f-e128-4bac-b63c-4afcf44fedea;AT;2020-04-04;2020-04-14;School;DE Osterferien,EN Easter Holidays;KÄ;
c8673e81-57c7-456f-993c-1464d81d5c06;AT;2020-05-30;2020-06-02;School;DE Pfingstferien,EN Pentecost Holidays;KÄ;
e7c62166-6d24-45bb-aeed-e281e1dc0e24;AT;2020-07-11;2020-09-13;School;DE Sommerferien,EN Summer Holidays;KÄ;
81b1ed8e-27c2-4cc6-bc2b-74cef5701dc1;AT;2020-10-27;2020-10-31;School;DE Herbstferien,EN Autumn Holidays;KÄ;
652e0c25-5f5b-4967-a382-a8c67f38c0be;AT;2020-12-24;2021-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;KÄ;
9963953c-e474-4a03-9c4e-f008e8d24959;AT;2021-02-08;2021-02-13;School;DE Semesterferien,EN Semester Holidays;KÄ;
4adefc1b-68f3-49e2-884a-a04f07b83931;AT;2021-03-27;2021-04-05;School;DE Osterferien,EN Easter Holidays;KÄ;
c4187dd0-342e-4c96-bf9a-478a4ea3d772;AT;2021-05-22;2021-05-24;School;DE Pfingstferien,EN Pentecost Holidays;KÄ;
618f0b75-dec9-42e2-a2f0-3ea50c1d7dc0;AT;2021-07-10;2021-09-12;School;DE Sommerferien,EN Summer Holidays;KÄ;
61c60b96-48fd-470a-a099-2abb6485c424;AT;2021-10-27;2021-10-31;School;DE Herbstferien,EN Autumn Holidays;KÄ;
8c348e83-687a-418f-bc98-3d4ce5f9641d;AT;2021-12-24;2022-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;KÄ;
86f655a2-2c55-4b8f-9361-876b10552f2a;AT;2022-02-14;2022-02-19;School;DE Semesterferien,EN Semester Holidays;KÄ;
8a07d966-8be8-4290-90f0-bd831fbeb118;AT;2022-04-09;2022-04-18;School;DE Osterferien,EN Easter Holidays;KÄ;
52138948-71a9-4563-9ed1-4d180f616c48;AT;2022-06-04;2022-06-06;School;DE Pfingstferien,EN Pentecost Holidays;KÄ;
51b78953-04a6-4e81-8130-64a211476e46;AT;2022-07-09;2022-09-11;School;DE Sommerferien,EN Summer Holidays;KÄ;
1c7fc001-4138-4dd5-a87c-8cc430695962;AT;2022-10-27;2022-10-31;School;DE Herbstferien,EN Autumn Holidays;KÄ;
d355b690-f1c1-449b-a181-521a466f03fc;AT;2022-12-24;2023-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;KÄ;
78f4febf-66f0-4e38-8224-d8fb72e793a2;AT;2023-02-13;2023-02-18;School;DE Semesterferien,EN Semester Holidays;KÄ;
fbd794cb-f840-4530-8701-c22147888056;AT;2023-04-01;2023-04-10;School;DE Osterferien,EN Easter Holidays;KÄ;
592f2ab7-e6c9-43df-955b-ccbaf9b7145e;AT;2023-05-27;2023-05-29;School;DE Pfingstferien,EN Pentecost Holidays;KÄ;
28a32ffe-08da-4756-9b28-5b70ffa1a575;AT;2023-07-08;2023-09-10;School;DE Sommerferien,EN Summer Holidays;KÄ;
