Id;Country;StartDate;EndDate;Type;Names;Subdivisions;Comments
80d5ffd2-a765-4deb-983b-2227ebca5ab1;AT;2020-02-17;2020-02-23;School;DE Semesterferien,EN Semester Holidays;SM;
a97eda6e-9eff-4e1f-b071-10a515a2b944;AT;2020-04-04;2020-04-14;School;DE Osterferien,EN Easter Holidays;SM;
095c6260-0926-4ca7-9d40-ad7a8774d0d1;AT;2020-05-30;2020-06-02;School;DE Pfingstferien,EN Pentecost Holidays;SM;
3422a8b1-8edb-4f83-be6b-83452aacc6ac;AT;2020-07-11;2020-09-13;School;DE Sommerferien,EN Summer Holidays;SM;
41f1ba58-fa5a-44eb-9556-aba490778ce0;AT;2020-10-27;2020-10-31;School;DE Herbstferien,EN Autumn Holidays;SM;
c0d88942-36f7-4478-8bbe-395b62c945f8;AT;2020-12-24;2021-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;SM;
76c6a939-4392-4205-870c-eab7f66c43c8;AT;2021-02-08;2021-02-13;School;DE Semesterferien,EN Semester Holidays;SM;
67ff1841-7da2-43e2-8786-d3eba6dcbfde;AT;2021-03-27;2021-04-05;School;DE Osterferien,EN Easter Holidays;SM;
463d34ca-9872-4472-b7e9-7e59462f4ccf;AT;2021-05-22;2021-05-24;School;DE Pfingstferien,EN Pentecost Holidays;SM;
83116c36-6418-48bd-bd9a-83dd6dc5d15d;AT;2021-07-10;2021-09-12;School;DE Sommerferien,EN Summer Holidays;SM;
089757c9-5006-47a8-88ff-4a1134025e7e;AT;2021-10-27;2021-10-31;School;DE Herbstferien,EN Autumn Holidays;SM;
3bb17fe6-f929-4fad-bf08-b881429ff518;AT;2021-12-24;2022-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;SM;
d07f3807-5997-471b-87bc-90e12b64c746;AT;2022-02-21;2022-02-26;School;DE Semesterferien,EN Semester Holidays;SM;
7e52e13d-ab6d-4868-a50d-f6b39226ea7d;AT;2022-04-09;2022-04-18;School;DE Osterferien,EN Easter Holidays;SM;
a4cd0100-1d16-4952-ac4d-2104b44cc3b9;AT;2022-06-04;2022-06-06;School;DE Pfingstferien,EN Pentecost Holidays;SM;
c971a376-5107-4e3b-af1a-de91c3a6fe6a;AT;2022-07-09;2022-09-11;School;DE Sommerferien,EN Summer Holidays;SM;
bbad432e-9797-4301-8c40-9c43f7261ad1;AT;2022-10-27;2022-10-31;School;DE Herbstferien,EN Autumn Holidays;SM;
b01ea1d7-8c9a-49d2-9b5c-6921942e1ccb;AT;2022-12-24;2023-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;SM;
bab4a6a4-c566-4c36-a3fc-fcef23ced40c;AT;2023-02-20;2023-02-25;School;DE Semesterferien,EN Semester Holidays;SM;
a51e5e7d-bdb9-428e-80df-09b7ef8c67ae;AT;2023-04-01;2023-04-10;School;DE Osterferien,EN Easter Holidays;SM;
2f9c6036-8fe3-463a-a48a-d6ba15fab45d;AT;2023-05-27;2023-05-29;School;DE Pfingstferien,EN Pentecost Holidays;SM;
46892f4e-7368-48b1-9755-37573a021fc9;AT;2023-07-08;2023-09-10;School;DE Sommerferien,EN Summer Holidays;SM;
