Id;Country;StartDate;EndDate;Type;Names;Subdivisions;Comments
72bfe693-0414-4240-9433-b2d77145df1c;AT;2020-02-10;2020-02-15;School;DE Semesterferien,EN Semester Holidays;TI;
76cd74dc-fd7e-4db9-9f4f-98bc2949cee2;AT;2020-04-04;2020-04-14;School;DE Osterferien,EN Easter Holidays;TI;
b8c4ca0c-fb9f-4676-b15f-4bf0ff0f3690;AT;2020-05-30;2020-06-02;School;DE Pfingstferien,EN Pentecost Holidays;TI;
f8c94fbe-362e-4f86-bf48-7e66b0aadfe5;AT;2020-07-11;2020-09-13;School;DE Sommerferien,EN Summer Holidays;TI;
0eca4270-b023-48f5-a0d9-c011d70fa0b3;AT;2020-10-27;2020-10-31;School;DE Herbstferien,EN Autumn Holidays;TI;
35569c12-b095-4d77-960d-1d4c2cacdeba;AT;2020-12-24;2021-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;TI;
a44b39ae-e19d-46a4-9d7b-1969324cacb1;AT;2021-02-08;2021-02-13;School;DE Semesterferien,EN Semester Holidays;TI;
4498ed93-16fd-47c7-b3f3-4576e2b494f9;AT;2021-03-27;2021-04-05;School;DE Osterferien,EN Easter Holidays;TI;
90f67384-8e1f-4bdf-9dff-97062b243a2a;AT;2021-05-22;2021-05-24;School;DE Pfingstferien,EN Pentecost Holidays;TI;
cd60af1c-0fd6-4739-99f4-2d46753b0f61;AT;2021-07-10;2021-09-12;School;DE Sommerferien,EN Summer Holidays;TI;
696dcbf7-fd29-44ae-ae25-d7d6a9fd74c2;AT;2021-10-27;2021-10-31;School;DE Herbstferien,EN Autumn Holidays;TI;
087a94a6-bc23-441a-b01a-1da9e2ba7dcc;AT;2021-12-24;2022-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;TI;
59020ad6-abf0-4abd-840b-cd509e5d69ee;AT;2022-02-14;2022-02-19;School;DE Semesterferien,EN Semester Holidays;TI;
15f1dd36-f070-4c70-ac5f-8b2312f532e8;AT;2022-04-09;2022-04-18;School;DE Osterferien,EN Easter Holidays;TI;
088081f4-c3df-42a8-9bfc-ad1c4064dd73;AT;2022-06-04;2022-06-06;School;DE Pfingstferien,EN Pentecost Holidays;TI;
5cd07178-23b4-4b6f-bbdc-ac34f5c6fa09;AT;2022-07-09;2022-09-11;School;DE Sommerferien,EN Summer Holidays;TI;
c00f13fe-c1be-4963-a70e-a224630383cb;AT;2022-10-27;2022-10-31;School;DE Herbstferien,EN Autumn Holidays;TI;
39c51ad2-a4e1-4fb5-a872-74dda2704653;AT;2022-12-24;2023-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;TI;
de7f4b7e-350e-46cc-8844-c7b124bf1b8c;AT;2023-02-13;2023-02-18;School;DE Semesterferien,EN Semester Holidays;TI;
271acf19-0ed3-4811-a5d1-ae0315e4d908;AT;2023-04-01;2023-04-10;School;DE Osterferien,EN Easter Holidays;TI;
d51c0f4b-5591-42d8-a5a5-322c2a747cb1;AT;2023-05-27;2023-05-29;School;DE Pfingstferien,EN Pentecost Holidays;TI;
4c4310d2-2437-4639-ad2d-688f6c7c1ebd;AT;2023-07-08;2023-09-10;School;DE Sommerferien,EN Summer Holidays;TI;
