Id;Country;StartDate;EndDate;Type;Names;Subdivisions;Comments
cd454550-db78-4f59-ba89-ab30e34d5b87;AT;2020-02-03;2020-02-08;School;DE Semesterferien,EN Semester Holidays;WI;
27999545-2d3a-4c3d-b65a-2b4de5674501;AT;2020-04-04;2020-04-14;School;DE Osterferien,EN Easter Holidays;WI;
748cdd61-8c3c-42f9-ab8e-fce58870af69;AT;2020-05-30;2020-06-02;School;DE Pfingstferien,EN Pentecost Holidays;WI;
6e777365-9449-418e-b6d1-3aa2bf595b73;AT;2020-07-04;2020-09-06;School;DE Sommerferien,EN Summer Holidays;WI;
996427a2-f9dd-42ab-8e8c-23641c722853;AT;2020-10-27;2020-10-31;School;DE Herbstferien,EN Autumn Holidays;WI;
b74a1d7b-f5f9-46ee-93fc-8a8d472bce4e;AT;2020-12-24;2021-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;WI;
0ac15039-5cad-4d6b-8a88-369f598d4709;AT;2021-02-01;2021-02-06;School;DE Semesterferien,EN Semester Holidays;WI;
d1c9c75a-5e9d-4d84-8c7e-495b02570082;AT;2021-03-27;2021-04-05;School;DE Osterferien,EN Easter Holidays;WI;
44517b3b-1b04-4276-83d4-5fbad988adee;AT;2021-05-22;2021-05-24;School;DE Pfingstferien,EN Pentecost Holidays;WI;
9a941c41-0daa-4fc5-8688-c354d5ec8443;AT;2021-07-03;2021-09-05;School;DE Sommerferien,EN Summer Holidays;WI;
6204dcec-a763-4a03-8b67-0e7fd2eb12ee;AT;2021-10-27;2021-10-31;School;DE Herbstferien,EN Autumn Holidays;WI;
870d7278-8287-4a06-b537-1ff5a40bdacc;AT;2021-12-24;2022-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;WI;
ce294c47-c511-4d29-90ff-fc026eb8a5be;AT;2022-02-07;2022-02-12;School;DE Semesterferien,EN Semester Holidays;WI;
782b74df-1b71-492a-8cca-8cf93f1ef5b4;AT;2022-04-09;2022-04-18;School;DE Osterferien,EN Easter Holidays;WI;
0f4a8f06-8dcd-4d3a-b4b8-fe5c018a29ae;AT;2022-06-04;2022-06-06;School;DE Pfingstferien,EN Pentecost Holidays;WI;
9532e469-534f-44a1-be20-1167387f4490;AT;2022-07-02;2022-09-04;School;DE Sommerferien,EN Summer Holidays;WI;
64a35ff3-e06d-4129-b520-2c3fe86e1af1;AT;2022-10-27;2022-10-31;School;DE Herbstferien,EN Autumn Holidays;WI;
1a79788d-3550-4cf6-9f43-7411d1d23bc8;AT;2022-12-24;2023-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;WI;
c7336742-cfa6-45c7-bb8b-de49cee0491f;AT;2023-02-06;2023-02-11;School;DE Semesterferien,EN Semester Holidays;WI;
43ef2cf7-46c0-48d3-a7eb-f8d09389f8a2;AT;2023-04-01;2023-04-10;School;DE Osterferien,EN Easter Holidays;WI;
a8679633-46b4-481e-ab2b-cd6ee6d0d489;AT;2023-05-27;2023-05-29;School;DE Pfingstferien,EN Pentecost Holidays;WI;
a40a932a-6c83-4587-8b42-16d07eaa86c9;AT;2023-07-01;2023-09-03;School;DE Sommerferien,EN Summer Holidays;WI;
