Id;Country;StartDate;EndDate;Type;RegionalScope;TemporalScope;Name
0ddd7a33-7d3d-4649-af23-97bd79b0f25e;BR;2020-01-01;;Public;National;;PT Confraternização Universal,EN New Year's Day,DE Neujahrstag
304c0615-b58c-4b60-af79-eb13191fd013;BR;2020-02-24;2020-02-25;Optional;National;;PT Carnaval,EN Carnival,DE Karneval
0a572ccf-6605-435a-9c3d-43e0f83f4824;BR;2020-02-26;;Optional;National;;PT Quarta-Feira de Cinzas,EN Ash Wednesday,DE Aschermittwoch 
379a999e-f14a-4532-b641-516938cf41f7;BR;2020-04-10;;Public;National;;PT Paixão de Cristo,EN Good Friday,DE Karfreitag
f6e53895-dd47-4069-878e-df4ae67e52d0;BR;2020-04-21;;Public;National;;PT Dia de Tiradentes,EN Tiradentes Day,DE Tag des Tiradentes
d51c7856-7677-4703-bd66-346dc82b1c1c;BR;2020-05-01;;Public;National;;PT Dia Mundial do Trabalho,EN Labour Day,DE Tag der Arbeit
afc780f4-a1c6-4129-90c4-403332480ebd;BR;2020-06-11;;Optional;National;;PT Corpus Christi,EN Corpus Christi,DE Fronleichnam 
ae34947b-bec6-4433-b8ea-c0fadd3e6b88;BR;2020-09-07;;Public;National;;PT Independência do Brasil,EN Independence Day,DE Unabhängigkeitstag
54739058-236d-45f5-a82d-a8169ef9fedb;BR;2020-10-12;;Public;National;;PT Nossa Senhora Aparecida,EN Our Lady of Aparecida,DE Erscheinung der Gottesmutter Maria
88249713-3ad0-478b-8113-b05194d7da41;BR;2020-10-28;;Optional;National;;PT Dia do Servidor Público federal,EN Federal Civil Servants Day,DE Tag des Bundesbeamten
e119326e-fd2c-43c6-a9f5-e07b414f13a0;BR;2020-11-02;;Public;National;;PT Finados,EN All Souls,DE Allerseelen
ca355d3f-ad2b-4022-aa7b-17932281e2eb;BR;2020-11-15;;Public;National;;PT Proclamação da República,EN Proclamation of the Republic,DE Ausrufung der Republik
fca53b30-9ecf-4beb-876e-7293df28cf1f;BR;2020-12-24;;Optional;National;HalfDay;PT Véspera do Natal,EN Christmas Eve,DE Heiligabend
e5b768d5-644a-47d7-b540-1b04d075af6a;BR;2020-12-25;;Public;National;;PT Natal,EN Christmas,DE Weihnachten
cb1f1782-c963-47bf-a9bf-76b31d7fc03f;BR;2020-12-31;;Optional;National;HalfDay;PT Véspera do Ano Novo,EN New Year's Eve,DE Silvester
fa0d0759-5474-4c76-8e12-fbd7dc5f2389;BR;2021-01-01;;Public;National;;PT Confraternização Universal,EN New Year's Day,DE Neujahrstag
637f456b-6f83-4a52-b53c-be164e35149a;BR;2021-02-15;2021-02-16;Optional;National;;PT Carnaval,EN Carnival,DE Karneval
613f4510-4335-4a99-8e93-bd178da0fee1;BR;2021-02-17;;Optional;National;;PT Quarta-Feira de Cinzas,EN Ash Wednesday,DE Aschermittwoch 
e17f51f0-f8a6-447c-90ef-90434cce9f94;BR;2021-04-02;;Public;National;;PT Paixão de Cristo,EN Good Friday,DE Karfreitag
ab4a288d-561a-4f28-93b9-232ba4fdb428;BR;2021-04-21;;Public;National;;PT Dia de Tiradentes,EN Tiradentes Day,DE Tag des Tiradentes
46a6a043-9d05-48fa-bc90-8561adc41fe7;BR;2021-05-01;;Public;National;;PT Dia Mundial do Trabalho,EN Labour Day,DE Tag der Arbeit
979db93c-3f7b-4ada-b203-5e75d9e9e213;BR;2021-06-03;;Optional;National;;PT Corpus Christi,EN Corpus Christi,DE Fronleichnam 
c54fa665-eb57-4b4f-ae33-35b98232e909;BR;2021-09-07;;Public;National;;PT Independência do Brasil,EN Independence Day,DE Unabhängigkeitstag
