Country;Code;ShortName;Category;Name;OfficialLanguages
CH;CH-AI-VS;AI-VS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Volksschulen,FR Écoles primaires,IT Scuole elementari,EN Primary Schools;DE
CH;CH-AR-VS;AR-VS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Volksschulen,FR Écoles primaires,IT Scuole elementari,EN Primary Schools;DE
CH;CH-BE-EO;BE-EO;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;FR Écoles obligatoires,DE Obligatorische Schulen,IT Scuole obbligatorie,EN Compulsory schools;FR
CH;CH-BE-VS;BE-VS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Volksschulen,FR Écoles primaires,IT Scuole elementari,EN Primary Schools;DE
CH;CH-GR-VS;GR-VS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Volksschulen,FR Écoles primaires,IT Scuole elementari,EN Primary Schools;DE,RM,IT
CH;CH-SO-BS;SO-BS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Berufsfachschulen,FR Écoles professionnelles,IT Scuole professionali,EN Vocational Schools;DE
CH;CH-SO-MS;SO-MS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Mittelschulen,FR Collèges,IT Scuole medie,EN Secondary Schools;DE
CH;CH-SO-VS;SO-VS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Volksschulen,FR Écoles primaires,IT Scuole elementari,EN Primary Schools;DE
CH;CH-ZH-BS;ZH-BS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Berufsfachschulen,FR Écoles professionnelles,IT Scuole professionali,EN Vocational Schools;DE
CH;CH-ZH-MS;ZH-MS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Mittelschulen,FR Collèges,IT Scuole medie,EN Secondary Schools;DE
CH;CH-ZH-VS;ZH-VS;DE Schulart,FR type d'école,IT tipo di scuola,EN school type;DE Volksschulen,FR Écoles primaires,IT scuole elementari,EN Primary Schools;DE
