Id;Country;StartDate;EndDate;Type;Name;Subdivisions;Comment
2e635824-9ae7-48dc-9fd4-df43d64fcdc8;CH;2020-01-01;;Public;DE Neujahrstag,FR Nouvel an,IT Capodanno,EN New Year's Day;;
8649224c-12df-4984-aa7a-f84831bb8e77;CH;2020-01-02;;Public;DE Berchtoldstag,FR Saint-Berchtold,IT Santo Berchold,EN Berchtold's Day;ZH,BE,LU,OW,NW,GL,ZG,FR,SO,SH,SG,AG,TG,VD,VS,NE,JU;
4f8a15b8-4f2b-4ebf-bfc9-337657473ad5;CH;2020-01-06;;Public;DE Dreikönigstag,FR Épiphanie,IT Epifania,EN Epiphany;GR,SZ,TI,UR;
26437093-9b6c-4600-8b81-0e8c7b5524ec;CH;2020-03-19;;Public;DE Josephstag,FR Saint-Joseph,IT San Giuseppe,EN St Joseph's Day;GR,LU,NW,SZ,TI,UR,VS,ZG;
a940a924-f65a-47f3-a6a5-fa4ccbd7bf77;CH;2020-04-02;;Public;DE Näfelser Fahrt,FR Fahrtsfest,IT Fahrtsfest,EN Näfels Ride;GL;
2392c0e2-2e3c-42ec-87f1-56be0f4446f7;CH;2020-04-10;;Public;DE Karfreitag,FR Vendredi saint,IT Venerdì Santo,EN Good Friday;AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TG,UR,VD,ZG,ZH;
8103e26f-76e0-438e-bdb1-451921623566;CH;2020-04-12;;Public;DE Ostern,FR Pâques,IT Pasqua,EN Easter;;
4e67735a-b51c-4a68-b761-273ddae5e253;CH;2020-04-13;;Public;DE Ostermontag,FR Lundi de Pâques,IT Lunedì di Pasqua,EN Easter Monday;ZH,BE,LU,UR,SZ,OW,NW,GL,ZG,FR,SO,BS,BL,SH,AR,AI,SG,GR,AG,TG,TI,VD,NE,GE,JU;
a1e42693-e25a-49e8-b341-f3b41038c0fa;CH;2020-04-20;;Public;DE Sechseläuten,FR Sechseläuten,IT Sechseläuten,EN Sechseläuten;ZH;
ce964834-f7dd-4d0a-aa8a-aec6d65ecae6;CH;2020-05-01;;Public;DE Tag der Arbeit,FR Fête du Travail,IT Festa del lavoro,EN Labour Day;AG,BL,BS,FR,JU,NE,SH,SO,TI,TG,ZH;
ab288861-967f-4919-99a1-87d3e9aff07b;CH;2020-05-21;;Public;DE Auffahrt,FR Ascension,IT Ascensione,EN Ascension Day;;
227bb508-2928-484c-be3a-a7e0f0430a8f;CH;2020-05-31;;Public;DE Pfingsten,FR Pentecôte,IT Pentecoste,EN Pentecost;;
