Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Comment
3d43a0a7-6040-4289-84bd-191cb7f52264;CH;2019-12-23;2020-01-03;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;AG;
3c9a9134-f2c8-4189-bdbb-dc72988ad266;CH;2020-04-06;2020-04-17;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;AG;
0c0d8563-57a7-4ba7-bc46-03435365380a;CH;2020-07-20;2020-08-07;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;AG;
4fccb5a7-80bf-4966-8b53-7c060ab585d3;CH;2020-09-28;2020-10-09;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;AG;
073d126e-54c9-4c82-9cae-a12639885950;CH;2020-12-21;2020-12-31;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;AG;
9cb5da17-b2be-4531-8557-327a1aa713b5;CH;2021-04-12;2021-04-23;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;AG;
056a414e-74fe-4511-a53b-ac6621273898;CH;2021-07-19;2021-08-06;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;AG;
1e382946-932b-4b46-a793-5fe80cdeb21e;CH;2021-10-04;2021-10-15;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;AG;
2528c2aa-e26f-47a6-9c8d-f884f2af569c;CH;2021-12-24;2022-01-07;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;AG;
f4ddcc59-0e1a-4666-a8c3-5060abb889a7;CH;2022-04-11;2022-04-21;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;AG;
f82f4492-e318-4129-a0bf-3700285f19ca;CH;2022-07-18;2022-08-05;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;AG;
7505d913-149e-4aa1-937d-16b0bc17b06f;CH;2022-10-03;2022-10-14;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;AG;
03af38a8-48ac-46d7-be87-869dd7476b37;CH;2022-12-27;2023-01-06;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;AG;
c24af090-52ca-4e4a-a57a-a174aac77ab3;CH;2023-04-11;2023-04-21;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;AG;
c0248854-008b-4672-b38d-588ea10130a5;CH;2023-07-24;2023-08-11;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;AG;
516349e8-f4fd-4cad-a3cb-55d62b09ce53;CH;2023-10-02;2023-10-13;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;AG;
e0d978b4-022c-4b39-816a-fe14724843b6;CH;2023-12-27;2024-01-05;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;AG;
