Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Comment
921b0a37-4e87-4714-900f-afdfdcdaf659;CH;2020-01-25;2020-02-02;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;GL;
871b95e2-0b08-43a2-8072-a6c0ee8c6435;CH;2020-04-02;2020-04-19;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;GL;
c825ff62-b0b1-4376-841d-ed425b4cabf5;CH;2020-06-27;2020-08-09;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;GL;
bf2b8b7f-701b-4557-983d-d280b3ba1653;CH;2020-10-03;2020-10-18;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;GL;
e840026f-8bdc-4310-9df8-6f316d43367c;CH;2020-12-24;2021-01-10;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;GL;
d701b7ec-e787-4d05-8c60-9f5d0840a53f;CH;2021-01-30;2021-02-07;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;GL;
0877cfb4-9fa2-46a7-ab06-344102571555;CH;2021-04-02;2021-04-18;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;GL;
81c0c2cd-7eeb-49e4-be7d-a6a8cebb4315;CH;2021-07-03;2021-08-15;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;GL;
f153c31c-1011-4c95-8d63-02d569f83877;CH;2021-10-09;2021-10-24;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;GL;
181c1948-8e17-46c8-b019-469876d359d5;CH;2021-12-24;2022-01-09;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;GL;
aa3dd83b-72a6-4812-a490-ba446203cf5d;CH;2022-01-29;2022-02-06;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;GL;
ae1c5ea8-a2c9-414e-8696-e3add0b29dba;CH;2022-04-07;2022-04-24;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;GL;
ba91e4f1-a1d1-42f5-9c16-e664667b89c2;CH;2022-07-02;2022-08-14;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;GL;
e5adb7b5-a88a-4645-b6b8-c9e183680d94;CH;2022-10-08;2022-10-23;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;GL;
338fbce3-79e6-41cf-ad9e-cd9f121194a8;CH;2022-12-24;2023-01-08;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;GL;
ba29b515-2002-4aef-80b4-d9d7f87e6afa;CH;2023-01-28;2023-02-05;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;GL;
7770f38f-0468-4784-8a3d-045a71084213;CH;2023-04-07;2023-04-23;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;GL;
b2770715-2598-4a77-bcd0-8a5bfee1c7a0;CH;2023-07-01;2023-08-13;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;GL;
ea5dc079-591d-420c-b6db-eeb961f336b7;CH;2023-10-07;2023-10-22;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;GL;
99668731-ab7d-4ed6-84d8-2b8893b6b3ad;CH;2023-12-23;2024-01-07;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;GL;
a8beb2c6-483b-4976-80c0-01128746a6e6;CH;2024-01-27;2024-02-04;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;GL;
5bcfd5fb-5c67-49be-a799-570fb3fc29b4;CH;2024-03-29;2024-04-14;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;GL;
70627c0f-8f73-4526-adb0-40f44db96baa;CH;2024-06-29;2024-08-11;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;GL;
8509826a-8412-477d-8bc0-5536af96a6d5;CH;2024-10-05;2024-10-20;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;GL;
cf3aec00-a6d4-4a15-91f0-3d29c9bfdd04;CH;2024-12-21;2025-01-05;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;GL;
5a318e56-56a5-4adc-a3b1-9c8d7bdd612b;CH;2025-01-25;2025-02-02;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;GL;
079d42d3-9a2a-43de-b9c6-6d6634214d10;CH;2025-04-03;2025-04-20;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;GL;
2568abb5-ff24-494d-9bfc-e8d23f732221;CH;2025-06-28;2025-08-10;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;GL;
f4fd94c0-98d0-40a4-82f7-ece018f312a7;CH;2025-10-04;2025-10-19;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;GL;
4aa07072-80e5-49fd-b94b-a67560ec5d69;CH;2025-12-20;2026-01-04;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;GL;
8c4eb99c-9d2c-42d4-a981-58a86bdca58f;CH;2026-01-24;2026-02-01;School;Regional;DE Sport,FR Sport,IT Sport,EN Sport;GL;DE Alle Schulen
88fac81e-72d9-4dc6-bcf7-fb8be6ae153c;CH;2026-04-03;2026-04-19;School;Regional;DE Frühling,FR Printemps,IT Primavera,EN Spring;GL;DE Alle Schulen
6a6f0722-b27a-4102-91e2-e28d6bb335aa;CH;2026-06-27;2026-08-09;School;Regional;DE Sommer,FR Été,IT Estate,EN Summer;GL;DE Alle Schulen
16044b77-d8f6-4e50-8a54-b8d791da9f4a;CH;2026-10-03;2026-10-18;School;Regional;DE Herbst,FR Automne,IT Autunno,EN Autumn;GL;DE Alle Schulen
e4695bf7-ceb5-4703-9fd8-530937859098;CH;2026-12-24;2027-01-10;School;Regional;DE Winter,FR Noël,IT Inverno,EN Christmas;GL;DE Alle Schulen
