Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions
6cf5611f-759c-4519-89ae-309f3bd970d6;CH;2020-02-01;2020-02-16;School;Regional;DE Sportferien,FR Vacances sportives,IT Vacanze sportive,EN Sports holidays;ZG
ea57d6d3-a29e-411b-8bcf-8ef6b3d0a94b;CH;2020-04-11;2020-04-26;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZG
4a73c581-5023-4daa-9194-03263a04a10d;CH;2020-05-21;2020-05-24;School;Regional;DE Auffahrtsferien,FR Vacances de l'Ascension,IT Vacanze dell'Ascensione,EN Ascension Day holidays;ZG
ef898be0-7b61-4e71-99ef-1ba0f9838efb;CH;2020-07-04;2020-08-16;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZG
8e9ef5a5-fbd5-4266-bc5c-5e5c386c09c1;CH;2020-10-03;2020-10-18;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZG
37ac162e-6550-4ab7-93ea-879be11dd965;CH;2020-12-19;2021-01-03;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;ZG
39679527-36c4-4b5a-990c-ea3b4f845f52;CH;2021-02-06;2021-02-21;School;Regional;DE Sportferien,FR Vacances sportives,IT Vacanze sportive,EN Sports holidays;ZG
96e66bc0-b37a-48fd-b3d7-34e791a9475c;CH;2021-04-17;2021-05-02;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZG
b562b2d8-1f86-446c-b796-6f2fc513898f;CH;2021-05-13;2021-05-16;School;Regional;DE Auffahrtsferien,FR Vacances de l'Ascension,IT Vacanze dell'Ascensione,EN Ascension Day holidays;ZG
694222ca-4d06-4d41-9f43-2a0d5881431d;CH;2021-07-03;2021-08-15;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZG
5efede45-ebd0-4705-a44c-1089daa46d75;CH;2021-10-02;2021-10-17;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZG
9ab0c7d5-33aa-4b51-a192-10cfc879a84c;CH;2021-12-23;2022-01-05;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;ZG
376ed9f2-22df-48db-9466-6f50373194ef;CH;2022-02-05;2022-02-20;School;Regional;DE Sportferien,FR Vacances sportives,IT Vacanze sportive,EN Sports holidays;ZG
643962ec-4338-49c8-8336-9f60da37f401;CH;2022-04-15;2022-05-01;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZG
1def44e4-862d-4d99-9f7c-5cc027153d71;CH;2022-05-26;2022-05-29;School;Regional;DE Auffahrtsferien,FR Vacances de l'Ascension,IT Vacanze dell'Ascensione,EN Ascension Day holidays;ZG
cc448b4f-3cc1-4fbf-9cd8-52e5efe6c0e5;CH;2022-07-09;2022-08-21;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZG
e2f32517-ce1a-480e-a400-f463b9c0da13;CH;2022-10-08;2022-10-23;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZG
ad557eb6-d2d5-4d99-843f-8f72cfc7ea53;CH;2022-12-22;2023-01-04;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;ZG
96e9a8cf-a8b8-4cd2-971a-356eeb3e7b16;CH;2023-02-04;2023-02-19;School;Regional;DE Sportferien,FR Vacances sportives,IT Vacanze sportive,EN Sports holidays;ZG
74b01dcd-63e0-42b1-8d6c-dc1b279b51a2;CH;2023-04-15;2023-04-30;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZG
4fc1e4c4-ea18-40c0-a362-a3d93697356d;CH;2023-05-18;2023-05-21;School;Regional;DE Auffahrtsferien,FR Vacances de l'Ascension,IT Vacanze dell'Ascensione,EN Ascension Day holidays;ZG
c9f69234-d5e8-4e58-80d9-6bd957c18fa5;CH;2023-07-08;2023-08-20;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZG
72155d41-55c8-4fae-961a-9df95fd25b7a;CH;2023-10-07;2023-10-22;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZG
a3e46558-b3a1-4867-a0e0-c1481d55b995;CH;2023-12-23;2024-01-07;School;Regional;DE Winterferien,FR Vacances d'hiver,IT Vacanze invernali,EN Winter holidays;ZG
a202789d-0fa5-40cb-9e8a-019a3e83c84f;CH;2024-02-03;2024-02-18;School;Regional;DE Sportferien,FR Vacances sportives,IT Vacanze sportive,EN Sports holidays;ZG
0848c463-ba7b-4c39-96e8-e04b77cbba17;CH;2024-04-13;2024-04-28;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZG
d749ee21-92e9-488c-b1ff-12a9f16fbdce;CH;2024-05-09;2024-05-12;School;Regional;DE Auffahrtsferien,FR Vacances de l'Ascension,IT Vacanze dell'Ascensione,EN Ascension Day holidays;ZG
