Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Groups;Tags
c2f0b1d3-8a4e-4b5c-9f6d-7e0f8c1b2a3b;CH;2020-04-10;2020-04-13;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
e83c6375-8cd5-4fa1-ae16-2307803e7dcf;CH;2020-04-10;2020-04-13;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
cafe8b49-7077-4c1d-b26c-f4a1b0b1d191;CH;2020-04-13;2020-04-25;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
ddbc0fc3-aff0-4b02-bffc-ac40fde687dd;CH;2020-04-13;2020-04-25;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
c9110ebc-c424-4146-81a1-4e0f5827e7ee;CH;2020-05-21;2020-05-23;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
3960d1c8-fd65-4784-836a-072a03a9e804;CH;2020-07-13;2020-08-15;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
a30da61e-d665-495d-b4ce-1f8ecf75b74e;CH;2020-10-05;2020-10-17;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
c17c70f5-048d-4cff-90eb-03467e783f67;CH;2020-10-05;2020-10-17;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
1a903f1c-6a1f-4f41-8d4b-b9637811c15a;CH;2020-12-21;2021-01-02;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
e7a1c3f4-5b2d-4e6a-8c9f-2d1e3b4a5c6f;CH;2021-04-02;2021-04-05;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
3590ec3d-1ac0-4d34-8fc6-ba358fbf6bb2;CH;2021-04-02;2021-04-05;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
452a3893-55f0-4d1f-9c74-bb0adec26882;CH;2021-04-26;2021-05-08;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
ce615762-7f74-4a04-a9cb-6ee5727a268d;CH;2021-04-26;2021-05-08;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
4ac5e572-5854-4bc6-ad21-66a865d529e4;CH;2021-05-13;2021-05-15;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
70ce7a83-ea66-4df7-ad28-d9d222c47d73;CH;2021-07-19;2021-08-21;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
1c309179-7d00-4a20-b938-4269ca9eaa90;CH;2021-10-11;2021-10-23;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
77bd4f72-7149-4831-b340-2074850bcd90;CH;2021-10-11;2021-10-23;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
c900a241-2270-4209-816c-aab7c79edb83;CH;2021-12-20;2022-01-01;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
b7e2a1c4-9f3d-4c2e-8e7b-1a2f3c4d5e6f;CH;2022-04-15;2022-04-18;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
ef8989e3-e16f-4e81-861b-7c3fed1894a5;CH;2022-04-15;2022-04-18;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
6e21ee66-f3ab-4439-bad0-609a08f1e73c;CH;2022-04-18;2022-04-30;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
397975de-92d0-4b29-94f5-a4dca969d64a;CH;2022-04-18;2022-04-30;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
9e0062e1-eb12-4a56-9211-5125ec1c0c68;CH;2022-05-26;2022-05-28;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
176e5890-2055-4902-a09f-544968d11abd;CH;2022-07-18;2022-08-20;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
f53b007a-581a-4006-ae43-30d6400e8daa;CH;2022-10-10;2022-10-22;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
83d62700-0bbd-40fe-aa7e-65cef3f7dbc6;CH;2022-10-10;2022-10-22;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
330bb4e3-4613-4774-8b48-41b542b9c329;CH;2022-12-26;2023-01-07;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
b1c2d3e4-f5a6-7b8c-9d0e-1f2a3b4c5d6e;CH;2023-04-07;2023-04-10;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
0c3a7328-2f1f-489c-aeae-848194a61bc9;CH;2023-04-07;2023-04-10;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
0999f546-5a7c-4db7-be95-8864e3bc909a;CH;2023-04-24;2023-05-06;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
aaf5a2c0-2082-41f2-a229-709f2ff180bb;CH;2023-04-24;2023-05-06;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
954c1f82-6515-4e0f-b40e-dece21d33d84;CH;2023-07-17;2023-08-19;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
9ddd3b97-4e9b-4e7c-8a82-8fc5d6f1a358;CH;2023-10-09;2023-10-21;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
c48c7611-ffb0-4402-96e7-ab20ddfbb123;CH;2023-10-09;2023-10-21;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
b55959f3-3984-48d0-baee-31b7f8b20c3f;CH;2023-12-25;2024-01-06;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
680a7f95-a06f-4b21-aed0-37a6823909eb;CH;2024-03-29;2024-04-01;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
4753f575-43d7-4cb3-adf0-67f3cac6b440;CH;2024-03-29;2024-04-01;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
ae6ef59b-da6c-4ffe-bc8c-d2d81548eff3;CH;2024-04-22;2024-05-04;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
4503d6bf-973f-4418-841b-fcb589afad45;CH;2024-04-22;2024-05-04;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
1ec65920-63a9-43ea-ab1e-3849155dfd0f;CH;2024-05-09;2024-05-11;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
0ecf1cd2-5538-44e0-823c-ce05fc7a61f5;CH;2024-07-15;2024-08-17;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
37095394-e961-4893-95fb-2af447442106;CH;2024-10-07;2024-10-19;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
