Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Groups;Parent
CH;CH-AG;CH-AG;AG;DE Kanton,FR canton,IT canonte,RM chantun,EN canton;DE Aargau,FR Argovie,IT Argovia,RM Argovia,EN Aargau;DE;;
CH;CH-AG-AA;;AG-AA;DE Bezirk,FR district,IT distretto,RM district,EN district;DE Aarau;DE;;AG
CH;CH-AG-AA-AA;;AG-AA-AA;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Aarau;DE;;AG-AA
CH;CH-AG-AA-BI;;AG-AA-BI;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Biberstein;DE;;AG-AA
CH;CH-AG-AA-BU;;AG-AA-BU;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Buchs (AG);DE;;AG-AA
CH;CH-AG-AA-DE;;AG-AA-DE;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Densbüren;DE;;AG-AA
CH;CH-AG-AA-ER;;AG-AA-ER;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Erlinsbach (AG);DE;;AG-AA
CH;CH-AG-AA-GR;;AG-AA-GR;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Gränichen;DE;;AG-AA
CH;CH-AG-AA-HI;;AG-AA-HI;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Hirschthal;DE;;AG-AA
CH;CH-AG-AA-KU;;AG-AA-KU;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Küttigen;DE;;AG-AA
CH;CH-AG-AA-MU;;AG-AA-MU;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Muhen;DE;;AG-AA
CH;CH-AG-AA-OB;;AG-AA-OB;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Oberentfelden;DE;;AG-AA
CH;CH-AG-AA-SU;;AG-AA-SU;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Suhr;DE;;AG-AA
CH;CH-AG-AA-UN;;AG-AA-UN;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Unterentfelden;DE;;AG-AA
CH;CH-AG-BA;;AG-BA;DE Bezirk,FR district,IT distretto,RM district,EN district;DE Baden;DE;;AG
CH;CH-AG-BA-BA;;AG-BA-BA;DE Gemeinde,FR commune,IT comune,RM vischnanca,EN municipality;DE Baden;DE;;AG-BA
