Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent;
CZ;CZ-ST;CZ-20;ST;CS kraj,EN region,DE Region,FR région;CS Středočeský kraj,EN Central Bohemian Region,DE Mittelböhmische Region,FR Bohême-Centrale;CS;;
CZ;CZ-JC;CZ-31;JC;CS kraj,EN region,DE Region,FR région;CS Jihočeský kraj,EN South Bohemian Region,DE Südböhmische Region,FR Bohême-du-Sud;CS;;
CZ;CZ-PL;CZ-32;PL;CS kraj,EN region,DE Region,FR région;CS Plzeňský kraj,EN Plzeň Region,DE Pilsner Region,FR Pilsen;CS;;
CZ;CZ-KA;CZ-41;KA;CS kraj,EN region,DE Region,FR région;CS Karlovarský kraj,EN Karlovy Vary Region,DE Karlsbader Region,FR Karlovy Vary;CS;;
CZ;CZ-US;CZ-42;US;CS kraj,EN region,DE Region,FR région;CS Ústecký kraj,EN Ústecký Region,DE Aussiger Regio,FR Ústí nad Labem;CS;;
CZ;CZ-LI;CZ-51;LI;CS kraj,EN region,DE Region,FR région;CS Liberecký kraj,EN Liberec Region,DE Reichenberger Region,FR Liberec;CS;;
CZ;CZ-KR;CZ-52;KR;CS kraj,EN region,DE Region,FR région;CS Královéhradecký kraj,EN Hradec Králové Region ,DE Königgrätzer Region,FR Hradec Králové;CS;;
CZ;CZ-PA;CZ-53;PA;CS kraj,EN region,DE Region,FR région;CS Pardubický kraj,EN Pardubice Region,DE Pardubitzer Region,FR Pardubice;CS;;
CZ;CZ-VY;CZ-63;VY;CS kraj,EN region,DE Region,FR région;CS Kraj Vysočina,EN Vysočina Region,DE Region Hochland,FR Vysočina;CS;;
CZ;CZ-JM;CZ-64;JM;CS kraj,EN region,DE Region,FR région;CS Jihomoravský kraj,EN South Moravian Region,DE Südmährische Region,FR Moravie-du-Sud;CS;;
CZ;CZ-OL;CZ-71;OL;CS kraj,EN region,DE Region,FR région;CS Olomoucký kraj,EN Olomouc Region,DE Olmützer Region,FR Olomouc;CS;;
CZ;CZ-ZL;CZ-72;ZL;CS kraj,EN region,DE Region,FR région;CS Zlínský kraj,EN Zlín Region,DE Zliner Region,FR Zlín;CS;;
CZ;CZ-MO;CZ-80;MO;CS kraj,EN region,DE Region,FR région;CS Moravskoslezský kraj,EN Moravian-Silesian Region,DE Mährisch-Schlesische Region,FR Moravie-Silésie ;CS;;
CZ;CZ-PR;CZ-10;PR;CS hlavní město,EN capital city,DE Hauptstadt,FR ville capitale;CS Praha,EN Prague,DE Prag,FR Prague;CS;;
CZ;CZ-ST-BN;CZ-201;ST-BN;CS okres,EN district,DE Bezirk,FR district;CS Benešov,DE Beneschau;CS;ST;
CZ;CZ-ST-BE;CZ-202;ST-BE;CS okres,EN district,DE Bezirk,FR district;CS Beroun,DE Beroun;CS;ST;
CZ;CZ-JM-BK;CZ-641;JM-BK;CS okres,EN district,DE Bezirk,FR district;CS Blansko,DE Blanz;CS;JM;
CZ;CZ-JM-BM;CZ-642;JM-BM;CS okres,EN district,DE Bezirk,FR district;CS Brno-město,EN Brno-City,DE Brünn-Stadt,FR Brno-Ville;CS;JM;
CZ;CZ-JM-BO;CZ-643;JM-BO;CS okres,EN district,DE Bezirk,FR district;CS Brno-venkov,EN Brno-Country,DE Brünn-Land,FR Brno-Campagne;CS;JM;
CZ;CZ-MO-BR;CZ-801;MO-BR;CS okres,EN district,DE Bezirk,FR district;CS Bruntál,DE Freudenthal;CS;MO;
CZ;CZ-JM-BV;CZ-644;JM-BV;CS okres,EN district,DE Bezirk,FR district;CS Břeclav,DE Lundenburg;CS;JM;
CZ;CZ-KA-CH;CZ-411;KA-CH;CS okres,EN district,DE Bezirk,FR district;CS Cheb,DE Eger;CS;KA;
CZ;CZ-US-CV;CZ-422;US-CV;CS okres,EN district,DE Bezirk,FR district;CS Chomutov,DE Komotau;CS;US;
CZ;CZ-PA-CR;CZ-531;PA-CR;CS okres,EN district,DE Bezirk,FR district;CS Chrudim,DE Chrudim;CS;PA;
CZ;CZ-PL-DO;CZ-321;PL-DO;CS okres,EN district,DE Bezirk,FR district;CS Domažlice,DE Taus;CS;PL;
CZ;CZ-US-DC;CZ-421;US-DC;CS okres,EN district,DE Bezirk,FR district;CS Děčín,DE Tetschen;CS;US;
CZ;CZ-MO-FM;CZ-802;MO-FM;CS okres,EN district,DE Bezirk,FR district;CS Frýdek-Místek,DE Friedeck-Mistek;CS;MO;
CZ;CZ-VY-HB;CZ-631;VY-HB;CS okres,EN district,DE Bezirk,FR district;CS Havlíčkův Brod,DE Deutschbrod;CS;VY;
CZ;CZ-JM-HO;CZ-645;JM-HO;CS okres,EN district,DE Bezirk,FR district;CS Hodonín,DE Göding;CS;JM;
CZ;CZ-KR-HK;CZ-521;KR-HK;CS okres,EN district,DE Bezirk,FR district;CS Hradec Králov,DE Königgrätz;CS;KR;
CZ;CZ-LI-JN;CZ-512;LI-JN;CS okres,EN district,DE Bezirk,FR district;CS Jablonec nad Nisou,DE Gablonz;CS;LI;
CZ;CZ-OL-JE;CZ-711;OL-JE;CS okres,EN district,DE Bezirk,FR district;CS Jeseník,DE Freiwaldau;CS;OL;
CZ;CZ-VY-JI;CZ-632;VY-JI;CS okres,EN district,DE Bezirk,FR district;CS Jihlava,DE Iglau;CS;VY;
CZ;CZ-JC-JH;CZ-313;JC-JH;CS okres,EN district,DE Bezirk,FR district;CS Jindřichův Hradec,DE Neuhaus;CS;JC;
CZ;CZ-KR-JC;CZ-522;KR-JC;CS okres,EN district,DE Bezirk,FR district;CS Jičín,DE Jitschin;CS;KR;
CZ;CZ-KA-KV;CZ-412;KA-KV;CS okres,EN district,DE Bezirk,FR district;CS Karlovy Vary,DE Karlsbad;CS;KA;
CZ;CZ-MO-KI;CZ-803;MO-KI;CS okres,EN district,DE Bezirk,FR district;CS Karviná,DE Karwin;CS;MO;
CZ;CZ-ST-KL;CZ-203;ST-KL;CS okres,EN district,DE Bezirk,FR district;CS Kladno,DE Kladen;CS;ST;
CZ;CZ-PL-KT;CZ-322;PL-KT;CS okres,EN district,DE Bezirk,FR district;CS Klatovy,DE Klattau;CS;PL;
CZ;CZ-ST-KO;CZ-204;ST-KO;CS okres,EN district,DE Bezirk,FR district;CS Kolín,DE Kolin;CS;ST;
CZ;CZ-ZL-KM;CZ-721;ZL-KM;CS okres,EN district,DE Bezirk,FR district;CS Kroměříž,DE Kremsier;CS;ZL;
CZ;CZ-ST-KH;CZ-205;ST-KH;CS okres,EN district,DE Bezirk,FR district;CS Kutná Hora,DE Kuttenberg;CS;ST;
CZ;CZ-LI-LB;CZ-513;LI-LB;CS okres,EN district,DE Bezirk,FR district;CS Liberec,DE Reichenberg;CS;LI;
CZ;CZ-US-LT;CZ-423;US-LT;CS okres,EN district,DE Bezirk,FR district;CS Litoměřice,DE Leitmeritz;CS;US;
CZ;CZ-US-LN;CZ-424;US-LN;CS okres,EN district,DE Bezirk,FR district;CS Louny,DE Laun;CS;US;
CZ;CZ-ST-MB;CZ-207;ST-MB;CS okres,EN district,DE Bezirk,FR district;CS Mladá Boleslav,DE Jungbunzlau;CS;;
CZ;CZ-US-MO;CZ-425;US-MO;CS okres,EN district,DE Bezirk,FR district;CS Most,DE Brüx;CS;US;
CZ;CZ-ST-ME;CZ-206;ST-ME;CS okres,EN district,DE Bezirk,FR district;CS Mělník,DE Melnik;CS;ST;
CZ;CZ-MO-NJ;CZ-804;MO-NJ;CS okres,EN district,DE Bezirk,FR district;CS Nový Jičín,DE Neu Titschein;CS;MO;
CZ;CZ-ST-NB;CZ-208;ST-NB;CS okres,EN district,DE Bezirk,FR district;CS Nymburk,DE Nimburg;CS;ST;
CZ;CZ-KR-NA;CZ-523;KR-NA;CS okres,EN district,DE Bezirk,FR district;CS Náchod,DE Nachod;CS;KR;
CZ;CZ-OL-OC;CZ-712;OL-OC;CS okres,EN district,DE Bezirk,FR district;CS Olomouc,DE Olmütz;CS;OL;
CZ;CZ-MO-OP;CZ-805;MO-OP;CS okres,EN district,DE Bezirk,FR district;CS Opava,DE Troppau;CS;MO;
CZ;CZ-MO-OV;CZ-806;MO-OV;CS okres,EN district,DE Bezirk,FR district;CS Ostrava-město,EN Ostrava-City,DE Ostrau-Stadt,FR Ostrava-Ville;CS;MO;
CZ;CZ-PA-PU;CZ-532;PA-PU;CS okres,EN district,DE Bezirk,FR district;CS Pardubice,DE Pardubitz;CS;PA;
