Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions
92d14626-f8a8-4493-8ee3-e7ebb2444ec4;DE;2011-12-23;2012-01-03;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BB
c9a58a2a-6f10-45cf-ae2a-d87356fd3897;DE;2012-01-30;2012-02-04;School;Regional;DE Winterferien,EN Winter Holidays;BB
33f92541-3e0b-4caf-a34b-888adf3fb4c0;DE;2012-04-04;2012-04-14;School;Regional;DE Osterferien,EN Easter Holidays;BB
3769de46-2009-463c-8451-0cde3af75bda;DE;2012-04-30;2012-04-30;School;Regional;DE Osterferien,EN Easter Holidays;BB
32a938a0-1ce5-46ce-8743-67b98a63f8b5;DE;2012-05-18;2012-05-18;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BB
b1edaef4-37f3-4a6b-b2a9-d25ab3dc9ead;DE;2012-06-21;2012-08-03;School;Regional;DE Sommerferien,EN Summer Holidays;BB
ce74f231-1e80-4ba0-9f26-14ea85245027;DE;2012-10-01;2012-10-13;School;Regional;DE Herbstferien,EN Autumn Holidays;BB
59fbef26-30c7-4adf-bd10-f7905e5d0a53;DE;2012-12-24;2013-01-04;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BB
60361841-35c0-4d78-983e-9a2c7f042080;DE;2013-02-04;2013-02-09;School;Regional;DE Winterferien,EN Winter Holidays;BB
0fd34c75-8a2e-415e-880e-3f987b624237;DE;2013-03-27;2013-04-06;School;Regional;DE Osterferien,EN Easter Holidays;BB
03cb0942-435f-405e-b57c-d62c06972251;DE;2013-05-10;2013-05-10;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BB
105106d9-4a52-4883-9557-b052e5504eeb;DE;2013-06-20;2013-08-02;School;Regional;DE Sommerferien,EN Summer Holidays;BB
c8b0c89a-3f15-4386-896c-e4a8cd64e4da;DE;2013-09-30;2013-10-12;School;Regional;DE Herbstferien,EN Autumn Holidays;BB
4b4e855c-1d01-4a18-bfa6-e59d80cfd87a;DE;2013-11-01;2013-11-01;School;Regional;DE Herbstferien,EN Autumn Holidays;BB
02d81321-f7a2-4118-b3d6-98d3dee64623;DE;2013-12-23;2014-01-03;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BB
57bb74d9-2fe2-4788-8b6f-85d08f5d7d3f;DE;2014-02-03;2014-02-08;School;Regional;DE Winterferien,EN Winter Holidays;BB
