Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions
644e76cc-52ef-4a40-a51e-68234b0ff9c8;DE;2011-12-27;2012-01-05;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
bf3246ab-77e0-4839-89c1-3d6f6befa305;DE;2012-02-20;2012-02-24;School;Regional;DE Winterferien,EN Winter Holidays;BY
cf7c56d5-d4c2-4231-8903-81d53baaf9df;DE;2012-04-02;2012-04-14;School;Regional;DE Osterferien,EN Easter Holidays;BY
204ee1ed-2cd4-4172-b621-ada61dce8c73;DE;2012-05-29;2012-06-09;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
959fde6e-b10d-4888-999f-81cfaea5fb87;DE;2012-08-01;2012-09-12;School;Regional;DE Sommerferien,EN Summer Holidays;BY
cfcc3a9a-c018-47bc-9301-8e256097096b;DE;2012-10-29;2012-11-03;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
c8c23d29-060d-449c-a2a4-e304b5661959;DE;2012-12-24;2013-01-05;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
74354002-94c2-42f7-ba45-a78ea94e54e5;DE;2013-02-11;2013-02-15;School;Regional;DE Winterferien,EN Winter Holidays;BY
a86fd9ce-04de-4dfa-9bc5-9ce0a8309bd5;DE;2013-03-25;2013-04-06;School;Regional;DE Osterferien,EN Easter Holidays;BY
34346b4e-3455-4eab-8bf1-09c388472c20;DE;2013-05-21;2013-05-31;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
2bf9280b-1a70-4bf9-b23a-17d7029ad5ef;DE;2013-07-31;2013-09-11;School;Regional;DE Sommerferien,EN Summer Holidays;BY
c90317af-250d-4816-b5eb-0120c05760bf;DE;2013-10-28;2013-10-31;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
3ba95539-45a5-4471-83be-0dbdb11f1679;DE;2013-12-23;2014-01-04;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
ba2065c9-f48b-4f69-a869-92efef40ee40;DE;2014-03-03;2014-03-07;School;Regional;DE Winterferien,EN Winter Holidays;BY
e7ba10bd-32e1-4f85-93f5-4ace29e168b3;DE;2014-04-14;2014-04-26;School;Regional;DE Osterferien,EN Easter Holidays;BY
46b460a9-2dcf-4da4-826b-43aac49bbc58;DE;2014-06-10;2014-06-21;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
c59ab295-fa7b-48dc-bf5c-b37d19867095;DE;2014-07-30;2014-09-15;School;Regional;DE Sommerferien,EN Summer Holidays;BY
375a1c9b-0844-4321-9e9e-5f2812f86647;DE;2014-10-27;2014-10-31;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
8bfd66d1-94b1-4547-bdd9-a7caa7098585;DE;2014-11-19;2014-11-19;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
76b5213d-65b3-4466-830f-7de18b5767e7;DE;2014-12-24;2015-01-05;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
089d8190-3d90-477d-9a2f-d2c834b50d7f;DE;2015-02-16;2015-02-20;School;Regional;DE Winterferien,EN Winter Holidays;BY
2b062756-922c-4be6-ad0c-c98317fb7d0a;DE;2015-03-30;2015-04-11;School;Regional;DE Osterferien,EN Easter Holidays;BY
3e525c7b-5cd5-4812-8748-02380dbf847a;DE;2015-05-26;2015-06-05;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
b155282d-5021-47b8-b797-7e65fffeb33c;DE;2015-08-01;2015-09-14;School;Regional;DE Sommerferien,EN Summer Holidays;BY
7ef061f2-5257-4c9c-a4b9-e10630745fb1;DE;2015-11-02;2015-11-07;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
ae633059-bf96-4126-9f38-e3b4dfbfdf33;DE;2015-11-18;2015-11-18;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
78f20d50-c5a2-4f49-b726-ae93d410d639;DE;2015-12-24;2016-01-05;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
0dd45444-2a2b-404a-ad26-00155b50cf2b;DE;2016-02-08;2016-02-12;School;Regional;DE Winterferien,EN Winter Holidays;BY
54c543e2-8568-4d07-bcb2-28f8244dc7a0;DE;2016-03-21;2016-04-01;School;Regional;DE Osterferien,EN Easter Holidays;BY
4a5b5a44-0d66-4a12-bc28-6105b251943d;DE;2016-05-17;2016-05-28;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
90063b16-8b31-4c40-b290-1c0c701d6138;DE;2016-07-30;2016-09-12;School;Regional;DE Sommerferien,EN Summer Holidays;BY
42c0aa37-67c7-4450-9130-851a3988dc4c;DE;2016-10-31;2016-11-04;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
2dab374f-2699-4e8d-b39a-1cd4941426d5;DE;2016-11-16;2016-11-16;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
3b68f9a9-51bf-4cd1-b61d-7f6cf9054f08;DE;2016-12-24;2017-01-05;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
d2aba9b6-6e88-404d-b2d1-a20fb9322f17;DE;2017-02-27;2017-03-03;School;Regional;DE Winterferien,EN Winter Holidays;BY
96af4644-e352-41d2-9d1d-a672dfd3c08b;DE;2017-04-10;2017-04-22;School;Regional;DE Osterferien,EN Easter Holidays;BY
f60fe47b-b3dd-44fd-a58d-684eacaa8cb2;DE;2017-06-06;2017-06-16;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
2159f6fa-cd37-4703-a267-17a5bbc49c38;DE;2017-07-29;2017-09-11;School;Regional;DE Sommerferien,EN Summer Holidays;BY
55462d49-f0b9-4d08-88e9-149790550ba9;DE;2017-10-30;2017-11-03;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
8905e51a-cc0e-48ed-a397-09919018ce00;DE;2017-11-22;2017-11-22;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
48366dd5-cf53-42e9-81bf-edb4a3ffe45c;DE;2017-12-23;2018-01-05;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
eb2b4e4c-4b0c-46bb-8d89-f81b90b6b969;DE;2018-02-12;2018-02-16;School;Regional;DE Winterferien,EN Winter Holidays;BY
bc0cd6e4-5718-4dfb-befe-c4ca0902272e;DE;2018-03-26;2018-04-07;School;Regional;DE Osterferien,EN Easter Holidays;BY
57f3b70d-8e28-49c1-87ff-ecc3f5f5e528;DE;2018-05-22;2018-06-02;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
a1e0daff-6211-4ad0-a630-d9fb95c09d95;DE;2018-07-30;2018-09-10;School;Regional;DE Sommerferien,EN Summer Holidays;BY
bbe0858a-5e37-4202-b8e9-25f36677a872;DE;2018-10-29;2018-11-02;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
7efce238-5e14-4c6a-9724-8913b272de6a;DE;2018-11-21;2018-11-21;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
48ffa4e3-46bc-41bb-88fa-5b8e122f8500;DE;2018-12-22;2019-01-05;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
03457196-a81a-49a9-896b-445ec54a3f27;DE;2019-03-04;2019-03-08;School;Regional;DE Winterferien,EN Winter Holidays;BY
95319bb8-0fcd-476f-8605-d3a9cefbfe58;DE;2019-04-15;2019-04-27;School;Regional;DE Osterferien,EN Easter Holidays;BY
91b92c46-7a70-4cb6-9823-4cb680e98865;DE;2019-06-11;2019-06-21;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
14574f3c-245c-410b-8d8c-506e425a618a;DE;2019-07-29;2019-09-09;School;Regional;DE Sommerferien,EN Summer Holidays;BY
8b7de743-27fb-4fbe-8652-65022d79315b;DE;2019-10-28;2019-10-31;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
6517ca3d-c6a7-4298-ba30-c9f483ae83aa;DE;2019-11-20;2019-11-20;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
3c508482-faa7-4fe8-b80b-bb7f33dcc4ef;DE;2019-12-23;2020-01-04;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
a570a9c7-10b8-4ee9-b4a3-268f224017d0;DE;2020-02-24;2020-02-28;School;Regional;DE Frühjahrsferien,EN Spring Holidays;BY
e17083ad-ad28-4284-92b5-bf07da7958e1;DE;2020-04-06;2020-04-18;School;Regional;DE Osterferien,EN Easter Holidays;BY
bebe56e4-e16f-49af-8a3e-b01f03c74f59;DE;2020-06-02;2020-06-13;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
915fb380-b6ad-4542-a2b2-2e7111323f49;DE;2020-07-27;2020-09-07;School;Regional;DE Sommerferien,EN Summer Holidays;BY
f63af775-225d-47bd-bb9a-74e9450a9932;DE;2020-10-31;2020-11-06;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
010baeca-7fc4-468a-a869-181cd0560104;DE;2020-11-18;;School;Regional;DE Buß- und Bettag,EN Repentance Day;BY
9b11d6b2-4ce1-4f7b-9472-e4c66fb63c06;DE;2020-12-23;2021-01-09;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
b359fe5f-f6d9-45ee-8f8e-89bdfd557797;DE;2021-03-29;2021-04-10;School;Regional;DE Osterferien,EN Easter Holidays;BY
bee479e6-7a9f-44f6-9457-601a51cbc692;DE;2021-05-25;2021-06-04;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
bd663213-a04d-4d20-ae92-7ba54bf28257;DE;2021-07-30;2021-09-13;School;Regional;DE Sommerferien,EN Summer Holidays;BY
170e3acd-6518-460d-824b-e7a86a8468e8;DE;2021-11-02;2021-11-05;School;Regional;DE Herbstferien,EN Autumn Holidays;BY
b233ad5d-2c8d-4c58-89f7-b990a2bace91;DE;2021-11-17;;School;Regional;DE Buß- und Bettag,EN Repentance Day;BY
cba055e2-e225-44fa-a20f-37ec20355fa9;DE;2021-12-24;2022-01-08;School;Regional;DE Weihnachtsferien,EN Christmas Holidays;BY
80a241e8-a0d0-4b89-8905-bb08cd6d28a6;DE;2022-02-28;2022-03-04;School;Regional;DE Frühjahrsferien,EN Spring Holidays;BY
64ebbda3-6c9b-4109-9326-185ca96b50e6;DE;2022-04-11;2022-04-23;School;Regional;DE Osterferien,EN Easter Holidays;BY
73e0cd5a-260d-4fad-8aa1-d45d9d9b0eae;DE;2022-06-07;2022-06-18;School;Regional;DE Pfingstferien,EN Pentecost Holidays;BY
