Id;Country;StartDate;EndDate;Type;Names;Subdivisions
15b070d6-0068-4808-8901-a40937fc6903;DE;2020-02-03;2020-02-04;School;DE Halbjahresferien,EN Mid-Year Holidays;NI
3a7032f2-e81e-457d-ab44-2e39683d9412;DE;2020-03-30;2020-04-14;School;DE Osterferien,EN Easter Holidays;NI
17cf32a8-8ba4-4916-91a7-d1b2ffad177a;DE;2020-05-22;;School;DE Tag nach Himmelfahrt,EN Day after Ascension;NI
3909e8bd-8295-4bbc-8a8b-7813eb64402a;DE;2020-06-02;;School;DE Pfingstferien,EN Pentecost Holidays;NI
88a02a12-92b8-42c8-bd9f-7f62913d835b;DE;2020-07-16;2020-08-26;School;DE Sommerferien,EN Summer Holidays;NI
ab8e0eac-7395-4609-8873-67d9206a4536;DE;2020-10-12;2020-10-23;School;DE Herbstferien,EN Autumn Holidays;NI
15916042-502b-45d5-9cca-9b23116f7737;DE;2020-12-23;2021-01-08;School;DE Weihnachtsferien,EN Christmas Holidays;NI
00b741b8-6fb6-4589-8675-9508c94bbe95;DE;2021-02-01;2021-02-02;School;DE Halbjahresferien,EN Mid-Year Holidays;NI
e115ece7-54be-4f24-8086-a792eaed6da4;DE;2021-03-29;2021-04-09;School;DE Osterferien ;NI
5ec3f24f-bc3c-45aa-86d7-37620a02a9b9;DE;2021-05-14;;School;DE Tag nach Himmelfahrt,EN Day after Ascension;NI
fe251441-e264-4cc5-a01c-74ac5c4e5ac4;DE;2021-05-25;;School;DE Pfingstferien,EN Pentecost Holidays;NI
f3fb404f-6dd2-4e0c-baa1-70ba6be4b135;DE;2021-07-22;2021-09-01;School;DE Sommerferien,EN Summer Holidays;NI
6466b649-8c4c-4ebc-9b82-ea6fe0fd91c7;DE;2021-10-18;2021-10-29;School;DE Herbstferien,EN Autumn Holidays;NI
56261a5d-436a-4b59-8830-653141e1ebf9;DE;2021-12-23;2022-01-07;School;DE Weihnachtsferien,EN Christmas Holidays;NI
d6cba264-97bc-49ca-b194-8f360347e7ec;DE;2022-01-31;2022-02-01;School;DE Halbjahresferien,EN Mid-Year Holidays;NI
84fc6372-8e77-44f1-b6be-4c0f40685a11;DE;2022-04-04;2022-04-19;School;DE Osterferien,EN Easter Holidays;NI
b991b726-1f3a-4687-8aef-97d444a8ef57;DE;2022-05-27;;School;DE Tag nach Himmelfahrt,EN Day after Ascension;NI
a1218fed-a1d0-4d6a-945f-21e402f49ac0;DE;2022-06-07;;School;DE Pfingstferien,EN Pentecost Holidays;NI
212cbb0a-e27b-4dba-8df7-a20f1eb047a7;DE;2022-07-14;2022-08-24;School;DE Sommerferien,EN Summer Holidays;NI
a6e96942-4fe6-442d-a817-9f75f268667d;DE;2022-10-17;2022-10-28;School;DE Herbstferien,EN Autumn Holidays;NI
8ab8cdf6-4a14-42bf-ade1-719de08ae05f;DE;2022-12-23;2023-01-06;School;DE Weihnachtsferien,EN Christmas Holidays;NI
675d0c99-0ca2-4138-9467-9728ca15b110;DE;2023-01-30;2023-01-31;School;DE Halbjahresferien,EN Mid-Year Holidays;NI
470d1e84-7d66-4682-8afa-2d9ad6f4bed0;DE;2023-03-27;2023-04-11;School;DE Osterferien,EN Easter Holidays;NI
d56aedaa-2d5c-4321-8b37-e350e90f2c57;DE;2023-05-19;;School;DE Tag nach Himmelfahrt,EN Day after Ascension;NI
99df2a8a-f282-4e6f-91e8-d4340e90d66a;DE;2023-05-30;;School;DE Pfingstferien,EN Pentecost Holidays;NI
3fd10305-8e07-475d-a9de-4cd8bebe3efd;DE;2023-07-06;2023-08-16;School;DE Sommerferien,EN Summer Holidays;NI
434d5cb4-2135-45bd-9d5f-7fb238312c10;DE;2023-10-16;2023-10-27;School;DE Herbstferien,EN Autumn Holidays;NI
33524711-356e-413f-9fbc-66aca2c30e2a;DE;2023-12-27;2024-01-05;School;DE Weihnachtsferien,EN Christmas Holidays;NI
d2efaae2-cc07-4f90-bbc9-848c3a106617;DE;2024-02-01;2024-02-02;School;DE Halbjahresferien,EN Mid-Year Holidays;NI
1157a099-84f9-4fea-95e1-6e200b79ba50;DE;2024-03-18;2024-03-28;School;DE Osterferien,EN Easter Holidays;NI
02f7e80f-68bc-4310-9a9f-1633afd43c56;DE;2024-05-10;;School;DE Tag nach Himmelfahrt,EN Day after Ascension;NI
4fcb6670-da73-4192-96cc-02a57d5509f8;DE;2024-05-21;;School;DE Pfingstferien,EN Pentecost Holidays;NI
53c6ec23-4b84-409d-b177-2de3c03747c8;DE;2024-06-24;2024-08-02;School;DE Sommerferien,EN Summer Holidays;NI
ccca6f5e-5404-47b1-898c-e4faa6820d90;DE;2025-07-03;2025-08-13;School;DE Sommerferien,EN Summer Holidays;NI
c65b59bf-205b-4c94-a26f-902374f04cd9;DE;2026-07-02;2026-08-12;School;DE Sommerferien,EN Summer Holidays;NI
0607cadc-24b4-4c49-842e-0e867d048fb4;DE;2027-07-08;2027-08-18;School;DE Sommerferien,EN Summer Holidays;NI
dcc60252-6656-4947-b493-ce86e07b2b38;DE;2028-07-20;2028-08-30;School;DE Sommerferien,EN Summer Holidays;NI
6aa2a492-f867-4633-a46d-9f6a0f239aa3;DE;2029-07-19;2029-08-29;School;DE Sommerferien,EN Summer Holidays;NI
ac1b82ec-2e38-4bec-bec2-397e7afe338b;DE;2030-07-11;2030-08-21;School;DE Sommerferien,EN Summer Holidays;NI
