Id;Country;StartDate;EndDate;Type;RegionalScope;Name
891f9725-04d2-40ff-ab42-8d070beacdf0;DK;2025-01-01;;Public;National;DA Nytårsdag,DE Neujahrstag,EN New Year's Day
13230fe8-bac5-425b-8052-d6797bbd3239;DK;2025-04-17;;Public;National;DA Skærtorsdag,DE Gruendonnerstag,EN Maundy Thursday
678e5507-17ec-4ba5-a926-569c160dac97;DK;2025-04-18;;Public;National;DA Langfredag,DE Karfreitag,EN Good Friday
f7329519-1e6e-4b3a-9779-f6b5662f63ab;DK;2025-04-20;;Public;National;DA Påskedag,DE Ostersonntag,EN Easter Sunday
d3063ea3-876a-4848-8608-35d83d728603;DK;2025-04-21;;Public;National;DA Anden påskedag,DE Ostermontag,EN Easter Monday
d620b59a-0c9a-487c-a621-6b6691970a3c;DK;2025-05-29;;Public;National;DA Kristi himmelfartsdag,DE Christi Himmelfahrt,EN Ascension Day
112df931-5bea-417b-bd43-42c441a82428;DK;2025-06-08;;Public;National;DA Pinsedag,DE Pfingstsonntag,EN Whit Sunday
d29ad045-c9dc-4d31-918a-83b2f0ec34b9;DK;2025-06-09;;Public;National;DA Anden pinsedag,DE Pfingstmontag,EN Whit Monday
62270452-12b3-4ee4-8a92-57da26abe8f2;DK;2025-12-25;;Public;National;DA Juledag,DE Erster Weihnachtstag,EN Christmas Day
05391b84-170f-4168-9fd4-bcc863b933ff;DK;2025-12-26;;Public;National;DA Anden juledag,DE Zweiter Weihnachtstag,EN Second Day of Christmas
d73f2668-6001-4aa4-81d4-97978a533895;DK;2026-01-01;;Public;National;DA Nytårsdag,DE Neujahrstag,EN New Year's Day
f6c485a6-6930-4179-bf14-9bbc2f6c9b01;DK;2026-04-02;;Public;National;DA Skærtorsdag,DE Gruendonnerstag,EN Maundy Thursday
768b73a6-a61e-452a-8e4e-dba3048572a4;DK;2026-04-03;;Public;National;DA Langfredag,DE Karfreitag,EN Good Friday
c3264615-563a-4beb-8e2c-dad69e828845;DK;2026-04-05;;Public;National;DA Påskedag,DE Ostersonntag,EN Easter Sunday
1e13d0e1-ac83-4e14-b99a-db2ca9e87a0a;DK;2026-04-06;;Public;National;DA Anden påskedag,DE Ostermontag,EN Easter Monday
03868562-9c01-4e47-9bc5-2b09b71b212d;DK;2026-05-14;;Public;National;DA Kristi himmelfartsdag,DE Christi Himmelfahrt,EN Ascension Day
e225e4d7-53e5-42b4-8938-262da8355926;DK;2026-05-24;;Public;National;DA Pinsedag,DE Pfingstsonntag,EN Whit Sunday
1d5935a8-c8c6-4856-b8ee-b76027f734c9;DK;2026-05-25;;Public;National;DA Anden pinsedag,DE Pfingstmontag,EN Whit Monday
0d0d21cc-1038-4eae-8a18-54fccc957f54;DK;2026-12-25;;Public;National;DA Juledag,DE Erster Weihnachtstag,EN Christmas Day
5e8da92b-396c-48d7-88df-6fe96feca18f;DK;2026-12-26;;Public;National;DA Anden juledag,DE Zweiter Weihnachtstag,EN Second Day of Christmas
330168c5-5585-47f0-917b-fe69de8f20a1;DK;2027-01-01;;Public;National;DA Nytårsdag,DE Neujahrstag,EN New Year's Day
f0e65b17-c263-4657-8063-efc0cd1c2f22;DK;2027-03-25;;Public;National;DA Skærtorsdag,DE Gruendonnerstag,EN Maundy Thursday
4a215145-f610-447d-b6a0-7814b780667b;DK;2027-03-26;;Public;National;DA Langfredag,DE Karfreitag,EN Good Friday
a42791fc-2508-46f6-85ff-ed8fefb235c9;DK;2027-03-28;;Public;National;DA Påskedag,DE Ostersonntag,EN Easter Sunday
699ec568-b60b-4bd0-bc56-289d6595ba78;DK;2027-03-29;;Public;National;DA Anden påskedag,DE Ostermontag,EN Easter Monday
6ae98fd2-6bd5-41c5-b964-acfc49998507;DK;2027-05-06;;Public;National;DA Kristi himmelfartsdag,DE Christi Himmelfahrt,EN Ascension Day
6fcedd9f-b98a-49c5-977e-11436d8fdcab;DK;2027-05-16;;Public;National;DA Pinsedag,DE Pfingstsonntag,EN Whit Sunday
37b6106d-40cd-4361-a7b0-ee7b59922db6;DK;2027-05-17;;Public;National;DA Anden pinsedag,DE Pfingstmontag,EN Whit Monday
ebd52fee-b269-411f-a199-3adc14a1002a;DK;2027-12-25;;Public;National;DA Juledag,DE Erster Weihnachtstag,EN Christmas Day
5ffe99ee-2e12-4488-a171-89030cf7523a;DK;2027-12-26;;Public;National;DA Anden juledag,DE Zweiter Weihnachtstag,EN Second Day of Christmas
e437c28c-9119-4824-a1ab-77d6f488c93c;DK;2028-01-01;;Public;National;DA Nytårsdag,DE Neujahrstag,EN New Year's Day
cbcd15ca-35b7-4467-82b5-7e41105a2081;DK;2028-04-13;;Public;National;DA Skærtorsdag,DE Gruendonnerstag,EN Maundy Thursday
baf22102-fcec-46cf-a9fd-156d30d8766a;DK;2028-04-14;;Public;National;DA Langfredag,DE Karfreitag,EN Good Friday
