Id;Country;StartDate;EndDate;Type;Name;Subdivisions
dcd3850b-d4ba-4951-95d5-ea4e8e0f1c62;ES;2019-12-23;2020-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-GR
844e682f-4918-435e-a2e4-19175f3f684b;ES;2020-03-02;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-GR
3807259e-e505-4015-b5ef-03e9baf40a65;ES;2020-04-06;2020-04-10;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-GR
c3f88ded-4cc6-4ed2-8bd1-6956081aff98;ES;2020-05-04;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
65a433c4-2829-407c-80c0-1788500ce82f;ES;2020-06-24;2020-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-GR
12b9f52a-10e8-4516-986f-606921715b60;ES;2020-12-23;2021-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-GR
938f3a0a-abea-4846-b221-3254e9f99bab;ES;2021-02-26;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-GR
9837164f-0fed-4e34-ab56-12fb2cabc784;ES;2021-03-01;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
fbb95b57-cb3d-4cf7-8304-0d78a5b2a61a;ES;2021-03-28;2021-04-04;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-GR
993e5b70-b27c-435a-8cf7-cb18f5dba640;ES;2021-06-23;2021-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-GR
b1438058-f50f-4d8e-ab03-fac51be3530d;ES;2021-10-11;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
74240cd2-7060-4961-9f82-268797d158a9;ES;2021-12-07;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
7b74c17a-3c80-458e-9199-748651d558b3;ES;2021-12-24;2022-01-06;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-GR
dc93359d-2b2e-4711-91eb-e71b0f98f3f3;ES;2022-01-07;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
0ce8fa53-a0ac-4b64-9679-3b52abaa36f5;ES;2022-02-25;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
a8daa9e5-56d4-493e-882b-f26e8ff78640;ES;2022-03-01;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-GR
225eb6f5-e10b-46ed-a187-251ae0e30c57;ES;2022-04-10;2022-04-17;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-GR
b672ba80-9bf1-43e5-8e90-a3730b77b2fe;ES;2022-06-25;2022-09-11;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-GR
4bcac323-f5b1-4dec-adaf-946f60b3e22e;ES;2022-10-31;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
3c98a74b-662a-43f1-9982-b8baafeb74df;ES;2022-12-24;2023-01-08;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-GR
7be0edd2-310e-48a2-b4cb-39649f538365;ES;2023-02-27;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-GR
aa3146e1-987c-4bcf-8190-3e37be2606f5;ES;2023-03-01;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
8e74fd1b-bbdd-4e2b-97ad-0687e221e534;ES;2023-04-02;2023-04-09;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-GR
29527552-6c24-4491-8581-be4def5fedd1;ES;2023-06-24;2023-09-10;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-GR
a3cd0cdf-908e-4430-aa83-18139bc12387;ES;2023-12-07;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
eb8306c8-924b-4f50-ad66-186c208eed33;ES;2023-12-23;2024-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-GR
44bc927e-da8a-43bf-a573-ec42cd19c428;ES;2024-02-29;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-GR
a705ebf1-5f90-41d8-9e03-f05fcc43ac0d;ES;2024-03-01;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-GR
78c90910-8c05-4341-8877-876678a63524;ES;2024-03-25;2024-03-31;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-GR
26662f35-df6e-4c06-bfed-bd95242f0d56;ES;2024-06-24;;EndOfLessons;ES Fin de lecciones,CA Final de lliçons,DE Unterrichtsende,EN End of lessons;AN-GR
