Id;Country;StartDate;EndDate;Type;Name;Subdivisions
c4f5bc41-71a1-4615-9ca6-92ef0c9d3d3f;ES;2019-12-23;2020-01-06;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-MA
650c3ea5-4c7d-429c-ad82-812bac5ea6ff;ES;2020-02-24;2020-02-28;School;ES Semana Blanca,CA Setmana Blanca,DE Weiße Woche,EN White Week;AN-MA
197ef789-0589-4123-8f45-709bd0dc146e;ES;2020-04-06;2020-04-12;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-MA
29c9bf6a-3e48-41e6-84f0-badea8e50f93;ES;2020-06-25;2020-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-MA
64620f9c-8976-497b-802d-fecfab99bfab;ES;2020-12-23;2021-01-06;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-MA
6886e167-203c-41af-9d2e-a89cb0cbfd3b;ES;2021-02-22;2021-02-26;School;ES Semana Blanca,CA Setmana Blanca,DE Weiße Woche,EN White Week;AN-MA
0acea516-5f4d-41ee-8471-22fee51cee4b;ES;2021-03-29;2021-04-04;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-MA
3d5653f5-7b1d-4815-a6b9-1fdd2667ab41;ES;2021-06-25;2021-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-MA
c427151a-758f-4793-bc77-3aa63c45c31c;ES;2021-12-24;2022-01-06;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-MA
d8090f2c-d48b-4e95-b1c2-df38cfa59a23;ES;2022-01-07;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-MA
0ee2fec2-8833-4d6d-aa59-5859c0f6919e;ES;2022-02-28;2022-03-04;School;ES Semana Blanca,CA Setmana Blanca,DE Weiße Woche,EN White Week;AN-MA
d4b4d2f5-f8a6-4884-87f9-94e4482a030b;ES;2022-04-11;2022-04-15;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-MA
2fba7210-f49a-43ad-b543-a4e6cf47ae1b;ES;2022-06-25;2022-09-11;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-MA
ffe0ee94-353b-4daf-ab63-8e5d3d7b22fd;ES;2022-12-24;2023-01-08;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-MA
6ee98adb-51f9-4264-a87b-a72b91a35e2b;ES;2023-02-27;2023-03-03;School;ES Semana Blanca,CA Setmana Blanca,DE Weiße Woche,EN White Week;AN-MA
78125c53-5b2e-452d-82b7-d64e9f745b7f;ES;2023-04-03;2023-04-07;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-MA
f3d51f92-7b70-4b94-a226-39fcd4ecbd21;ES;2023-06-24;2023-09-10;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-MA
a2373aef-8769-48fc-b904-c6bed67ba376;ES;2023-12-25;2024-01-05;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-MA
793a4c2b-3ea9-4ff5-90a1-4d603f22f885;ES;2024-02-26;2024-03-01;School;ES Semana Blanca,CA Setmana Blanca,DE Weiße Woche,EN White Week;AN-MA
4c7d89b1-0bd0-4ef1-95d2-c2ce5689d524;ES;2024-03-25;2024-03-29;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-MA
8f6c3017-af4b-46b9-b2ed-1774d7f5fff4;ES;2024-06-21;;EndOfLessons;ES Fin de lecciones,CA Final de lliçons,DE Unterrichtsende,EN End of lessons;AN-MA
