Id;Country;StartDate;EndDate;Type;Name;Subdivisions
ea572242-998c-465e-91e8-4a9e2e99384c;ES;2019-12-23;2020-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;IB
7ad26231-0001-4419-aec4-202900441f8a;ES;2020-02-28;;School;ES Fiesta Escolar Unificada,CA Festa Escolar Unificada,DE Schulfreier Tag,EN Non-teaching day;IB
020d14c1-aa0c-4816-9166-21156f8359b6;ES;2020-04-08;2020-04-19;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;IB
a2146654-6938-464f-8c33-68419c75e7f5;ES;2020-06-20;2020-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;IB
a1a43626-ac34-460f-bf05-e1f7b1dea0ec;ES;2020-12-23;2021-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;IB
02a81453-718d-45de-b8fb-20ddbf136969;ES;2021-02-26;;School;ES Fiesta Escolar Unificada,CA Festa Escolar Unificada,DE Schulfreier Tag,EN Non-teaching day;IB
7c140245-8cba-45c1-901c-51ec42159d1b;ES;2021-04-01;2021-04-11;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;IB
04fcce4b-7c6c-47bc-baab-12c931778dbe;ES;2021-06-23;2021-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;IB
8caf2786-f4d6-4715-91f2-ab09110b455f;ES;2021-12-23;2022-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;IB
8914d2c1-0283-4a5a-b81a-e81f29e9d41c;ES;2022-02-28;;School;ES Fiesta Escolar Unificada,CA Festa Escolar Unificada,DE Schulfreier Tag,EN Non-teaching day;IB
a01f696d-771f-49db-8027-3b80b488d5f8;ES;2022-04-14;2022-04-22;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;IB
781b97e4-8819-4bc8-a52a-c2cefbdd6fb3;ES;2022-06-24;2022-09-11;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;IB
750afccc-3c00-453f-badd-ba6d41c5bd91;ES;2022-12-23;2023-01-05;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;IB
60269a52-d274-4112-9c19-cddeacc5016b;ES;2023-02-28;;School;ES Fiesta Escolar Unificada,CA Festa Escolar Unificada,DE Schulfreier Tag,EN Non-teaching day;IB
f42a0c1d-047e-4602-b5cf-a906d93d9853;ES;2023-04-06;2023-04-14;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;IB
f7a16190-79e9-448d-a3f2-f682f6289a71;ES;2023-06-24;2023-09-10;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;IB
f8b50230-087d-4b50-85af-a9026bf9d9f7;ES;2023-12-22;2024-01-05;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;IB
698301a9-639d-4d65-8d96-868ba8703f1f;ES;2024-02-29;;School;ES Fiesta Escolar Unificada,CA Festa Escolar Unificada,DE Schulfreier Tag,EN Non-teaching day;IB
eaa6ca95-d737-4a43-81f4-96a16a6cba70;ES;2024-03-28;2024-04-05;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;IB
3a89d244-be68-485e-9ab3-b323cce57146;ES;2024-06-21;;EndOfLessons;ES Fin de lecciones,CA Final de lliçons,DE Unterrichtsende,EN End of lessons;IB
