Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions
3662c618-d29e-4f39-ba52-912d08f80d9c;ES;2019-12-23;2020-01-07;School;Regional;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;ML
e7dee56d-4c2e-44ee-ac3d-5f4066f260b2;ES;2020-01-07;2020-01-08;School;Regional;ES Días de libre disposición,CA Dies de lliure disposició,DE Schulfreie Tage,EN Non-teaching days;ML
8e17c948-61e1-4e07-8310-aa74d8a862c1;ES;2020-03-30;2020-03-31;School;Regional;ES Días de libre disposición,CA Dies de lliure disposició,DE Schulfreie Tage,EN Non-teaching days;ML
748101e3-eec0-45cf-9aea-4226dd9988a9;ES;2020-04-01;2020-04-03;School;Regional;ES Días de libre disposición,CA Dies de lliure disposició,DE Schulfreie Tage,EN Non-teaching days;ML
34e9022c-eaf9-438c-b385-e73616ce7391;ES;2020-04-06;2020-04-10;School;Regional;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;ML
5659c31f-363e-4cf6-a568-f45b86c22be8;ES;2020-05-25;;School;Regional;ES Día de libre disposición,CA Dia de lliure disposició,DE Schulfreier Tag,EN Non-teaching day;ML
91fac11b-abe5-4054-be95-422ccc4d8197;ES;2020-06-23;2020-09-07;School;Regional;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;ML
301ba7a9-2086-4e16-ba04-0a3bc633bac5;ES;2020-12-07;;School;Regional;ES Día de libre disposición,CA Dia de lliure disposició,DE Schulfreier Tag,EN Non-teaching day;ML
c6706714-60a3-4030-b4bf-cb6d2476118c;ES;2020-12-23;2021-01-05;School;Regional;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;ML
b5d64b03-81d4-44a2-8cd3-770082f49d51;ES;2021-02-15;;School;Regional;ES Día de libre disposición,CA Dia de lliure disposició,DE Schulfreier Tag,EN Non-teaching day;ML
ca5e890d-804b-439f-bdf6-a8c0a0f8962c;ES;2021-03-22;2021-03-26;School;Regional;ES Días de libre disposición,CA Dies de lliure disposició,DE Schulfreie Tage,EN Non-teaching days;ML
af04af71-efb7-43c0-af2d-7924066a8f03;ES;2021-03-29;2021-04-02;School;Regional;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;ML
d5fc606d-18ce-4081-a428-ecf99736667d;ES;2021-06-19;2021-09-06;School;Regional;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;ML
97a61792-8afc-4347-8c73-ed0f47964aff;ES;2021-10-11;;School;Regional;ES Día de libre disposición,CA Dia de lliure disposició,DE Schulfreier Tag,EN Non-teaching day;ML
41c03734-aded-4ce7-8679-9bd90532af2e;ES;2021-12-07;;School;Regional;ES Día de libre disposición,CA Dia de lliure disposició,DE Schulfreier Tag,EN Non-teaching day;ML
5efba83b-c6f9-4d8c-a008-88109fb90050;ES;2021-12-23;2022-01-07;School;Regional;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;ML
49921f4b-f620-4ea8-8832-5d4f573c1a41;ES;2022-04-04;2022-04-08;School;Regional;ES Días de libre disposición,CA Dies de lliure disposició,DE Schulfreie Tage,EN Non-teaching days;ML
52cda148-9a27-47b1-bbcd-da680c55adad;ES;2022-04-11;2022-04-15;School;Regional;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;ML
