Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
ES;ES-AN;ES-AN;AN;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES Andalucía,CA Andalusia,EN Andalusia,DE Andalusien;ES;
ES;ES-AN-AL;ES-AL;AN-AL;ES provincia,CA província,EN province,DE Provinz;ES Almería,CA Almeria,EN Almería,DE Almería;ES;AN
ES;ES-AN-CA;ES-CA;AN-CA;ES provincia,CA província,EN province,DE Provinz;ES Cádiz,CA Càdiz,EN Cádiz,DE Cádiz;ES;AN
ES;ES-AN-CO;ES-CO;AN-CO;ES provincia,CA província,EN province,DE Provinz;ES Córdoba,CA Còrdova,EN Córdoba,DE Córdoba;ES;AN
ES;ES-AN-GR;ES-GR;AN-GR;ES provincia,CA província,EN province,DE Provinz;ES Granada,CA Granada,EN Granada,DE Granada;ES;AN
ES;ES-AN-HL;ES-H;AN-HL;ES provincia,CA província,EN province,DE Provinz;ES Huelva,CA Huelva,EN Huelva,DE Huelva;ES;AN
ES;ES-AN-JA;ES-J;AN-JA;ES provincia,CA província,EN province,DE Provinz;ES Jaén,CA Jaén,EN Jaén,DE Jaén;ES;AN
ES;ES-AN-MA;ES-MA;AN-MA;ES provincia,CA província,EN province,DE Provinz;ES Málaga,CA Màlaga,EN Málaga,DE Málaga;ES;AN
ES;ES-AN-SE;ES-SE;AN-SE;ES provincia,CA província,EN province,DE Provinz;ES Sevilla,CA Sevilla,EN Seville,DE Sevilla;ES;AN
ES;ES-AR;ES-AR;AR;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES Aragón,CA Aragó,EN Aragon,DE Aragonien;ES;
ES;ES-AR-HU;ES-HU;AR-HU;ES provincia,CA província,EN province,DE Provinz;ES Huesca,CA Huesca,EN Huesca,DE Huesca;ES;AR
ES;ES-AR-TE;ES-TE;AR-TE;ES provincia,CA província,EN province,DE Provinz;ES Teruel,CA Terol,EN Teruel,DE Teruel;ES;AR
ES;ES-AR-ZG;ES-Z;AR-ZG;ES provincia,CA província,EN province,DE Provinz;ES Zaragoza,CA Saragossa,EN Zaragoza,DE Saragossa;ES;AR
ES;ES-AS;ES-AS;AS;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES Asturias,CA Astúries,EN Asturias,DE Asturien;ES;
ES;ES-AS-AS;ES-O;AS-AS;ES provincia,CA província,EN province,DE Provinz;ES Asturias,CA Astúries,EN Asturias,DE Asturien;ES;AS
ES;ES-CB;ES-CB;CB;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES Cantabria,CA Cantàbria,EN Cantabria,DE Kantabrien;ES;
ES;ES-CB-CB;ES-S;CB-CB;ES provincia,CA província,EN province,DE Provinz;ES Cantabria,CA Cantàbria,EN Cantabria,DE Kantabrien;ES;CB
ES;ES-CE;ES-CE;CE;ES Ciudad autónoma del norte de África,CA Ciutat autònoma a l'Àfrica del Nord,EN Autonomous city in North Africa,DE Autonome Stadt in Nordafrika;ES Ceuta,CA Ceuta,EN Ceuta,DE Ceuta;ES;
ES;ES-CL;ES-CL;CL;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES Castilla y León,CA Castella i Lleó,EN Castile and León,DE Kastilien und León;ES;
ES;ES-CL-AV;ES-AV;CL-AV;ES provincia,CA província,EN province,DE Provinz;ES Ávila,CA Àvila,EN ÁvilaDE,DE Ávila;ES;CL
ES;ES-CL-BU;ES-BU;CL-BU;ES provincia,CA província,EN province,DE Provinz;ES Burgos,CA Burgos,EN Burgos,DE Burgos;ES;CL
