Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions
ee233cf8-c1a1-41bd-b1b7-7df82eff7618;FR;2019-12-22;2020-01-05;School;Regional;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;GP,BL,MF
6d38927e-4a61-45bb-8419-8607939c8e5e;FR;2020-02-16;2020-03-01;School;Regional;FR Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays;GP,BL,MF
dd277ef4-7466-4c88-ac82-7d29808ef701;FR;2020-04-09;2020-04-22;School;Regional;FR Vacances de Pâques,DE Osterferien,EN Easter holidays;GP,BL,MF
59088602-f79e-489d-b419-393a08997a66;FR;2020-05-22;2020-05-23;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,BL,MF
f64768e4-96f2-44ea-8886-2e9eda59a2f9;FR;2020-07-05;2020-08-31;School;Regional;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;GP,BL,MF
56ccbb5e-4d0c-406d-a238-7e5d34b32c73;FR;2020-10-18;2020-11-01;School;Regional;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;GP,BL,MF
878e1e15-8a58-451b-8cb7-5cb092c6b4af;FR;2020-12-20;2021-01-03;School;Regional;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;GP,BL,MF
c5c5ea55-6ea9-4940-97a3-69f510772bc2;FR;2021-02-10;2021-02-21;School;Regional;FR Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays;GP,BL,MF
1b19e092-6cf3-480d-95e0-9fc52b573884;FR;2021-03-28;2021-04-11;School;Regional;FR Vacances de Pâques,DE Osterferien,EN Easter holidays;GP,BL,MF
d9caa6c8-db37-4157-b928-c5bf075f3e9e;FR;2021-05-25;2021-05-26;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,MF
2aac675f-4527-4dce-a3be-6304b8ff79e4;FR;2021-05-27;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;MF
a637f735-216d-421c-a1d4-327166184e11;FR;2021-05-28;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP
e6dd0fc6-4426-46d2-be48-b70b1a4efdb5;FR;2021-05-29;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,MF
69f72fe9-2ee9-4296-84b7-2c3c78820221;FR;2021-10-24;2021-11-07;School;Regional;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;GP,BL,MF
76d10afa-a020-4962-9454-6b687bfcf8c5;FR;2021-12-19;2022-01-02;School;Regional;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;GP,BL,MF
fde1f459-2c50-4bf2-af7b-517bd62c99c7;FR;2022-02-20;2022-03-06;School;Regional;FR Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays;GP,BL,MF
6da0a7be-8fab-4459-b283-05eeecac877e;FR;2022-04-10;2022-04-24;School;Regional;FR Vacances de Pâques,DE Osterferien,EN Easter holidays;GP,BL,MF
4242a29e-83b1-405b-aea1-156efdbf0d48;FR;2022-05-19;2022-05-20;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,MF
00b0f052-108a-4acb-92d0-fda14ff6fcfc;FR;2022-05-23;2022-05-25;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,MF
98bdae03-fa6e-4f6d-bc0d-ba9fb37431b7;FR;2022-07-08;2022-08-31;School;Regional;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;GP,BL,MF
35ffcd25-4f36-4c0b-bd34-96008ff469af;FR;2022-10-23;2022-11-06;School;Regional;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;GP,BL,MF
6f3a78b3-f5cf-483d-ae50-3b8ee81f2244;FR;2022-12-18;2023-01-02;School;Regional;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;GP,BL,MF
5d6f0410-ffc4-4c12-aa4b-afc548892b90;FR;2023-02-12;2023-02-26;School;Regional;FR Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays;GP,BL,MF
f0c6ea92-1915-461f-8308-b7bb710d63c9;FR;2023-04-02;2023-04-26;School;Regional;FR Vacances de Pâques,DE Osterferien,EN Easter holidays;GP,BL,MF
81e95dbe-d305-470b-b12a-d79072b28a90;FR;2023-07-09;2023-09-03;School;Regional;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;GP,BL,MF
7a195ce5-afa6-4924-b0c5-0033ed83be8b;FR;2023-10-22;2023-11-05;School;Regional;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;GP,BL,MF
de5895ab-422b-4d16-b895-f5337d57b91f;FR;2023-12-24;2024-01-07;School;Regional;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;GP,BL,MF
fd6d3ae8-1370-4734-9f81-58ed45b3e04d;FR;2024-05-10;2024-05-11;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,BL,MF
531c2ff3-db93-4b09-928b-bc4a75803569;FR;2024-07-07;2024-09-01;School;Regional;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;GP,BL,MF
4cb53c43-7c3d-42e0-b151-0ef98ec40857;FR;2024-10-23;2024-11-03;School;Regional;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;GP,BL,MF
82a12ca2-02e5-40ac-92cd-56797f558fdc;FR;2024-12-22;2025-01-05;School;Regional;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;GP,BL,MF
2bd91fd2-1e02-497c-85c2-db027be3fbca;FR;2025-02-23;2025-03-09;School;Regional;FR Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays;GP,BL,MF
4380320b-84b4-4580-b9f0-047614a6a551;FR;2025-04-18;2025-05-04;School;Regional;FR Vacances de Pâques,DE Osterferien,EN Easter holidays;GP,BL,MF
7a3dbfb6-07c7-4278-b207-88b3e8668179;FR;2025-05-26;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,BL
f921f99e-8395-476b-83d5-267fdaa927bf;FR;2025-05-26;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,BL,MF
e245d0b7-ebd9-4942-889e-f1cddcc6c8f0;FR;2025-05-27;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;MF
e4bc6b44-57ef-4e56-8f0a-add6932fc8de;FR;2025-05-28;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,BL
91a62428-ccf2-4da1-ae3e-dc97a5a95178;FR;2025-05-29;;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;MF
c06ac335-87bb-4f74-89d7-3fc0d4869b07;FR;2025-05-30;2025-05-31;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,BL,MF
635a2266-f7cf-4c97-ad56-03a8e0a70a5d;FR;2025-07-06;2025-08-31;School;Regional;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;GP,BL,MF
2827b8ee-2354-45f6-bddf-338a5b87f901;FR;2025-10-19;2025-11-02;School;Regional;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;GP,BL,MF
0783d5cf-5e4b-4511-8ada-1400c4e8c2c0;FR;2025-12-21;2026-01-04;School;Regional;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;GP,BL,MF
cff561c5-f052-4d89-9f5a-cd38a410844f;FR;2026-02-08;2026-02-22;School;Regional;FR Vacances de Carnaval,DE Karnevalsferien,EN Carnival holidays;GP,BL,MF
280bc9e5-939e-4100-b35f-4ba1737c8ffe;FR;2026-04-03;2026-04-19;School;Regional;FR Vacances de Pâques,DE Osterferien,EN Easter holidays;GP,BL,MF
e0c1d64e-3010-4a5d-a489-1eb4cc8eea3d;FR;2026-04-18;2026-05-04;School;Regional;FR Vacances de Pâques,DE Osterferien,EN Easter holidays;GP,BL,MF
0d7bb68e-25d5-45ad-9af5-f858d2e87af6;FR;2026-05-15;2026-05-16;School;Regional;FR Semaine en Mai,DE Woche im Mai,EN Week in May;GP,BL
7bf2c413-c233-4103-8720-fdd4b8e29d7e;FR;2026-07-04;;EndOfLessons;Regional;FR Fin des cours,DE Unterrichtsende,EN End of lessons;GP,BL,MF
