Id;Country;StartDate;EndDate;Type;Names;OUnits;Comments
428fa6f9-f4cf-48f1-8c1a-8d615e49ba78;FR;2020-02-23;2020-03-08;School;FR Vacances d'hiver,DE Winterferien,EN Winter Holidays;ZA;
f551cfdd-0b38-47b2-9871-2f7e0502b04c;FR;2020-04-19;2021-05-03;School;FR Vacances de printemps,DE Frühjahrsferien,EN Spring Holidays;ZA;
0921af8d-d393-403d-acb6-15cbb3f129dc;FR;2020-07-05;2021-08-31;School;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;ZA;
320cf89a-3a44-41e6-9193-a581703f8540;FR;2020-10-18;2020-11-01;School;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;ZA;
924018e6-f64e-4d72-885d-e4df41486311;FR;2020-12-20;2021-01-03;School;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;ZA;
7c6ea7b3-8582-402d-ad86-400d64504150;FR;2021-02-07;2021-02-21;School;FR Vacances d'hiver,DE Winterferien,EN Winter Holidays;ZA;
03703e87-f302-4b46-8f2e-121217631abc;FR;2021-04-11;2021-04-25;School;FR Vacances de printemps,DE Frühjahrsferien,EN Spring Holidays;ZA;
e18b43c2-dee5-46f8-ad02-3d4135f88eba;FR;2021-07-07;2021-09-01;School;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;ZA;
e52fe0ef-4748-4452-9a48-2c159b60ec3e;FR;2021-10-24;2021-11-07;School;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;ZA;
62f30541-e019-4169-8b0e-df1b99a80762;FR;2021-12-19;2022-01-02;School;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;ZA;
f12d43c1-4b08-466e-baf0-1cf4de40d8fa;FR;2022-02-13;2022-02-27;School;FR Vacances d'hiver,DE Winterferien,EN Winter Holidays;ZA;
9a53783f-881c-4443-abc3-19dab61f8118;FR;2022-04-17;2022-05-01;School;FR Vacances de printemps,DE Frühjahrsferien,EN Spring Holidays;ZA;
b958ee81-6471-41df-89c9-ad93de874ec5;FR;2022-07-08;2022-08-31;School;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;ZA;
13bb3a41-0b49-4dfd-98c1-e2ffc17c543d;FR;2022-10-23;2022-11-06;School;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;ZA;
19e9fd0c-952d-4a91-a6e2-c33eb04f6919;FR;2022-12-18;2023-01-02;School;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;ZA;
2cd82201-b15d-40b5-bf39-1c006a0beb09;FR;2023-02-05;2023-02-19;School;FR Vacances d'hiver,DE Winterferien,EN Winter Holidays;ZA;
70be7e06-d26a-4820-b9e5-bcbe3523922f;FR;2023-04-09;2023-04-23;School;FR Vacances de printemps,DE Frühjahrsferien,EN Spring Holidays;ZA;
a77a7def-fc77-4f43-b30b-c6c35652095a;FR;2023-07-09;2023-09-03;School;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;ZA;
7592886b-b355-43cf-93ae-232bc1e4a5fa;FR;2023-10-21;2023-11-06;School;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;ZA;
a84882bb-7f11-42a6-a4c1-a6eeafa2c621;FR;2023-12-23;2024-01-08;School;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;ZA;
afff9cbd-77ed-4e52-8c1f-6f5a4245cb5c;FR;2024-02-17;2024-03-04;School;FR Vacances d'hiver,DE Winterferien,EN Winter Holidays;ZA;
1dd723f4-6d5f-48dd-afca-6549e30f3c44;FR;2024-04-13;2024-04-29;School;FR Vacances de printemps,DE Frühjahrsferien,EN Spring Holidays;ZA;
7caa5418-c8ec-44c4-ab8e-b1aede561fb7;FR;2024-07-07;2024-09-01;School;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;ZA;
b6125167-254b-4e8f-9a99-985a63b46cfb;FR;2024-10-19;2024-11-04;School;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;ZA;
37673317-e59e-48e9-baa1-d33cea33c080;FR;2024-12-21;2025-01-06;School;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;ZA;
8fb2bcb3-39f7-4dcf-8381-e7f671cb15c0;FR;2025-02-22;2025-03-10;School;FR Vacances d'hiver,DE Winterferien,EN Winter Holidays;ZA;
7cabe16f-10ed-4327-8130-f8defb5dad56;FR;2025-04-19;2025-05-05;School;FR Vacances de printemps,DE Frühjahrsferien,EN Spring Holidays;ZA;
1a3ba895-36f5-4825-ba90-87b2949441d2;FR;2025-07-06;2025-08-31;School;FR Vacances d'été,DE Sommerferien,EN Summer Holidays;ZA;
9efd88bb-e41b-4021-afc6-f5c1f493e3c8;FR;2025-10-18;2025-11-03;School;FR Vacances de la Toussaint,DE Allerheiligenferien,EN All Saints Holidays;ZA;
361a6fd9-8773-4d99-9c19-f481fec94476;FR;2025-12-20;2026-01-05;School;FR Vacances de Noël,DE Weihnachtsferien,EN Christmas Holidays;ZA;
954e5aae-39fc-418a-8a93-e758a8a6bb67;FR;2026-02-07;2026-02-23;School;FR Vacances d'hiver,DE Winterferien,EN Winter Holidays;ZA;
9353034c-7df8-4d95-902f-c51002bde552;FR;2026-04-04;2026-04-20;School;FR Vacances de printemps,DE Frühjahrsferien,EN Spring Holidays;ZA;
25265659-8d52-4b19-8edd-f321f4688cbf;FR;2026-07-05;;School;FR Début des vacances d'été,DE Beginn der Sommerferien,EN Start of Summer Holidays;ZA;
