Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
FR;FR-ZA;;ZA;FR zone,DE Zone,EN zone;FR Zone A,DE Zone A,EN Zone A;FR;
FR;FR-ZB;;ZB;FR zone,DE Zone,EN zone;FR Zone B,DE Zone B,EN Zone B;FR;
FR;FR-ZC;;ZC;FR zone,DE Zone,EN zone;FR Zone C,DE Zone C,EN Zone C;FR;
FR;FR-ZA-BE;;BE;FR académie,DE Schulbezirk,EN school district;FR Besançon;FR;ZA
FR;FR-ZA-BO;;BO;FR académie,DE Schulbezirk,EN school district;FR Bordeaux;FR;ZA
FR;FR-ZA-CF;;CF;FR académie,DE Schulbezirk,EN school district;FR Clermont-Ferrand;FR;ZA
FR;FR-ZA-DI;;DI;FR académie,DE Schulbezirk,EN school district;FR Dijon;FR;ZA
FR;FR-ZA-GR;;GR;FR académie,DE Schulbezirk,EN school district;FR Grenoble;FR;ZA
FR;FR-ZA-LI;;LI;FR académie,DE Schulbezirk,EN school district;FR Limoges;FR;ZA
FR;FR-ZA-LY;;LY;FR académie,DE Schulbezirk,EN school district;FR Lyon;FR;ZA
FR;FR-ZA-PO;;PO;FR académie,DE Schulbezirk,EN school district;FR Poitiers;FR;ZA
FR;FR-ZB-AM;;AM;FR académie,DE Schulbezirk,EN school district;FR Amiens;FR;ZB
FR;FR-ZB-AX;;AX;FR académie,DE Schulbezirk,EN school district;FR Aix-Marseille;FR;ZB
FR;FR-ZB-LL;;LL;FR académie,DE Schulbezirk,EN school district;FR Lille;FR;ZB
FR;FR-ZB-NA;;NA;FR académie,DE Schulbezirk,EN school district;FR Nantes;FR;ZB
FR;FR-ZB-NI;;NI;FR académie,DE Schulbezirk,EN school district;FR Nice;FR;ZB
FR;FR-ZB-NM;;NM;FR académie,DE Schulbezirk,EN school district;FR Nancy-Metz;FR;ZB
FR;FR-ZB-NO;;NO;FR académie,DE Schulbezirk,EN school district;FR Normandie;FR;ZB
FR;FR-ZB-OT;;OT;FR académie,DE Schulbezirk,EN school district;FR Orléans-Tours;FR;ZB
FR;FR-ZB-RE;;RE;FR académie,DE Schulbezirk,EN school district;FR Reims;FR;ZB
FR;FR-ZB-RN;;RN;FR académie,DE Schulbezirk,EN school district;FR Rennes;FR;ZB
FR;FR-ZB-ST;;ST;FR académie,DE Schulbezirk,EN school district;FR Strasbourg;FR;ZB
FR;FR-ZC-CR;;CR;FR académie,DE Schulbezirk,EN school district;FR Créteil;FR;ZC
FR;FR-ZC-MO;;MO;FR académie,DE Schulbezirk,EN school district;FR Montpellier;FR;ZC
FR;FR-ZC-PA;;PA;FR académie,DE Schulbezirk,EN school district;FR Paris;FR;ZC
FR;FR-ZC-TO;;TO;FR académie,DE Schulbezirk,EN school district;FR Toulouse;FR;ZC
FR;FR-ZC-VE;;VE;FR académie,DE Schulbezirk,EN school district;FR Versailles;FR;ZC
FR;FR-CO;FR-20R;CO;FR collectivité métropolitaine à statut particulier,DE Gebietskörperschaft mit Sonderstatus,EN metropolitan collectivity with special status;FR Corse,DE Korsika,EN Corsica;FR;
FR;FR-57;FR-57;57;FR département,DE Abteilung,EN department;FR Moselle;FR
FR;FR-67;FR-67;67;FR département,DE Abteilung,EN department;FR Bas-Rhin;FR
FR;FR-68;FR-68;68;FR département,DE Abteilung,EN department;FR Haut-Rhin;FR
FR;FR-GLP;FR-971;GP;FR département d'outre-mer,DE Überseedepartement,EN overseas department;FR Guadeloupe,DE Guadeloupe,EN Guadeloupe;FR
FR;FR-MTQ;FR-972;MQ;FR collectivité métropolitaine à statut particulier,DE Gebietskörperschaft mit Sonderstatus,EN metropolitan collectivity with special status;FR Martinique,DE Martinique,EN Martinique;FR
FR;FR-MYT;;YT;FR collectivité métropolitaine à statut particulier,DE Gebietskörperschaft mit Sonderstatus,EN metropolitan collectivity with special status;FR Mayotte,DE Mayotte,EN Mayotte;FR
FR;FR-GUY;;GY;FR collectivité métropolitaine à statut particulier,DE Gebietskörperschaft mit Sonderstatus,EN metropolitan collectivity with special status;FR Guyane,DE Guyana,EN Guyana;FR
FR;FR-REU;FR-974;RE;FR département d'outre-mer,DE Überseedepartement,EN overseas department;FR La Réunion,DE Reunion,EN Reunion;FR
FR;FR-BLM;FR-BL;BL;FR collectivité d'outre-mer,DE überseeische Gebietskörperschaft,EN overseas collectivity;FR Saint-Barthélemy,DE St. Barts,EN St. Barts;FR
FR;FR-MAF;FR-MF;MF;FR collectivité d'outre-mer,DE überseeische Gebietskörperschaft,EN overseas collectivity;FR Saint-Martin,DE Saint Martin,EN Saint Martin;FR
