Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions
a22cae31-a43d-4376-a877-6522b32dd780;GB;2025-01-01;;Public;National;DE Neujahrstag,EN New Year's Day,CY Dydd Calan,GA Lá Caille,GD Là Bliadhna Mhath Ùr,SCO Hogmanay;
f3599e3c-8551-44f6-a9b2-400249c5fc27;GB;2025-01-02;;Public;Regional;DE 2. Januar,EN 2nd January,GD An dàrna latha den Fhaoilleach,SCO Seicont o Januar;SCT
50f22dcf-a0eb-4551-abc4-34858d4d79b1;GB;2025-03-17;;Public;Regional;DE St. Patrick's Tag,EN St Patrick's Day,GA Lá Fhéile Pádraig;NIR
5540e61a-707b-4281-a193-f0b21f2b52be;GB;2025-04-18;;Public;National;DE Karfreitag,EN Good Friday,CY Dydd Gwener y Groglith,GA Aoine an Chéasta,GD Dihaoine na Ceusa,SCO Guid Friday;
6b42c8eb-a9cf-44b4-87c6-b783b4e4fbc3;GB;2025-04-21;;Public;Regional;DE Ostermontag,EN Easter Monday,CY Dydd Llun y Pasg,GA Luan Cásca;ENG,WLS,NIR
3ae390b8-c6ab-49c5-b066-5f998d355412;GB;2025-05-05;;Public;National;DE Maifeiertag,EN Early May bank holiday,CY Gwyl Banc Cynnar Mai,GA Lá Fhéile na Bealtaine,GD Là Fhèill Bealltainn,SCO May Day;
e9fe2b40-bb63-4a0b-a612-3367652473ed;GB;2025-05-26;;Public;National;DE Frühlingsfeiertag,EN Spring bank holiday,CY Gwyl Banc y Gwanwyn,GA Lá Saoire an Earraigh,GD Là Saoraidh an Earraich,SCO Spring Bank Holiday;
6f1bcde2-1f04-4737-9cf1-abc9739e4627;GB;2025-07-12;;Public;Regional;DE Schlacht am Boyne,EN Battle of the Boyne,GA Cath na Bóinne;NIR
53001eed-f3b3-4266-bd06-c1de1a29e194;GB;2025-08-04;;Public;Regional;DE Sommerfeiertag,EN Summer bank holiday,GD Là Saoraidh an t-Samhraidh,SCO Simmer Bank Holiday;SCT
ec356f93-c91c-4ce7-b331-2b4054dda9af;GB;2025-08-25;;Public;Regional;DE Sommerfeiertag,EN Summer bank holiday,CY Gwyl Banc yr Haf,GA Lá Saoire an tSamhraidh;ENG,WLS,NIR
