Country;Code;ShortName;Category;Name;Comment;OfficialLanguages;Parent
GB;GB-ENG;ENG;DE Land,EN country;DE England,EN England;;EN;
GB;GB-NIR;NIR;DE Provinz,EN province;DE Nordirland,EN Northern Ireland,GA Tuaisceart Éireann;;EN,GA;
GB;GB-SCT;SCT;DE Land,EN country;DE Schottland,EN Scotland,GD Alba,SCO Scotland;;EN,GD,SCO;
GB;GB-WLS;WLS;DE Land,EN country;CY Cymru,DE Wales,EN Wales;;CY,EN;
GB;GB-CAM;CAM;EN two-tier county;EN Cambridgeshire;;;ENG
GB;GB-CMA;CMA;EN two-tier county;EN Cumbria;;;ENG
GB;GB-DBY;DBY;EN two-tier county;EN Derbyshire;;;ENG
GB;GB-DEV;DEV;EN two-tier county;EN Devon;;;ENG
GB;GB-DOR;DOR;EN two-tier county;EN Dorset;;;ENG
GB;GB-ESX;ESX;EN two-tier county;EN East Sussex;;;ENG
GB;GB-ESS;ESS;EN two-tier county;EN Essex;;;ENG
GB;GB-GLS;GLS;EN two-tier county;EN Gloucestershire;;;ENG
GB;GB-HAM;HAM;EN two-tier county;EN Hampshire;;;ENG
GB;GB-HRT;HRT;EN two-tier county;EN Hertfordshire;;;ENG
GB;GB-KEN;KEN;EN two-tier county;EN Kent;;;ENG
GB;GB-LAN;LAN;EN two-tier county;EN Lancashire;;;ENG
GB;GB-LEC;LEC;EN two-tier county;EN Leicestershire;;;ENG
GB;GB-LIN;LIN;EN two-tier county;EN Lincolnshire;;;ENG
GB;GB-NFK;NFK;EN two-tier county;EN Norfolk;;;ENG
GB;GB-NYK;NYK;EN two-tier county;EN North Yorkshire;;;ENG
GB;GB-NTT;NTT;EN two-tier county;EN Nottinghamshire;;;ENG
GB;GB-OXF;OXF;EN two-tier county;EN Oxfordshire;;;ENG
GB;GB-SOM;SOM;EN two-tier county;EN Somerset;;;ENG
GB;GB-STS;STS;EN two-tier county;EN Staffordshire;;;ENG
GB;GB-SFK;SFK;EN two-tier county;EN Suffolk;;;ENG
GB;GB-SRY;SRY;EN two-tier county;EN Surrey;;;ENG
GB;GB-WAR;WAR;EN two-tier county;EN Warwickshire;;;ENG
GB;GB-WSX;WSX;EN two-tier county;EN West Sussex;;;ENG
GB;GB-WOR;WOR;EN two-tier county;EN Worcestershire;;;ENG
GB;GB-LND;LND;EN city corporation;EN London, City of;;;ENG
GB;GB-BDG;BDG;EN London borough;EN Barking and Dagenham;;;ENG
GB;GB-BNE;BNE;EN London borough;EN Barnet;;;ENG
GB;GB-BEX;BEX;EN London borough;EN Bexley;;;ENG
GB;GB-BEN;BEN;EN London borough;EN Brent;;;ENG
GB;GB-BRY;BRY;EN London borough;EN Bromley;;;ENG
GB;GB-CMD;CMD;EN London borough;EN Camden;;;ENG
GB;GB-CRY;CRY;EN London borough;EN Croydon;;;ENG
GB;GB-EAL;EAL;EN London borough;EN Ealing;;;ENG
GB;GB-ENF;ENF;EN London borough;EN Enfield;;;ENG
GB;GB-GRE;GRE;EN London borough;EN Greenwich;;;ENG
GB;GB-HCK;HCK;EN London borough;EN Hackney;;;ENG
GB;GB-HMF;HMF;EN London borough;EN Hammersmith and Fulham;;;ENG
GB;GB-HRY;HRY;EN London borough;EN Haringey;;;ENG
GB;GB-HRW;HRW;EN London borough;EN Harrow;;;ENG
GB;GB-HAV;HAV;EN London borough;EN Havering;;;ENG
GB;GB-HIL;HIL;EN London borough;EN Hillingdon;;;ENG
GB;GB-HNS;HNS;EN London borough;EN Hounslow;;;ENG
GB;GB-ISL;ISL;EN London borough;EN Islington;;;ENG
GB;GB-KEC;KEC;EN London borough;EN Kensington and Chelsea;;;ENG
GB;GB-KTT;KTT;EN London borough;EN Kingston upon Thames;;;ENG
GB;GB-LBH;LBH;EN London borough;EN Lambeth;;;ENG
GB;GB-LEW;LEW;EN London borough;EN Lewisham;;;ENG
GB;GB-MRT;MRT;EN London borough;EN Merton;;;ENG
GB;GB-NWM;NWM;EN London borough;EN Newham;;;ENG
GB;GB-RDB;RDB;EN London borough;EN Redbridge;;;ENG
GB;GB-RIC;RIC;EN London borough;EN Richmond upon Thames;;;ENG
GB;GB-SWK;SWK;EN London borough;EN Southwark;;;ENG
GB;GB-STN;STN;EN London borough;EN Sutton;;;ENG
GB;GB-TWH;TWH;EN London borough;EN Tower Hamlets;;;ENG
GB;GB-WFT;WFT;EN London borough;EN Waltham Forest;;;ENG
GB;GB-WND;WND;EN London borough;EN Wandsworth;;;ENG
GB;GB-WSM;WSM;EN London borough;EN Westminster;;;ENG
GB;GB-BNS;BNS;EN metropolitan district;EN Barnsley;;;ENG
GB;GB-BIR;BIR;EN metropolitan district;EN Birmingham;;;ENG
GB;GB-BOL;BOL;EN metropolitan district;EN Bolton;;;ENG
GB;GB-BRD;BRD;EN metropolitan district;EN Bradford;;;ENG
GB;GB-BUR;BUR;EN metropolitan district;EN Bury;;;ENG
GB;GB-CLD;CLD;EN metropolitan district;EN Calderdale;;;ENG
GB;GB-COV;COV;EN metropolitan district;EN Coventry;;;ENG
GB;GB-DNC;DNC;EN metropolitan district;EN Doncaster;;;ENG
GB;GB-DUD;DUD;EN metropolitan district;EN Dudley;;;ENG
GB;GB-GAT;GAT;EN metropolitan district;EN Gateshead;;;ENG
GB;GB-KIR;KIR;EN metropolitan district;EN Kirklees;;;ENG
GB;GB-KWL;KWL;EN metropolitan district;EN Knowsley;;;ENG
GB;GB-LDS;LDS;EN metropolitan district;EN Leeds;;;ENG
GB;GB-LIV;LIV;EN metropolitan district;EN Liverpool;;;ENG
GB;GB-MAN;MAN;EN metropolitan district;EN Manchester;;;ENG
GB;GB-NET;NET;EN metropolitan district;EN Newcastle upon Tyne;;;ENG
GB;GB-NTY;NTY;EN metropolitan district;EN North Tyneside;;;ENG
GB;GB-OLD;OLD;EN metropolitan district;EN Oldham;;;ENG
GB;GB-RCH;RCH;EN metropolitan district;EN Rochdale;;;ENG
GB;GB-ROT;ROT;EN metropolitan district;EN Rotherham;;;ENG
GB;GB-SHN;SHN;EN metropolitan district;EN St. Helens;;;ENG
GB;GB-SLF;SLF;EN metropolitan district;EN Salford;;;ENG
GB;GB-SAW;SAW;EN metropolitan district;EN Sandwell;;;ENG
GB;GB-SFT;SFT;EN metropolitan district;EN Sefton;;;ENG
GB;GB-SHF;SHF;EN metropolitan district;EN Sheffield;;;ENG
GB;GB-SOL;SOL;EN metropolitan district;EN Solihull;;;ENG
GB;GB-STY;STY;EN metropolitan district;EN South Tyneside;;;ENG
GB;GB-SKP;SKP;EN metropolitan district;EN Stockport;;;ENG
GB;GB-SND;SND;EN metropolitan district;EN Sunderland;;;ENG
GB;GB-TAM;TAM;EN metropolitan district;EN Tameside;;;ENG
GB;GB-TRF;TRF;EN metropolitan district;EN Trafford;;;ENG
GB;GB-WKF;WKF;EN metropolitan district;EN Wakefield;;;ENG
GB;GB-WLL;WLL;EN metropolitan district;EN Walsall;;;ENG
GB;GB-WGN;WGN;EN metropolitan district;EN Wigan;;;ENG
GB;GB-WRL;WRL;EN metropolitan district;EN Wirral;;;ENG
GB;GB-WLV;WLV;EN metropolitan district;EN Wolverhampton;;;ENG
GB;GB-BAS;BAS;EN unitary authority;EN Bath and North East Somerset;;;ENG
GB;GB-BDF;BDF;EN unitary authority;EN Bedford;;;ENG
GB;GB-BBD;BBD;EN unitary authority;EN Blackburn with Darwen;;;ENG
GB;GB-BPL;BPL;EN unitary authority;EN Blackpool;;;ENG
GB;GB-BCP;BCP;EN unitary authority;EN Bournemouth, Christchurch and Poole;;;ENG
GB;GB-BRC;BRC;EN unitary authority;EN Bracknell Forest;;;ENG
GB;GB-BNH;BNH;EN unitary authority;EN Brighton and Hove;;;ENG
