Id;Country;StartDate;EndDate;Type;RegionalScope;Name
e656b91a-dfce-4d8e-8f4c-e536da173bce;HR;2020-01-01;;Public;National;HR Nova Godina,DE Neujahr,EN New Year's Day
da5faf30-471d-4a5d-97dd-3f49cc05b82a;HR;2020-01-06;;Public;National;HR Bogojavljanje ili Sveta tri kralja,DE Heilige Drei Könige,EN Epiphany
651ae42b-2b81-4b1f-bca4-da5b956d4edc;HR;2020-04-13;;Public;National;HR Uskrsni ponedjeljak,DE Ostermontag,EN Easter Monday
c4908875-dd7b-479a-9c10-ae1ab7d7ffc4;HR;2020-05-01;;Public;National;HR Praznik rada,DE Tag der Arbeit,EN Labour Day
260b1bd9-ef70-4977-a09a-dadf017b3d64;HR;2020-05-30;;Public;National;HR Dan državnosti,DE Staatsfeiertag,EN Statehood Day
0ed56c3b-3acb-4df6-a988-5dd2a3146e65;HR;2020-06-11;;Public;National;HR Tijelovo,DE Fronleichnam,EN Corpus Christi
4df1a201-9ed8-4123-8786-588d571a3371;HR;2020-06-22;;Public;National;HR Dan antifašističke borbe,DE Tag des antifaschistischen Kampfes,EN Anti-Fascist Struggle Day
9253d5dd-da53-43be-a2fb-566147ba7f90;HR;2020-08-05;;Public;National;HR Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja,DE Tag des Sieges und der heimatlichen Dankbarkeit und Tag der kroatischen Verteidiger,EN Victory and Homeland Thanksgiving Day and the Day of Croatian Defenders
981e8913-75b2-4709-9504-dc5fa5cf1268;HR;2020-08-15;;Public;National;HR Velika Gospa,DE Mariä Himmelfahrt,EN Assumption Day
634e7e32-1565-4945-960c-34b45a4443c0;HR;2020-11-01;;Public;National;HR Svi sveti,DE Allerheiligen,EN All Saints' Day
c1f4f81a-c487-485f-bb9c-52adf1ffa7b1;HR;2020-11-18;;Public;National;HR Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na žrtvu Vukovara i Škabrnje,DE Tag des Gedenkens,EN Remembrance Day
10a69966-e761-47e4-9428-e6b496d83821;HR;2020-12-25;;Public;National;HR Božić,DE Weihnachten,EN Christmas
9199eea1-2b8b-44b1-9cab-a49f829432be;HR;2020-12-26;;Public;National;HR Božić,DE Weihnachten,EN Christmas
d0cbcf02-93ad-422c-a870-0afb6510e1d1;HR;2021-01-01;;Public;National;HR Nova Godina,DE Neujahr,EN New Year's Day
950abf2c-6273-4a53-a7be-fbf5adbb1409;HR;2021-01-06;;Public;National;HR Bogojavljanje ili Sveta tri kralja,DE Heilige Drei Könige,EN Epiphany
fa7197e9-68db-49c7-8f9d-5ca9bb00ce93;HR;2021-04-05;;Public;National;HR Uskrsni ponedjeljak,DE Ostermontag,EN Easter Monday
408b4d90-2b20-4261-ac3c-c859f520d799;HR;2021-05-01;;Public;National;HR Praznik rada,DE Tag der Arbeit,EN Labour Day
8a8a3830-d05a-4fc0-8a28-b7466582b608;HR;2021-05-30;;Public;National;HR Dan državnosti,DE Staatsfeiertag,EN Statehood Day
6863019c-7624-4084-aaa8-87f6c38fc219;HR;2021-06-03;;Public;National;HR Tijelovo,DE Fronleichnam,EN Corpus Christi
6e7aa86b-1cfd-4c32-b5d3-b02332c4e93a;HR;2021-06-22;;Public;National;HR Dan antifašističke borbe,DE Tag des antifaschistischen Kampfes,EN Anti-Fascist Struggle Day
5ba43fdc-7093-470d-8329-08f00dc5e031;HR;2021-08-05;;Public;National;HR Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja,DE Tag des Sieges und der heimatlichen Dankbarkeit und Tag der kroatischen Verteidiger,EN Victory and Homeland Thanksgiving Day and the Day of Croatian Defenders
0a9c525f-e573-48e4-8732-6e0693e3e30a;HR;2021-08-15;;Public;National;HR Velika Gospa,DE Mariä Himmelfahrt,EN Assumption Day
9a7d8ba0-799c-4ca6-b300-46ce2e3cc595;HR;2021-11-01;;Public;National;HR Svi sveti,DE Allerheiligen,EN All Saints' Day
54df6315-4a72-41f2-ba81-45045bde8d4c;HR;2021-11-18;;Public;National;HR Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na žrtvu Vukovara i Škabrnje,DE Tag des Gedenkens,EN Remembrance Day
d4588d3c-a41d-4287-b105-a1e86e9e4caa;HR;2021-12-25;;Public;National;HR Božić,DE Weihnachten,EN Christmas
c11033ce-a8bb-44c6-80d7-aea32ea4939e;HR;2021-12-26;;Public;National;HR Božić,DE Weihnachten,EN Christmas
92bd75a3-0361-4ffb-aa62-89a8c4cf4fcd;HR;2022-01-01;;Public;National;HR Nova Godina,DE Neujahr,EN New Year's Day
d2513532-a8d5-4a2f-a0b0-5838127e9d01;HR;2022-01-06;;Public;National;HR Bogojavljanje ili Sveta tri kralja,DE Heilige Drei Könige,EN Epiphany
843374e9-29ad-47bb-b688-a537ea293386;HR;2022-04-18;;Public;National;HR Uskrsni ponedjeljak,DE Ostermontag,EN Easter Monday
08d250d7-ce61-46ba-ad36-8c6a6e7576b0;HR;2022-05-01;;Public;National;HR Praznik rada,DE Tag der Arbeit,EN Labour Day
a4b0c787-0edd-4db9-84e2-a531b2d1d975;HR;2022-05-30;;Public;National;HR Dan državnosti,DE Staatsfeiertag,EN Statehood Day
535bb18f-f8b5-4b21-bedd-40910a2e9ede;HR;2022-06-16;;Public;National;HR Tijelovo,DE Fronleichnam,EN Corpus Christi
777f0dd9-d5ee-48aa-8f3d-bb42903c3a77;HR;2022-06-22;;Public;National;HR Dan antifašističke borbe,DE Tag des antifaschistischen Kampfes,EN Anti-Fascist Struggle Day
6e02537c-4e75-4aef-87fb-b9bce8942133;HR;2022-08-05;;Public;National;HR Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja,DE Tag des Sieges und der heimatlichen Dankbarkeit und Tag der kroatischen Verteidiger,EN Victory and Homeland Thanksgiving Day and the Day of Croatian Defenders
76e29157-0f4d-4b86-be06-fce3b7750c83;HR;2022-08-15;;Public;National;HR Velika Gospa,DE Mariä Himmelfahrt,EN Assumption Day
f3a33c3f-8cf2-4fc3-9038-8298d36fdc3d;HR;2022-11-01;;Public;National;HR Svi sveti,DE Allerheiligen,EN All Saints' Day
24138255-1d5b-43f8-a70a-49e66337c4a1;HR;2022-11-18;;Public;National;HR Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na žrtvu Vukovara i Škabrnje,DE Tag des Gedenkens,EN Remembrance Day
ae2ed755-c677-4f02-b40c-7d1715429255;HR;2022-12-25;;Public;National;HR Božić,DE Weihnachten,EN Christmas
19d99191-6fe7-43f3-8111-f60d47a4c065;HR;2022-12-26;;Public;National;HR Božić,DE Weihnachten,EN Christmas
1bf363af-3d04-43e4-a6ba-507605ba9364;HR;2023-01-01;;Public;National;HR Nova Godina,DE Neujahr,EN New Year's Day
a6424cb8-d132-424b-a85a-87a4a286a079;HR;2023-01-06;;Public;National;HR Bogojavljanje ili Sveta tri kralja,DE Heilige Drei Könige,EN Epiphany
c72ae593-70f1-482d-a892-b69ed97d8ebd;HR;2023-04-10;;Public;National;HR Uskrsni ponedjeljak,DE Ostermontag,EN Easter Monday
ab38b415-5d08-47b4-a16f-65c686786351;HR;2023-05-01;;Public;National;HR Praznik rada,DE Tag der Arbeit,EN Labour Day
