Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Comment
8a7375cf-0340-49a9-88d0-2ec310fad116;HR;2019-12-23;2020-01-10;School;National;HR Zimski odmor,DE Winterferien,EN Winter holidays;HR Opcija I i III za raspodjelu praznika,EN Option I and III for the distribution of holidays,DE Option I und III für die Verteilung der Feiertage
a38c2a6f-04b3-43cf-a70e-6b8baaab3c94;HR;2019-12-23;2020-01-03;School;National;HR Zimski odmor,DE Winterferien,EN Winter holidays;HR Opcija II za raspodjelu praznika,EN Option II for the distribution of holidays,DE Option II für die Verteilung der Feiertage
556a8554-b857-4c83-b933-d276c40482df;HR;2019-12-23;2020-01-03;School;National;HR Zimski odmor (prvi dio),DE Winterferien (1. Teil),EN Winter holidays (first part);HR Opcija IV za raspodjelu praznika,EN Option IV for the distribution of holidays,DE Option IV für die Verteilung der Feiertage
6b2ee43d-d99d-486e-8c5e-0288a6a3ea10;HR;2020-02-24;2020-02-28;School;National;HR Zimski odmor (drugi dio),DE Winterferien (2. Teil),EN Winter holidays (second part);HR Opcija IV za raspodjelu praznika,EN Option IV for the distribution of holidays,DE Option IV für die Verteilung der Feiertage
51563360-633d-4584-b763-bf32a5fee851;HR;2020-04-09;2020-04-10;School;National;HR Proljetni odmor,DE Frühlingsferien,EN Spring holidays;HR Opcija III i IV za raspodjelu praznika,EN Option III and IV for the distribution of holidays,DE Option III und IV für die Verteilung der Feiertage
5ff84527-54e2-4336-b81b-7823594b9b83;HR;2020-04-10;2020-04-17;School;National;HR Proljetni odmor,DE Frühlingsferien,EN Spring holidays;HR Opcija I i II za raspodjelu praznika,EN Option I and II for the distribution of holidays,DE Option I und II für die Verteilung der Feiertage
54b657cb-4dc0-492d-9abc-22eefc2edf6d;HR;2020-06-18;2020-09-06;School;National;HR Ljetni odmor,DE Sommerferien,EN Summer holidays;
07f2ada8-96e8-419f-8719-3cd3ba5c8a9e;HR;2020-11-02;2020-11-03;School;National;HR Jesenski odmor,DE Herbstferien,EN Autumn holidays;
7d6dad7e-5d04-46e5-a814-b050c9ef2da7;HR;2020-12-24;2021-01-08;School;National;HR Zimski odmor (prvi dio),DE Winterferien (Teil 1),EN Winter holidays (part 2);
7e11859c-2d29-4175-8751-86e1c8b6905f;HR;2021-02-23;2021-02-26;School;National;HR Zimski odmor (drugi dio),DE Winterferien (Teil 2),EN Winter holidays (part 2);
