Id;Country;StartDate;EndDate;Type;Name;Subdivisions
beabab0b-74b6-4011-9763-5633a2815483;IT;2020-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
7f9a4dab-15b1-4423-92a2-f718c6dbf870;IT;2020-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
b07fe71a-b4e1-41b9-a07a-b344c1505ff0;IT;2020-04-13;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
3139cf66-a27d-443d-b2e2-3a0cf800b13d;IT;2020-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
53878dd3-bd3d-4740-ad92-3ba37e7d8387;IT;2020-04-25;;Public;IT Festa di San Marco,EN Feast of St Mark,DE Fest des Heiligen Markus;VE
eb09c180-04b1-4a2a-89b0-71cc0c4bbbfe;IT;2020-04-28;;Public;IT Sa Die de Sa Sardigna,EN Sardinia's Day,DE Tag des sardischen Volkes;R-SA
2b63cc03-9994-48d5-97f2-18c600f4d968;IT;2020-05-01;;Public;IT Festa del lavoro,EN Labour Day,DE Tag der Arbeit;
26ba78c0-5c64-4c6b-8934-e8624367337f;IT;2020-06-02;;Public;IT Festa della Repubblica,EN Republic Day,DE Tag der Republik;
ebb44d4d-047f-4f71-8c35-6fcc71c9569a;IT;2020-06-24;;Public;IT Jani,EN St. John's Day,DE Johannistag;FI,GE,TO
c8e5cd16-9b0b-4bb5-80e5-dc8e9738befd;IT;2020-06-29;;Public;IT Santi Pietro e Paolo,EN St. John's Day,DE Peter und Paul;RO
6200cf8c-c555-4254-b7dc-a1e04628e3d3;IT;2020-07-15;;Public;IT Santa Rosalia,EN Saint Rosalia,DE St. Rosalia;PA
9e3f1d80-8644-4dac-a5b0-a8024fb505ee;IT;2020-08-15;;Public;IT Ferragosto,EN Assumption Day,DE Mariä Himmelfahrt;
84a71b21-be96-443c-a3de-fd5a2245cf7a;IT;2020-09-19;;Public;IT San Gennaro,EN St. Gennaro,DE St. Gennaro;NA
666d8412-44ee-48c1-a848-f3f91a14fc8c;IT;2020-09-19;;Public;IT San Petronio,EN St. Petronius,DE St. Petronius;BO
064a50b5-efa5-41e7-b8b2-72a07a274f9b;IT;2020-11-01;;Public;IT Ognissanti,EN All Saints' Day,DE Allerheiligen;
970d1720-048b-4513-8e69-2982cc776936;IT;2020-11-03;;Public;IT San Giusto,EN St. Justus,DE St. Justus;TS
bf99f03a-3313-4cda-b2c5-7526594132ed;IT;2020-12-06;;Public;IT San Nicola,EN St. Nicholas,DE St. Nikolaus;BA
0f66d079-6d91-4566-b3f5-6e675207e5ac;IT;2020-12-07;;Public;IT Sant'Ambrogio,EN St. Ambrose,DE St. Ambrosius;MI
3d3a8c26-ab35-4dcb-8691-2c8c39a87b59;IT;2020-12-08;;Public;IT Immacolata Concezione,EN Immaculate Conception,DE Mariä Empfängnis;
b99f220a-1141-4154-9a86-fc64b3042554;IT;2020-12-25;;Public;IT Natale di Gesù,EN Christmas Day,DE Weihnachten;
83c0ba82-4608-4063-8691-666923b7cb75;IT;2020-12-26;;Public;IT Santo Stefano,EN St. Stephen's Day,DE Stefanstag;
8fd3d941-2a52-4fc6-a4f2-428198224ca7;IT;2021-01-01;;Public;IT Capodanno,EN New Year's Day,DE Neujahr;
2fcbc1ee-08c5-42e1-87ee-b314c909b6c7;IT;2021-01-06;;Public;IT Epifania,EN Epiphany,DE Heilige drei Könige;
b4fc60ef-1f34-4615-b7d7-7cf95657c2d2;IT;2021-04-05;;Public;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag;
b52544e8-1304-4a11-a1e5-3300e99d3b57;IT;2021-04-25;;Public;IT Anniversario della liberazione d'Italia,EN Liberation Day,DE Jahrestag der Befreiung;
