IsoCode;Name
BG;EN Bulgarian,BG Български,DE Bulgarisch
CS;EN Czech,CS Česky,DE Tschechisch
DE;EN German,DE Deutsch
EN;EN English,DE Englisch
ET;EN Estonian,ET Eesti,DE Estnisch
FR;EN French,FR français,DE Französisch
GA;EN Irish,GA Gaeilge,DE Irisch
HR;EN Croatian,HR Hrvatska,DE Kroatisch
HU;EN Hungarian,HU Magyarország,DE Ungarisch
IT;EN Italian,IT Italiano,DE Italienisch
LB;EN Luxembourgish,LB Lëtzebuergesch,DE Luxemburgisch
LT;EN Lithuanian,LT Lietuvių,DE Litauisch,FR lituanien
LV;EN Latvian,LV Latviešu,DE Lettisch
MT;EN Maltese,MT Malti,DE Maltesisch
NL;EN Dutch,NL Nederlands,DE Niederländisch
PL;EN Polish,PL Polska,DE Polnisch
RM;EN Romansh,RM Rumantsch,DE Rätoromanisch
SL;EN Slovenian,SL Slovenski,DE Slowenisch
SK;EN Slovak,SK Slovenský,DE Slowakisch
SQ;EN Albanian,SQ shqip,DE Albanisch
