Id;Country;StartDate;EndDate;Type;RegionalScope;Name
3c8b25bd-89e5-4730-b6d5-c3101384261b;MC;2020-01-01;;Public;National;FR Le jour de l’An,DE Neujahr,EN New Year's Day
2100067b-5f62-4fd3-a10e-7889b3734f80;MC;2020-01-27;;Public;National;FR La Sainte Dévote,DE Tag der Heiligen Devota,EN Saint Dévote's Day
e15119d7-5d16-4a50-9a14-d017b9295876;MC;2020-04-13;;Public;National;FR Le lundi de Pâques,DE Ostermontag,EN Easter Monday
9cb77e3a-842c-4afa-b737-fe144de05f89;MC;2020-05-01;;Public;National;FR Le 1er mai,DE Tag der Arbeit,EN Labour Day
58a81a5a-9e2f-4b7b-b281-c1f06595d7d8;MC;2020-05-21;;Public;National;FR L’Ascension,DE Christi Himmelfahrt,EN Ascension's Day
e5653596-9b12-4edc-85b4-dc6def23523f;MC;2020-06-01;;Public;National;FR Le lundi de Pentecôte,DE Pfingstmontag,EN Whit Monday
0a371c33-6748-4e76-bb8b-e1028bbcb799;MC;2020-06-11;;Public;National;FR La Fête Dieu,DE Fronleichnam,EN Corpus Christi
dd0ab9ba-c2b1-40a3-a010-5ab5ef219111;MC;2020-08-15;;Public;National;FR L’Assomption,DE Mariä Himmelfahrt,EN Assumption's Day
3d3e29c1-173b-4002-9119-7edc917c4ada;MC;2020-11-02;;Public;National;FR La Toussaint,DE Allerheiligen,EN All Saints' Day
08fbbded-cb46-428b-a085-a2a1b8a01193;MC;2020-11-19;;Public;National;FR La Fête du Prince,DE Fest des Prinzen,EN Prince's Day
d425ab27-1810-41ab-85d6-923cf39122d2;MC;2020-12-08;;Public;National;FR L’Immaculée Conception,DE Maria Empfängnis,EN Immaculate Conception's Day
9ca0e237-49d3-402a-a601-46e3e621a7f5;MC;2020-12-25;;Public;National;FR Noël,DE Weihnachten,EN Christmas Day
e0f41f45-918a-4a15-b221-a2d2c2570f29;MC;2021-01-01;;Public;National;FR Le jour de l’An,DE Neujahr,EN New Year's Day
