Id;Country;StartDate;EndDate;Type;RegionalScope;Name;
acf38d38-5ab0-4a08-a954-95de07388ad3;MD;2020-01-01;;Public;National;RO Anul Nou,DE Neujahr,EN New Year;
1276e534-12b8-4542-8815-67a97de5aa1b;MD;2020-01-07;2020-01-08;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil vechi),DE Geburt Jesu Christi (Weihnachten im alten Stil),EN Birth of Jesus Christ (Christmas in the old style);
26dc746e-1be8-4b52-9ab2-3285a2e292c0;MD;2020-03-08;;Public;National;RO Ziua internaţională a femeii,DE Internationaler Frauentag,EN International Women's Day;
cd239938-9bd3-4090-802b-0e8505142fda;MD;2020-04-19;;Public;National;RO Prima zi de Paşti conform calendarului bisericesc,DE Orthodoxer Ostersonntag,EN Orthodox Easter Sunday;
c93e51e3-2d65-4cb7-9867-05930fe7c2eb;MD;2020-04-20;;Public;National;RO A doua zi de Paște conform calendarului bisericesc,DE Orthodoxer Ostermontag,EN Orthodox Easter Monday;
eafc0e15-7559-434b-85e6-c800dde24eee;MD;2020-04-27;;Public;National;RO Ziua Comemorarii (Pastele Blajinilor),DE Gedenktag (Raduniza),EN Commemoration Day (Radonitsa);
4b10df67-3e34-40f8-9bf3-d92fc009c1fd;MD;2020-05-01;;Public;National;RO Ziua internaţională a solidarităţii oamenilor muncii,DE Tag der Arbeit,EN Labour Day;
4e038952-9561-40f8-91e0-d64a505b2195;MD;2020-05-09;;Public;National;RO Ziua Europei,DE Europatag,EN Europe Day;
d40da804-9501-4236-b037-4cda8907b1bc;MD;2020-05-09;;Public;National;RO Ziua Victoriei şi a comemorării eroilor căzuţi pentru Independenţa Patriei,DE Tag des Sieges,EN Victory Day;
087542f1-ff93-4c6c-b0c5-ed5da4e8651d;MD;2020-06-01;;Public;National;RO Ziua ocrotirii copilului,DE Weltkindertag,EN Children's Day;
69e0249a-beaa-438a-a59e-1331a17df20c;MD;2020-08-27;;Public;National;RO Ziua independenţei Republicii Moldova,DE Unabhängigkeitstag der Republik Moldau,EN Independence Day of the Republic of Moldova;
082d6829-b6a0-4636-b1de-5cc6bdc00ae2;MD;2020-08-31;;Public;National;"RO Sărbătoarea ""Limba noastră"",DE Nationaler Tag der Sprache,EN National Language Day";
58ead514-42a1-4fd6-bcd4-7047a9e126b3;MD;2020-12-25;;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil nou),DE Geburt Jesu Christi (Weihnachten im neuen Stil),EN Birth of Jesus Christ (Christmas in a new style);
87f5c0b4-d9cf-486b-9815-6e2bbf92a153;MD;2021-01-01;;Public;National;RO Anul Nou,DE Neujahr,EN New Year;
31f74e97-6fae-4622-9e71-f1f964e123e4;MD;2021-01-07;2021-01-08;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil vechi),DE Geburt Jesu Christi (Weihnachten im alten Stil),EN Birth of Jesus Christ (Christmas in the old style);
5cffbfd8-3790-474f-a710-8bdbc357d696;MD;2021-03-08;;Public;National;RO Ziua internaţională a femeii,DE Internationaler Frauentag,EN International Women's Day;
dda6e6f7-de40-49a9-b64f-db634c9107e8;MD;2021-05-01;;Public;National;RO Ziua internaţională a solidarităţii oamenilor muncii,DE Tag der Arbeit,EN Labour Day;
3d6cf43b-b39c-4b4e-9030-ce1cd85e5b3f;MD;2021-05-02;;Public;National;RO Prima zi de Paşti conform calendarului bisericesc,DE Orthodoxer Ostersonntag,EN Orthodox Easter Sunday;
92594243-408a-49c2-8cb4-3d29e2a1a02a;MD;2021-05-03;;Public;National;RO A doua zi de Paște conform calendarului bisericesc,DE Orthodoxer Ostermontag,EN Orthodox Easter Monday;
aca133cf-55af-474b-81ef-12c6d802e520;MD;2021-05-09;;Public;National;RO Ziua Europei,DE Europatag,EN Europe Day;
1a0dd12f-f545-47e4-be48-7574a435cbab;MD;2021-05-09;;Public;National;RO Ziua Victoriei şi a comemorării eroilor căzuţi pentru Independenţa Patriei,DE Tag des Sieges,EN Victory Day;
9352d825-0f7c-4668-9ffb-6ee560fea1fb;MD;2021-05-10;;Public;National;RO Ziua Comemorarii (Pastele Blajinilor),DE Gedenktag (Raduniza),EN Commemoration Day (Radonitsa);
aaf1f320-a2ca-4d47-9a35-6c05f6f92d85;MD;2021-06-01;;Public;National;RO Ziua ocrotirii copilului,DE Weltkindertag,EN Children's Day;
a17cdf03-05ad-426a-8e8c-3e589f63cddb;MD;2021-08-27;;Public;National;RO Ziua independenţei Republicii Moldova,DE Unabhängigkeitstag der Republik Moldau,EN Independence Day of the Republic of Moldova;
1c5a6b69-dec2-474a-a292-ec937a3e62ec;MD;2021-08-31;;Public;National;"RO Sărbătoarea ""Limba noastră"",DE Nationaler Tag der Sprache,EN National Language Day";
