Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Groups
3e2c8f33-6faa-488c-9142-36fb28047b1a;NL;2019-12-21;2020-01-05;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
02e266c7-68e5-42bb-a547-d667facbdf13;NL;2020-02-15;2020-02-23;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO
93127ec8-5b72-42bc-9e5f-1bb9cdded351;NL;2020-02-22;2020-03-01;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;MI,ZU
315825c4-0584-4416-b34f-6f6fc085ad4e;NL;2020-04-25;2020-05-03;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
f78b4f05-e7a6-4a36-ad5f-e4a83a69e34d;NL;2020-07-04;2020-08-16;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
81f09491-215e-4096-9621-6fa36db2c7a8;NL;2020-07-11;2020-08-23;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
06ce5256-504e-4b05-ad4f-dd3ab319500a;NL;2020-07-18;2020-08-30;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
b4821976-a818-405a-a007-fcd715b6d36c;NL;2020-10-10;2020-10-18;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO
a834970f-fdfd-46a8-886d-bc02427eafd9;NL;2020-10-17;2020-10-25;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;MI,ZU
387bcb02-71fb-42ec-a231-8714d2f64289;NL;2020-12-19;2021-01-03;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
cf64bd0f-cd7f-40fe-a227-7dc9a219abb3;NL;2021-02-13;2021-02-21;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;ZU
8de25293-b536-415f-b23f-2c4e94af71ca;NL;2021-02-20;2021-02-28;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO,MI
dea7390d-a07a-48ae-9130-65400ab07d93;NL;2021-05-01;2021-05-09;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
