Country;Code;ShortName;Category;Name;Comment;OfficialLanguages;Parent
NL;NL-NO;NO;NL Regio,DE Region,EN region;NL Regio Noord,DE Region Nord,EN North Region;;NL;
NL;NL-MI;MI;NL Regio,DE Region,EN region;NL Regio Midden,DE Region Mitte,EN Central Region;;NL;
NL;NL-ZU;ZU;NL Regio,DE Region,EN region;NL Regio Zuid,DE Region Süd,EN South Region;;NL;
NL;NL-NO-DR;NO-DR;NL gemeenten,DE Gemeinden,EN municipalities;NL Drenthe,DE Drenthe,EN Drenthe;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;NO
NL;NL-NO-FL;NO-FL;NL gemeenten,DE Gemeinden,EN municipalities;NL Flevoland (Noord),DE Flevoland (Norden),EN Flevoland (north);NL Alle gemeenten behalve Zeewolde,DE Alle Gemeinden außer Zeewolde,EN All municipalities except Zeewolde;NL;NO
NL;NL-NO-FR;NO-FR;NL gemeenten,DE Gemeinden,EN municipalities;NL Friesland,DE Friesland,EN Friesland;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;NO
NL;NL-NO-GE;NO-GE;NL gemeenten,DE Gemeinden,EN municipalities;NL Gelderland (Noord),DE Gelderland (Norden),EN Gelderland (north);NL Hattem,DE Hattem,EN Hattem;NL;NO
NL;NL-NO-GR;NO-GR;NL gemeenten,DE Gemeinden,EN municipalities;NL Groningen,DE Groningen,EN Groningen;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;NO
NL;NL-NO-NH;NO-NH;NL gemeenten,DE Gemeinden,EN municipalities;NL Noord-Holland,DE Nord-Holland,EN North Holland;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;NO
NL;NL-NO-OV;NO-OV;NL gemeenten,DE Gemeinden,EN municipalities;NL Overijssel,DE Overijssel,EN Overijssel;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;NO
NL;NL-NO-UT;NO-UT;NL gemeenten,DE Gemeinden,EN municipalities;NL Utrecht (Noord),DE Utrecht (Norden),EN Utrecht (north);NL Eemnes en wat vroeger gemeente Abcoude was,DE Eemnes und die frühere Gemeinde Abcoude,EN Eemnes and the former municipality of Abcoude;NL;NO
NL;NL-MI-FL;MI-FL;NL gemeenten,DE Gemeinden,EN municipalities;NL Flevoland (Midden),DE Flevoland (Mitte),EN Flevoland (central);NL Zeewolde,DE Zeewolde,EN Zeewolde;NL;MI
NL;NL-MI-GE;MI-GE;NL gemeenten,DE Gemeinden,EN municipalities;NL Gelderland (Midden),DE Gelderland (Mitte),EN Gelderland (central);NL Aalten%2C Apeldoorn%2C Barneveld%2C Berkelland%2C Bronckhorst%2C Brummen%2C Buren%2C Culemborg%2C Doetinchem%2C Ede%2C Elburg%2C Epe%2C Ermelo%2C Harderwijk%2C Heerde%2C Lochem%2C Montferland (behalve wat vroeger gemeente Didam was)%2C Neder-Betuwe (behalve wat vroeger gemeente Dodewaard was)%2C Nijkerk%2C Nunspeet%2C Oldebroek%2C Oost-Gelre%2C Oude IJsselstreek%2C Putten%2C Scherpenzeel%2C Tiel%2C Voorst%2C Wageningen%2C West Betuwe%2C Winterswijk en Zutphen,DE Aalten%2C Apeldoorn%2C Barneveld%2C Berkelland%2C Bronckhorst%2C Brummen%2C Buren%2C Culemborg%2C Doetinchem%2C Ede%2C Elburg%2C Epe%2C Ermelo%2C Harderwijk%2C Heerde%2C Lochem%2C Montferland (außer der ehemaligen Gemeinde Didam)%2C Neder- Betuwe Betuwe (außer der ehemaligen Gemeinde Dodewaard)%2C Nijkerk%2C Nunspeet%2C Oldebroek%2C Oost-Gelre%2C Oude IJsselstreek%2C Putten%2C Scherpenzeel%2C Tiel%2C Voorst%2C Wageningen%2C West Betuwe%2C Winterswijk und Zutphen,EN Aalten%2C Apeldoorn%2C Barneveld%2C Berkelland%2C Bronckhorst%2C Brummen%2C Buren%2C Culemborg%2C Doetinchem%2C Ede%2C Elburg%2C Epe%2C Ermelo%2C Geldermalsen%2C Harderwijk%2C Heerde%2C Lingewaal%2C Lochem%2C Montferland (except the former municipality of Didam)%2C Neder-Betuwe (except the former municipality of Dodewaard)%2C Neerijnen%2C Nijkerk%2C Nunspeet%2C Oldebroek%2C Oost-Gelre%2C Oude IJsselstreek%2C Putten%2C Scherpenzeel%2C Tiel%2C Voorst%2C Wageningen%2C Winterswijk and Zutphen;NL;MI
NL;NL-MI-NB;MI-NB;NL gemeenten,DE Gemeinden,EN municipalities;NL Noord-Brabant (Midden),DE Nord-Brabant (Mitte),EN North Brabant (central);NL Altena (behalve de kernen Hank en Dussen),DE Altena (außer den Dorfkernen Hank und Dussen),EN Werkendam (except the communities of Hank and Dussen) and Woudrichem;NL;MI
NL;NL-MI-UT;MI-UT;NL gemeenten,DE Gemeinden,EN municipalities;NL Utrecht (Midden),DE Utrecht (Mitte),EN Utrecht (central);NL Alle gemeenten behalve Eemnes en wat vroeger gemeente Abcoude was,DE Alle Gemeinden außer Eemnes und der ehemaligen Gemeinde Abcoude,EN All municipalities except Eemnes and the former municipality of Abcoude;NL;MI
NL;NL-MI-ZH;MI-ZH;NL gemeenten,DE Gemeinden,EN municipalities;NL Zuid-Holland,DE Süd-Holland,EN South Holland;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;MI
NL;NL-ZU-GE;ZU-GE;NL gemeenten,DE Gemeinden,EN municipalities;NL Gelderland (Zuid),DE Gelderland (Süden),EN Gelderland (south);NL Arnhem%2C Berg en Dal%2C Beuningen%2C Doesburg%2C Druten%2C Duiven%2C Heumen%2C Neder-Betuwe (alleen wat vroeger gemeente Dodewaard was)%2C Lingewaard%2C Maasdriel%2C Montferland (alleen wat vroeger gemeente Didam was)%2C Nijmegen%2C Overbetuwe%2C Renkum%2C Rheden%2C Rozendaal%2C Rijnwaarden%2C Westervoort%2C West Maas en Waal%2C Wijchen%2C Zaltbommel en Zevenaar,DE Arnheim%2C Berg en Dal%2C Beuningen%2C Doesburg%2C Druten%2C Duiven%2C Heumen%2C Neder-Betuwe (nur das%2C was früher Dodewaard war)%2C Lingewaard%2C Maasdriel%2C Montferland (nur das%2C was früher Didam war)%2C Nijmegen%2C Overbetuwe%2C Renkum%2C Rheden%2C Rozendaal%2C Rijnwaarden%2C Westervoort%2C West Maas en Waal%2C Wijchen%2C Zaltbommel und Zevenaar,EN Arnhem%2C Beuningen%2C Doesburg%2C Druten%2C Duiven%2C Groesbeek%2C Heumen%2C Neder-Betuwe (only the former municipality of Dodewaard)%2C Lingewaard%2C Maasdriel%2C Millingen aan de Rijn%2C Montferland (only the former municipality of Didam)%2C Nijmegen%2C Overbetuwe%2C Renkum%2C Rheden%2C Rozendaal%2C Rijnwaarden%2C Ubbergen%2C Westervoort%2C West Maas & Waal%2C Wijchen%2C Zaltbommel and Zevenaar;NL;ZU
NL;NL-ZU-LI;ZU-LI;NL gemeenten,DE Gemeinden,EN municipalities;NL Limburg,DE Limburg,EN Limburg;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;ZU
NL;NL-ZU-NB;ZU-NB;NL gemeenten,DE Gemeinden,EN municipalities;NL Noord-Brabant (Zuid),NL Nord-Brabant (Süden),EN North Brabant (south);NL Alle gemeenten behalve Woudrichem en de kernen Sleeuwijk%2C Nieuwendijk en Werkendam in de gemeente Altena,DE Alle Gemeinden außer Woudrichem und den Dorfkernen von Sleeuwijk%2C Nieuwendijk und Werkendam in der Gemeinde Altena,EN All municipalities except Woudrichem and the communities of Sleeuwijk%2C Nieuwendijk and Werkendam in the municipality of Werkendam;NL;ZU
NL;NL-ZU-ZE;ZU-ZE;NL gemeenten,DE Gemeinden,EN municipalities;NL Zeeland,DE Zeeland,EN Zeeland;NL Alle gemeenten,DE Alle Gemeinden,EN All municipalities;NL;ZU
