Id;Country;StartDate;EndDate;Type;RegionalScope;Tags;Name;Subdivisions
4b9834f9-43a7-478f-9e70-34619660b8a0;NO;2026-01-01;;Public;National;;NO nyttårsdag,DE Neujahr,EN New Year's Day;
c1c708cb-0c00-48e8-9067-64f0cc00b228;NO;2026-04-02;;Public;National;;NO Skjærtorsdag,DE Gründonnerstag,EN Maundy Thursday;
e8cb07e8-75cc-4144-bcc3-1cf64c6e3703;NO;2026-04-03;;Public;National;;NO Langfredag,DE Karfreitag,EN Good Friday;
81d5c31f-fb4d-4d71-a510-63030452640e;NO;2026-04-05;;Public;National;;NO Første påskedag,DE Ostersonntag,EN Easter Sunday;
f4433a05-15fa-4d5f-8bc5-5398b1c9e4c9;NO;2026-04-06;;Public;National;;NO Annen påskedag,DE Ostermontag,EN Easter Monday;
7364462d-b6a2-4f47-b0be-711b12339a06;NO;2026-05-01;;Public;National;;NO Arbeidernes dag,DE Tag der Arbeit,EN Labour Day;
5bae26f8-8914-4ebe-8bfa-e0d7089369af;NO;2026-05-14;;Public;National;;NO Kristi Himmelfartsdag,DE Christi Himmelfahrt,EN Ascension Day;
97359135-cd47-4fb9-9382-f04c7aa1dab4;NO;2026-05-17;;Public;National;;NO Grunnlovsdag,DE Verfassungstag,EN Constitution Day;
810add68-cefa-4ad3-8f7a-d61a8693bf6c;NO;2026-05-24;;Public;National;;NO Første pinsedag,DE Pfingstsonntag,EN Pentecost Sunday;
cf43ff69-c135-4375-b560-9098994d76d2;NO;2026-05-25;;Public;National;;NO Annen pinsedag,DE Pfingstmontag,EN Pentecost Monday;
92424f78-a6d7-46b1-b31d-89bac64bfd4f;NO;2026-12-25;;Public;National;;NO Første juledag,DE 1. Weihnachtsfeiertag,EN Christmas Day;
83dfb746-ada4-41dd-bb29-0d0d182725e4;NO;2026-12-26;;Public;National;;NO Annen juledag,DE 2. Weihnachtsfeiertag,EN 2nd Day of Christmas;
b6dbb636-6cf5-4e56-9b00-f319cee23116;NO;2027-01-01;;Public;National;;NO nyttårsdag,DE Neujahr,EN New Year's Day;
b1b32739-ffdd-4db5-baf9-86bd283eaf29;NO;2027-03-25;;Public;National;;NO Skjærtorsdag,DE Gründonnerstag,EN Maundy Thursday;
577b11b1-ad10-45f3-b738-61f77022e6f6;NO;2027-03-26;;Public;National;;NO Langfredag,DE Karfreitag,EN Good Friday;
34737ba3-c948-49d2-98ce-233b7138831b;NO;2027-03-28;;Public;National;;NO Første påskedag,DE Ostersonntag,EN Easter Sunday;
f7cd4c54-69ed-43ba-9ab7-fe284345ab7d;NO;2027-03-29;;Public;National;;NO Annen påskedag,DE Ostermontag,EN Easter Monday;
0d8ce3ba-7729-4625-a1b2-0033781e6595;NO;2027-05-01;;Public;National;;NO Arbeidernes dag,DE Tag der Arbeit,EN Labour Day;
e4ad000f-2e6e-4c85-83cc-8efc8a0c78a4;NO;2027-05-06;;Public;National;;NO Kristi Himmelfartsdag,DE Christi Himmelfahrt,EN Ascension Day;
935a2f93-d919-4dfa-b2ac-5b9b6040bf8d;NO;2027-05-16;;Public;National;;NO Første pinsedag,DE Pfingstsonntag,EN Pentecost Sunday;
6a8f39dd-605a-4e9a-a260-b1cec4047283;NO;2027-05-17;;Public;National;;NO Annen pinsedag,DE Pfingstmontag,EN Pentecost Monday;
70e2da52-91b2-41b0-b279-0c8f4f2f2756;NO;2027-05-17;;Public;National;;NO Grunnlovsdag,DE Verfassungstag,EN Constitution Day;
f97a7535-32bf-4fe1-bce6-f4356e359700;NO;2027-12-25;;Public;National;;NO Første juledag,DE 1. Weihnachtsfeiertag,EN Christmas Day;
0be3d959-7faa-4ddc-b13e-ee4786842e48;NO;2027-12-26;;Public;National;;NO Annen juledag,DE 2. Weihnachtsfeiertag,EN 2nd Day of Christmas;
a891673c-8450-4de7-8c62-5448fa29481d;NO;2028-01-01;;Public;National;;NO nyttårsdag,DE Neujahr,EN New Year's Day;
aab3d0d6-8bef-442a-84fa-7d605d9975ea;NO;2028-04-13;;Public;National;;NO Skjærtorsdag,DE Gründonnerstag,EN Maundy Thursday;
6a4ac395-48d6-410a-ae4c-2896e2fb5946;NO;2028-04-14;;Public;National;;NO Langfredag,DE Karfreitag,EN Good Friday;
9e116755-16a6-4104-8cf2-251f27e2c4cc;NO;2028-04-16;;Public;National;;NO Første påskedag,DE Ostersonntag,EN Easter Sunday;
aff915f7-6b4b-41a4-ac02-e41c03350e35;NO;2028-04-17;;Public;National;;NO Annen påskedag,DE Ostermontag,EN Easter Monday;
0bad92ec-cc8d-4380-988a-198ec49c5865;NO;2028-05-01;;Public;National;;NO Arbeidernes dag,DE Tag der Arbeit,EN Labour Day;
ae7851f5-21dd-456c-8518-dd2189826a9e;NO;2028-05-17;;Public;National;;NO Grunnlovsdag,DE Verfassungstag,EN Constitution Day;
676cd88e-0cf5-4ebc-9c6e-0ee1eedc5197;NO;2028-05-25;;Public;National;;NO Kristi Himmelfartsdag,DE Christi Himmelfahrt,EN Ascension Day;
01808901-8af5-4263-81fc-ec6adbccc565;NO;2028-06-04;;Public;National;;NO Første pinsedag,DE Pfingstsonntag,EN Pentecost Sunday;
ab293bb7-5215-4a67-9d79-e3b8f3a8f07a;NO;2028-06-05;;Public;National;;NO Annen pinsedag,DE Pfingstmontag,EN Pentecost Monday;
3e96e4ad-69dc-4b6d-a154-012bca9739ba;NO;2028-12-25;;Public;National;;NO Første juledag,DE 1. Weihnachtsfeiertag,EN Christmas Day;
1460898c-ae67-4b13-ab0f-0edeb3aeec65;NO;2028-12-26;;Public;National;;NO Annen juledag,DE 2. Weihnachtsfeiertag,EN 2nd Day of Christmas;
d4ab9323-296d-4053-9fa1-24a90d8d9e85;NO;2029-01-01;;Public;National;;NO nyttårsdag,DE Neujahr,EN New Year's Day;
651d189f-d215-4698-8505-cf282ff87f7f;NO;2029-03-29;;Public;National;;NO Skjærtorsdag,DE Gründonnerstag,EN Maundy Thursday;
d6096934-75da-40ee-a548-1256dacef85c;NO;2029-03-30;;Public;National;;NO Langfredag,DE Karfreitag,EN Good Friday;
0ce3270a-9da5-420b-af64-e49a35339ba6;NO;2029-04-01;;Public;National;;NO Første påskedag,DE Ostersonntag,EN Easter Sunday;
409fb5ef-39e9-453a-aa41-de02e9748a23;NO;2029-04-02;;Public;National;;NO Annen påskedag,DE Ostermontag,EN Easter Monday;
