Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions
21e62585-88b5-4b41-a70f-3ca83360253a;NO;2025-06-21;2025-08-17;School;Regional;NO Sommerferie,DE Sommerferien,EN Summer Holidays;IL
8b33e393-2d5d-403a-8eae-6b8b4990a974;NO;2025-10-06;2025-10-10;School;Regional;NO Høstferie, DE Herbstferien, EN Autumn Holidays;IL
70330ffb-2e7d-4032-a8d7-448a20ad2894;NO;2025-11-28;2025-11-28;School;Regional;NO Fridag, DE Schulfrei, EN School-free Day;IL
0e2d70ee-929c-484b-ab9e-4ce7f75dd521;NO;2025-12-22;2026-01-02;School;Regional;NO Juleferie, DE Weihnachtsferien, EN Christmas Holidays;IL
437d6a24-01a9-4abb-8607-9acca7c09fef;NO;2026-02-23;2026-02-27;School;Regional;NO Vinterferie, DE Winterferien, EN Winter Holidays;IL
f2882a29-1cbf-4ec6-a03e-95d8399e0124;NO;2026-03-30;2026-04-06;School;Regional;NO Påskeferie, DE Osterferien, EN Easter Holidays;IL
bcaa812f-4555-41d4-aeaf-9bb9c27abf65;NO;2026-06-22;2026-08-14;School;Regional;NO Sommerferie, DE Sommerferien, EN Summer Holidays;IL
c1b08678-6cb9-49fc-968a-133d8cddd9ff;NO;2026-10-05;2026-10-09;School;Regional;NO Høstferie, DE Herbstferien, EN Autumn Holidays;IL
9555b0bb-b9ea-41e2-9a70-8d6aab0d3df1;NO;2026-11-27;2026-11-27;School;Regional;NO Fridag, DE Schulfrei, EN School-free Day;IL
090e3d37-22af-4ced-9ed3-ada34762292e;NO;2026-12-21;2027-01-01;School;Regional;NO Juleferie, DE Weihnachtsferien, EN Christmas Holidays;IL
418c0ab6-75a0-4bf4-b136-975a7ac5774e;NO;2027-02-22;2027-02-26;School;Regional;NO Vinterferie, DE Winterferien, EN Winter Holidays;IL
4fb2deaf-1ca7-4eec-a03e-b64d9aaf1fe4;NO;2027-03-22;2027-03-29;School;Regional;NO Påskeferie, DE Osterferien, EN Easter Holidays;IL
d58cf3e7-e71f-4f69-9215-6d653bed53c5;NO;2027-05-07;2027-05-07;School;Regional;NO Fridag, DE Schulfrei, EN School-free Day;IL
263a253d-7439-461f-8606-a7172d03c931;NO;2027-06-21;2027-08-20;School;Regional;NO Sommerferie, DE Sommerferien, EN Summer Holidays;IL
47f677f0-11eb-44fe-a2b9-a8d1f300aedf;NO;2027-10-11;2027-10-15;School;Regional;NO Høstferie, DE Herbstferien, EN Autumn Holidays;IL
1218fe5d-ce52-45c1-82b8-98dca165f964;NO;2027-11-29;2027-11-29;School;Regional;NO Fridag, DE Schulfrei, EN School-free Day;IL
b833391e-9715-42ba-a447-09608611decc;NO;2027-12-23;2028-01-02;School;Regional;NO Juleferie, DE Weihnachtsferien, EN Christmas Holidays;IL
67af0c59-4d30-4d66-b676-63f2a64417b4;NO;2028-02-28;2028-03-03;School;Regional;NO Vinterferie, DE Winterferien, EN Winter Holidays;IL
39cf198a-fdba-46ed-b38b-3fd1d113e9c9;NO;2028-04-10;2028-04-17;School;Regional;NO Påskeferie, DE Osterferien, EN Easter Holidays;IL
9c08e4af-1619-4978-82f7-c0d696a3df33;NO;2028-05-26;2028-05-26;School;Regional;NO Fridag, DE Schulfrei, EN School-free Day;IL
fc0a195b-4129-4f63-9094-4b6e4f81ca9a;NO;2028-06-25;2028-08-18;School;Regional;NO Sommerferie, DE Sommerferien, EN Summer Holidays;IL
