Id;Country;StartDate;EndDate;Type;RegionalScope;Name
20937e1a-f364-4a16-b1e6-900892e51ec3;PL;2020-01-01;;Public;National;PL Nowy Rok,DE Neujahr,EN New Year's Day
8ed37e36-f622-4231-b0bd-1cc18fe89bd8;PL;2020-01-06;;Public;National;PL Święto Trzech Króli,DE Heilige Drei Könige,EN Epiphany
73e3c457-adc3-4c77-9498-c3e8b5688c9e;PL;2020-04-12;;Public;National;PL Wielkanoc,DE Ostersonntag,EN Easter Sunday
4f6ca75e-8022-4ef0-bfe6-874474a4622f;PL;2020-04-13;;Public;National;PL Drugi Dzień Wielkanocy,DE Ostermontag,EN Easter Monday
d126e8f1-3d9a-4c41-a013-c5be6423e078;PL;2020-05-01;;Public;National;PL Święto Pracy,DE Tag der Arbeit,EN Labour Day
45a9a01e-3b36-4e69-958f-a34b1f60f0be;PL;2020-05-03;;Public;National;PL Święto Narodowe Trzeciego Maja,DE Nationalfeiertag,EN Constitution Day
16542dc4-0450-458e-8538-746035b23cbc;PL;2020-05-31;;Public;National;PL Zielone Świątki,DE Pfingsten,EN Pentecost
1a0bb8c7-3f5e-4051-aece-87a0a35d31e2;PL;2020-06-11;;Public;National;PL Boże Ciało,DE Fronleichnam,EN Corpus Christi
8b48c90a-4c9d-45aa-abf3-b0625d775243;PL;2020-08-15;;Public;National;PL Wniebowzięcie Najświętszej Maryi Panny,DE Mariä Himmelfahrt,EN Assumption Day
c3603339-33e8-467d-a4d0-840bf01715ae;PL;2020-11-01;;Public;National;PL Wszystkich Świętych,DE Allerheiligen,EN All Saints' Day
a96bc379-842c-42e1-96d2-a6c39f8b2b4d;PL;2020-11-11;;Public;National;PL Narodowe Święto Niepodległości,DE Nationaler Unabhängigkeitstag,EN Independence Day
a7b866ea-a034-4415-bc8b-ab1873b4d7dd;PL;2020-12-25;;Public;National;PL Boże Narodzenie,DE Weihnachten,EN Christmas Day
57ae68bf-b940-4363-bf67-802b3f82896d;PL;2020-12-26;;Public;National;PL Drugi Dzień Bożego Narodzenia,DE Zweiter Weihnachtsfeiertag,EN 2nd Day of Christmas
770a025b-3402-484e-8e0a-7a67f7bb386b;PL;2021-01-01;;Public;National;PL Nowy Rok,DE Neujahr,EN New Year's Day
8995c51d-cbc3-46d1-98a6-dd16b747cb7b;PL;2021-01-06;;Public;National;PL Święto Trzech Króli,DE Heilige Drei Könige,EN Epiphany
00b55ead-d7a5-4c88-8d24-dc85faf660de;PL;2021-04-04;;Public;National;PL Wielkanoc,DE Ostersonntag,EN Easter Sunday
e8172e79-a947-4825-a686-ed07ac39cf89;PL;2021-04-05;;Public;National;PL Drugi Dzień Wielkanocy,DE Ostermontag,EN Easter Monday
913014f8-91b6-4db5-8e64-915c24e9f147;PL;2021-05-01;;Public;National;PL Święto Pracy,DE Tag der Arbeit,EN Labour Day
17c7bff2-fdf7-4c6e-907f-509496081c94;PL;2021-05-03;;Public;National;PL Święto Narodowe Trzeciego Maja,DE Nationalfeiertag,EN Constitution Day
608d4a05-2afc-4723-b230-74e3fa56c64b;PL;2021-05-23;;Public;National;PL Zielone Świątki,DE Pfingsten,EN Pentecost
1e46a2b4-e830-4480-a37b-8982fa0c6fd3;PL;2021-06-03;;Public;National;PL Boże Ciało,DE Fronleichnam,EN Corpus Christi
b50cf884-5752-44d2-957b-bf59a1891ef4;PL;2021-08-15;;Public;National;PL Wniebowzięcie Najświętszej Maryi Panny,DE Mariä Himmelfahrt,EN Assumption Day
ae081164-146b-4c17-bf5d-4b78e4fa5518;PL;2021-11-01;;Public;National;PL Wszystkich Świętych,DE Allerheiligen,EN All Saints' Day
