Id;Country;StartDate;EndDate;Type;RegionalScope;Status;Name;Subdivisions
e4bc168e-3eb2-458a-b1f3-80d9d45a2b4a;PT;2020-01-11;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LE-OB
82f18d28-617f-4a9d-ba7d-0f0632b14cf5;PT;2020-01-13;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CO-VP,EV-VA,LI-CD,VR-SM
17dadb24-1da3-4d25-a1ad-f7ad9ade49df;PT;2020-01-14;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;PA-EL
c1e95435-ba09-41d6-a132-c1ffb7ad0f5f;PT;2020-01-15;;Public;Local;Optional;PT Dia de Santo Amaro,EN St Amaro's Day,DE Tag des heiligen Amaro;MA-SC
94fb835f-95b7-41f0-8839-a0e0157e262b;PT;2020-01-20;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-SM
8bd02bda-141d-4dfa-b7bf-a5a14cd40332;PT;2020-01-22;;Public;Local;Optional;PT Dia de São Vicente,EN St Vincent's Day,DE Tag des heiligen Vinzenz von Valencia;FA-VB,MA-SV
ef480311-90d5-44e3-9d9e-b5da1b575baf;PT;2020-02-02;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;EV-MO
ec5787be-bd69-4dd6-ab55-dc549260f3e6;PT;2020-02-10;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;GU-AB
e783ad9b-05df-41f6-968b-ed6f218d746b;PT;2020-02-18;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VC-VA
b3acc1e8-aa1f-4258-b585-74247daf6d3b;PT;2020-03-01;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;SA-TM
d2240387-e131-4f31-b421-e0e91e258da3;PT;2020-03-02;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VI-VP
a042b59d-3646-4d39-a4ac-9ca10d8dfc81;PT;2020-03-04;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;GU-MA
