Id;Country;StartDate;EndDate;Type;RegionalScope;Name
e3986a7a-e268-4c45-a533-8e90298ac3b8;PT;2020-01-01;;Public;National;PT Ano Novo,EN New Year's Day,DE Neujahr
1f39366a-f456-428e-88ea-685b7e4208b8;PT;2020-02-25;;Optional;National;PT Carnaval,EN Carnival,DE Karneval
232b555a-b5b1-43ca-82d9-5497a55afe96;PT;2020-04-10;;Public;National;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag
41f1f1f5-347b-4f15-8e76-7767b9cd3556;PT;2020-04-12;;Public;National;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag
179182e9-c28e-4e9e-904b-e43aa8e1c07d;PT;2020-04-25;;Public;National;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit
b5f0e04c-89e5-4de0-9295-d5fcf7432014;PT;2020-05-01;;Public;National;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit
c6421faa-a5fc-4217-92d9-3a0060a3aca0;PT;2020-06-10;;Public;National;PT Dia de Portugal / de Camões e das Comunidades Portuguesas,EN Portugal Day,DE Portugiesischer Nationalfeiertag
4c689ed3-6fc1-4635-949f-e26b28d0e644;PT;2020-06-11;;Public;National;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam
7dda4830-316f-4c6a-8d60-80daaee73f94;PT;2020-08-15;;Public;National;PT Assunção de Nossa Senhora,EN Assumption Day,DE Mariä Himmelfahrt
2880a166-354e-4afa-9a5a-9ea730a40c4d;PT;2020-10-05;;Public;National;PT Implantação da República,EN Republic Day,DE Tag der Republik
6ce9752d-4e20-4c03-af8d-cd9d27f04dc7;PT;2020-11-01;;Public;National;PT Todos-os-Santos,EN All Saints' Day,DE Allerheiligen
2ad9ae2c-0c26-47d6-915c-314a79151fb3;PT;2020-12-01;;Public;National;PT Restauração da Independência,EN Independence Day,DE Unabhängigkeitstag
bad92cde-513b-4dd6-be94-066faac20240;PT;2020-12-08;;Public;National;PT Imaculada Conceição,EN Immaculate Conception Day,DE Tag der Unbefleckten Empfängnis
2e15a433-2d18-4a4e-8b74-b81d877704be;PT;2020-12-25;;Public;National;PT Natal,EN Christmas,DE Weihnachten
1ff96d15-77c8-41f8-b628-5090d03030b3;PT;2021-01-01;;Public;National;PT Ano Novo,EN New Year's Day,DE Neujahr
b302d903-c381-4b83-8837-de422ee4b72e;PT;2021-02-16;;Optional;National;PT Carnaval,EN Carnival,DE Karneval
a1873c0c-17ef-42b7-8ad4-1e0d1dacedb4;PT;2021-04-02;;Public;National;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag
