Id;Country;StartDate;EndDate;Type;Name;Subdivisions
e3986a7a-e268-4c45-a533-8e90298ac3b8;PT;2020-01-01;;Public;PT Ano Novo,EN New Year's Day,DE Neujahr;
232b555a-b5b1-43ca-82d9-5497a55afe96;PT;2020-04-10;;Public;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag;
41f1f1f5-347b-4f15-8e76-7767b9cd3556;PT;2020-04-12;;Public;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag;
179182e9-c28e-4e9e-904b-e43aa8e1c07d;PT;2020-04-25;;Public;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit;
b5f0e04c-89e5-4de0-9295-d5fcf7432014;PT;2020-05-01;;Public;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit;
30bce103-1466-4c82-8762-f5a3fa386b13;PT;2020-06-01;;Public;PT Dia dos Açores,EN Azores Day,DE Tag der Azoren;AC
c6421faa-a5fc-4217-92d9-3a0060a3aca0;PT;2020-06-10;;Public;PT Dia de Portugal / de Camões e das Comunidades Portuguesas,EN Portugal Day,DE Portugiesischer Nationalfeiertag;
4c689ed3-6fc1-4635-949f-e26b28d0e644;PT;2020-06-11;;Public;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam;
4fdb4132-674a-4f64-8de8-972c9e2d1417;PT;2020-06-13;;Public;PT Dia de Santo António,EN Feast of St. Anthony,DE Tag des Heiligen Antonius;LI
ad87798c-9753-4f40-8f12-741266c1a084;PT;2020-06-24;;Public;PT Dia de São João Baptista,EN Saint John's Day,DE Johannistag;BRG,ALM,PRT
04bb2d47-64fe-4a77-ad39-baad9cd6d9d7;PT;2020-07-01;;Public;PT Dia da Madeira,EN Madeira Day,DE Madeira-Tag;MA
7dda4830-316f-4c6a-8d60-80daaee73f94;PT;2020-08-15;;Public;PT Assunção de Nossa Senhora,EN Assumption Day,DE Mariä Himmelfahrt;
2880a166-354e-4afa-9a5a-9ea730a40c4d;PT;2020-10-05;;Public;PT Implantação da República,EN Republic Day,DE Tag der Republik;
6ce9752d-4e20-4c03-af8d-cd9d27f04dc7;PT;2020-11-01;;Public;PT Todos-os-Santos,EN All Saints' Day,DE Allerheiligen;
2ad9ae2c-0c26-47d6-915c-314a79151fb3;PT;2020-12-01;;Public;PT Restauração da Independência,EN Independence Day,DE Unabhängigkeitstag;
bad92cde-513b-4dd6-be94-066faac20240;PT;2020-12-08;;Public;PT Imaculada Conceição,EN Immaculate Conception Day,DE Tag der Unbefleckten Empfängnis;
2e15a433-2d18-4a4e-8b74-b81d877704be;PT;2020-12-25;;Public;PT Natal,EN Christmas,DE Weihnachten;
879f6247-ff7a-4d9f-97a4-785534cca2f4;PT;2020-12-26;;Public;PT Primeira Oitava,EN Boxing Day,DE 2. Weihnachtsfeiertag;MA
1ff96d15-77c8-41f8-b628-5090d03030b3;PT;2021-01-01;;Public;PT Ano Novo,EN New Year's Day,DE Neujahr;
a1873c0c-17ef-42b7-8ad4-1e0d1dacedb4;PT;2021-04-02;;Public;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag;
bae061f8-b744-4ab8-b6c8-5e8de0f2f1e4;PT;2021-04-04;;Public;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag;
f4486ef1-68e8-42a0-98f0-9fc783e07ba0;PT;2021-04-25;;Public;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit;
f85ededc-62bb-4cda-84a1-dd540479f8cb;PT;2021-05-01;;Public;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit;
121d1db6-37ae-4961-9458-76dd1162a62b;PT;2021-05-24;;Public;PT Dia dos Açores,EN Azores Day,DE Tag der Azoren;AC
3beab8dd-60a5-4a87-aa01-89b8da1a2ec2;PT;2021-06-03;;Public;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam;
9dd8ba37-a5f0-4cf0-afb1-3260db282d29;PT;2021-06-10;;Public;PT Dia de Portugal / de Camões e das Comunidades Portuguesas,EN Portugal Day,DE Portugiesischer Nationalfeiertag;
22ec14aa-dfd8-4cb8-acbf-32844efa97d8;PT;2021-06-13;;Public;PT Dia de Santo António,EN Feast of St. Anthony,DE Tag des Heiligen Antonius;LI
0290cf76-82ca-4d51-9671-d2d0238591b2;PT;2021-06-24;;Public;PT Dia de São João Baptista,EN Saint John's Day,DE Johannistag;BRG,ALM,PRT
a0319dad-a38b-49e4-9625-08fef7387030;PT;2021-07-01;;Public;PT Dia da Madeira,EN Madeira Day,DE Madeira-Tag;MA
077ddf49-9e42-4423-acb1-0bf910ffce2c;PT;2021-08-15;;Public;PT Assunção de Nossa Senhora,EN Assumption Day,DE Mariä Himmelfahrt;
e475d88c-652d-4956-86a5-1171f0a4bfa5;PT;2021-10-05;;Public;PT Implantação da República,EN Republic Day,DE Tag der Republik;
d15724a9-a318-4414-b0f2-d26775167b09;PT;2021-11-01;;Public;PT Todos-os-Santos,EN All Saints' Day,DE Allerheiligen;
5b15f932-585b-4789-aeeb-7a3299f83e67;PT;2021-12-01;;Public;PT Restauração da Independência,EN Independence Day,DE Unabhängigkeitstag;
4955591e-0de2-4947-9819-4bb885f69823;PT;2021-12-08;;Public;PT Imaculada Conceição,EN Immaculate Conception Day,DE Tag der Unbefleckten Empfängnis;
829b63db-047e-4e52-aaf8-04e910f7d980;PT;2021-12-25;;Public;PT Natal,EN Christmas,DE Weihnachten;
37da7511-aff9-4b2c-8699-1f99c3964bed;PT;2021-12-26;;Public;PT Primeira Oitava,EN Boxing Day,DE 2. Weihnachtsfeiertag;MA
9e062e70-43e1-4650-a92e-b205930b4588;PT;2022-01-01;;Public;PT Ano Novo,EN New Year's Day,DE Neujahr;
28f32a5e-555a-43db-aefc-b54e4954f8bc;PT;2022-04-15;;Public;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag;
a1696a2d-472e-481c-ad9f-d59c68290010;PT;2022-04-17;;Public;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag;
80decf50-05af-42c4-9d3d-8ff05ac9aa62;PT;2022-04-25;;Public;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit;
0fc3a5db-9013-4c71-b15b-a23d873b91db;PT;2022-05-01;;Public;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit;
b50899e9-1d21-4723-9e59-a1378345757f;PT;2022-06-06;;Public;PT Dia dos Açores,EN Azores Day,DE Tag der Azoren;AC
f2ee4118-becf-4922-a6cc-9039790556d0;PT;2022-06-10;;Public;PT Dia de Portugal / de Camões e das Comunidades Portuguesas,EN Portugal Day,DE Portugiesischer Nationalfeiertag;
03dc02c7-6087-4aad-9a8c-33869c413700;PT;2022-06-16;;Public;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam;
db363107-a013-4c79-900b-0f25ad108abd;PT;2022-06-13;;Public;PT Dia de Santo António,EN Feast of St. Anthony,DE Tag des Heiligen Antonius;LI
17992356-357c-4c07-82f3-b732651568d3;PT;2022-06-24;;Public;PT Dia de São João Baptista,EN Saint John's Day,DE Johannistag;BRG,ALM,PRT
3578c8f4-cbc5-43a8-8c19-10b702622a82;PT;2022-07-01;;Public;PT Dia da Madeira,EN Madeira Day,DE Madeira-Tag;MA
7e4ad745-63e2-4358-9366-b2937fbd548d;PT;2022-08-15;;Public;PT Assunção de Nossa Senhora,EN Assumption Day,DE Mariä Himmelfahrt;
6f9283b8-af6a-4c75-b29b-8a8d5dfb8858;PT;2022-10-05;;Public;PT Implantação da República,EN Republic Day,DE Tag der Republik;
d3355c06-792b-46ab-bac1-07549e9ff388;PT;2022-11-01;;Public;PT Todos-os-Santos,EN All Saints' Day,DE Allerheiligen;
0755caa3-548a-4c92-b823-25c479868bbc;PT;2022-12-01;;Public;PT Restauração da Independência,EN Independence Day,DE Unabhängigkeitstag;
7a27ff93-e41d-449a-95e3-87429acf5c59;PT;2022-12-08;;Public;PT Imaculada Conceição,EN Immaculate Conception Day,DE Tag der Unbefleckten Empfängnis;
c7bac23b-09dc-4ee3-97a2-75aeeb5481c6;PT;2022-12-25;;Public;PT Natal,EN Christmas,DE Weihnachten;
a5b6ebdf-1da2-4c67-bd15-b155c6a0e4af;PT;2022-12-26;;Public;PT Primeira Oitava,EN Boxing Day,DE 2. Weihnachtsfeiertag;MA
dfc38a9f-2df0-4ed9-8066-4326d5d25d72;PT;2023-01-01;;Public;PT Ano Novo,EN New Year's Day,DE Neujahr;
5c2604d7-eebb-4cb6-a837-d4cab6370549;PT;2023-04-07;;Public;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag;
b5651c32-ca61-4b06-a2f0-8f4ad35493bf;PT;2023-04-09;;Public;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag;
b9a7ba4b-7083-4dd9-8d11-6575474f7902;PT;2023-04-25;;Public;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit;
d37ad5d1-d5f7-4944-be80-bf4a65788627;PT;2023-05-01;;Public;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit;
76003d47-e671-448a-b6e6-b55f8e32300f;PT;2023-05-29;;Public;PT Dia dos Açores,EN Azores Day,DE Tag der Azoren;AC
ffb4c908-ff0e-445f-bec4-70d96202e607;PT;2023-06-08;;Public;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam;
7dda0724-ed25-49c0-8e9a-02bea58b9ed4;PT;2023-06-10;;Public;PT Dia de Portugal / de Camões e das Comunidades Portuguesas,EN Portugal Day,DE Portugiesischer Nationalfeiertag;
6248ae26-c2f9-40d7-ad08-1a25839a1607;PT;2023-06-13;;Public;PT Dia de Santo António,EN Feast of St. Anthony,DE Tag des Heiligen Antonius;LI
b15c7b1b-b83e-42c5-b0fb-386324debed2;PT;2023-06-24;;Public;PT Dia de São João Baptista,EN Saint John's Day,DE Johannistag;BRG,ALM,PRT
59cbeb31-f9f4-48ed-9d3a-4df3f22ffe48;PT;2023-07-01;;Public;PT Dia da Madeira,EN Madeira Day,DE Madeira-Tag;MA
b787e6af-e80f-4ad4-8ee1-a0f0476ad917;PT;2023-08-15;;Public;PT Assunção de Nossa Senhora,EN Assumption Day,DE Mariä Himmelfahrt;
81622cc0-8dc7-4155-a4e5-c634a5eca37c;PT;2023-10-05;;Public;PT Implantação da República,EN Republic Day,DE Tag der Republik;
ad5abffa-9b24-4b7d-a7cf-2eb2b852a55d;PT;2023-11-01;;Public;PT Todos-os-Santos,EN All Saints' Day,DE Allerheiligen;
b38d9eda-11e7-4272-b380-647833b63182;PT;2023-12-01;;Public;PT Restauração da Independência,EN Independence Day,DE Unabhängigkeitstag;
748a7466-1732-474f-be5c-52342518aaed;PT;2023-12-08;;Public;PT Imaculada Conceição,EN Immaculate Conception Day,DE Tag der Unbefleckten Empfängnis;
855721f7-cad9-4a71-90eb-6382d9b6e6ff;PT;2023-12-25;;Public;PT Natal,EN Christmas,DE Weihnachten;
f0f2e188-ba32-41d6-bcd7-3386560d7a0e;PT;2023-12-26;;Public;PT Primeira Oitava,EN Boxing Day,DE 2. Weihnachtsfeiertag;MA
d905b3a0-b161-40f5-809a-9ce443ea6ef0;PT;2024-01-01;;Public;PT Ano Novo,EN New Year's Day,DE Neujahr;
f3b0fe59-b37b-41f1-9ce5-b3619cd976cb;PT;2024-03-29;;Public;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag;
daeec60a-4af3-4b8b-9a57-fec3fbec6915;PT;2024-03-31;;Public;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag;
546d7414-ee0b-415e-8386-205946db58b7;PT;2024-04-25;;Public;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit;
a3e263b1-4263-4727-9dfe-d4d2536ad71c;PT;2024-05-01;;Public;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit;
c512b803-8b85-4d81-97ae-78a417cafe8b;PT;2024-05-20;;Public;PT Dia dos Açores,EN Azores Day,DE Tag der Azoren;AC
08388d6d-e076-48f6-9068-e95cbe53f751;PT;2024-05-30;;Public;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam;
84e34896-1c0e-4056-b6e1-36012e8c1d93;PT;2024-06-10;;Public;PT Dia de Portugal / de Camões e das Comunidades Portuguesas,EN Portugal Day,DE Portugiesischer Nationalfeiertag;
7ffa41bb-850b-4a31-ac51-da26210e3daa;PT;2024-06-13;;Public;PT Dia de Santo António,EN Feast of St. Anthony,DE Tag des Heiligen Antonius;LI
41053b82-bf4e-4b89-80ce-a9e36f066fd8;PT;2024-06-24;;Public;PT Dia de São João Baptista,EN Saint John's Day,DE Johannistag;BRG,ALM,PRT
f29c7a43-2cfd-4171-8518-b51abf0d72d5;PT;2024-07-01;;Public;PT Dia da Madeira,EN Madeira Day,DE Madeira-Tag;MA
ac3c22a4-41f6-4a53-a580-7d811e5be3eb;PT;2024-08-15;;Public;PT Assunção de Nossa Senhora,EN Assumption Day,DE Mariä Himmelfahrt;
6032ad82-06cc-4921-b111-f5838cc59f3c;PT;2024-10-05;;Public;PT Implantação da República,EN Republic Day,DE Tag der Republik;
840cb5bb-d1e4-44b1-9cb9-63f380b77cb4;PT;2024-11-01;;Public;PT Todos-os-Santos,EN All Saints' Day,DE Allerheiligen;
15f70a18-6e47-488a-aaee-9322aebe840f;PT;2024-12-01;;Public;PT Restauração da Independência,EN Independence Day,DE Unabhängigkeitstag;
97f632f8-7d5a-489e-9111-66bc6e1fab32;PT;2024-12-08;;Public;PT Imaculada Conceição,EN Immaculate Conception Day,DE Tag der Unbefleckten Empfängnis;
145ebb2e-3375-4f0d-bc6c-cee998871dfe;PT;2024-12-25;;Public;PT Natal,EN Christmas,DE Weihnachten;
9786b198-eb5f-4e74-b87a-b9e0c3dd4240;PT;2024-12-26;;Public;PT Primeira Oitava,EN Boxing Day,DE 2. Weihnachtsfeiertag;MA
556f819f-56e2-498d-9a1e-599017e85f8a;PT;2025-01-01;;Public;PT Ano Novo,EN New Year's Day,DE Neujahr;
6dc9e537-28fc-43f1-b739-1c831c6e2f34;PT;2025-04-07;;Public;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag;
40b8df7c-98b5-4333-8449-1ef5a81a586b;PT;2025-04-25;;Public;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit;
035df30c-4f45-4e47-9205-75e2b5dcf802;PT;2025-04-09;;Public;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag;
37b51c8a-de34-4d38-898c-2e9504474fc8;PT;2025-05-01;;Public;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit;
4008d91f-4308-41c8-bf50-927d709ba511;PT;2025-06-08;;Public;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam;
7ab47b64-8607-42d8-b121-036e3d0c5be3;PT;2025-06-09;;Public;PT Dia dos Açores,EN Azores Day,DE Tag der Azoren;AC
8b912098-6f90-48e0-9971-ee0039744575;PT;2025-06-10;;Public;PT Dia de Portugal / de Camões e das Comunidades Portuguesas,EN Portugal Day,DE Portugiesischer Nationalfeiertag;
d553f5f0-7ce8-432a-a76e-f409fb607b4b;PT;2025-06-13;;Public;PT Dia de Santo António,EN Feast of St. Anthony,DE Tag des Heiligen Antonius;LI
a816f524-8c07-4c6a-82e2-1055ce534081;PT;2025-06-24;;Public;PT Dia de São João Baptista,EN Saint John's Day,DE Johannistag;BRG,ALM,PRT
11cf5a34-f107-497b-a86e-d729caf2c060;PT;2025-07-01;;Public;PT Dia da Madeira,EN Madeira Day,DE Madeira-Tag;MA
1b06541b-f2c3-46ea-a897-046652f0ee82;PT;2025-08-15;;Public;PT Assunção de Nossa Senhora,EN Assumption Day,DE Mariä Himmelfahrt;
7f92fd24-535d-404d-a8b7-a363f632eb1c;PT;2025-10-05;;Public;PT Implantação da República,EN Republic Day,DE Tag der Republik;
2442451c-3186-48b6-ba4e-fc52d8282fa9;PT;2025-11-01;;Public;PT Todos-os-Santos,EN All Saints' Day,DE Allerheiligen;
246eb060-45fb-4069-9afd-dbef3c1f4758;PT;2025-12-01;;Public;PT Restauração da Independência,EN Independence Day,DE Unabhängigkeitstag;
3d0ecf15-beb2-4a44-8051-71f428fe3684;PT;2025-12-08;;Public;PT Imaculada Conceição,EN Immaculate Conception Day,DE Tag der Unbefleckten Empfängnis;
9824adc5-fbf0-4800-ab29-cf8cdbef7fca;PT;2025-12-25;;Public;PT Natal,EN Christmas,DE Weihnachten;
5be2f7db-6930-4f90-b89c-d03309e5cd3b;PT;2025-12-26;;Public;PT Primeira Oitava,EN Boxing Day,DE 2. Weihnachtsfeiertag;MA
eb86e163-1ed7-4b16-aab6-dee82f79d51b;PT;2026-01-01;;Public;PT Ano Novo,EN New Year's Day,DE Neujahr;
b795d6b9-c230-4054-bbc7-0b4bbbae1d71;PT;2026-04-03;;Public;PT Sexta-feira Santa,EN Good Friday,DE Karfreitag;
af6096ef-ba9c-40d7-ab0f-62e8e21f85c9;PT;2026-04-05;;Public;PT Domingo de Páscoa,EN Easter Sunday,DE Ostersonntag;
f30befde-c2c5-4bc8-ba70-492cbcbb7a78;PT;2026-04-25;;Public;PT Dia da Liberdade,EN Liberty Day,DE Tag der Freiheit;
d931fd2b-f291-4547-8712-afbb83367bf1;PT;2026-05-01;;Public;PT Dia do Trabalhador,EN Labor Day,DE Tag der Arbeit;
5ddfcc52-ea06-4a80-9a05-4fa21d86b4fb;PT;2026-05-25;;Public;PT Dia dos Açores,EN Azores Day,DE Tag der Azoren;AC
abc5571a-b6b8-40aa-b166-bb57d5b562e4;PT;2026-06-04;;Public;PT Corpo de Deus,EN Corpus Christi,DE Fronleichnam;
