Id;Country;StartDate;EndDate;Type;Name;Comments
b8513c57-8ef5-4cf5-a3ba-efc950cf655b;PT;2019-12-18;2020-01-03;School;PT Férias de Natal,EN Christmas holidays,DE Weihnachtsferien;
282bacc1-7569-4898-881f-ca9aeb976c0d;PT;2020-02-24;2020-02-26;School;PT Férias de Carnaval,EN Carnival holidays,DE Karnevalsferien;
1b74a41b-a482-448f-a67c-111bb5daf0e8;PT;2020-03-30;2020-04-13;School;PT Férias de Páscoa,EN Easter holidays,DE Osterferien;
db8c9bc6-2a5c-44a3-9f70-51ac520209d3;PT;2020-06-05;2020-09-13;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 9.º%2C 11.º e 12.º anos de escolaridade,EN 9th%2C 11th and 12th grades,DE 9.%2C 11. und 12. Jahrgangsstufe 
dfc1643d-c6cb-48e7-8ce5-01fa5ba9c11e;PT;2020-06-10;2020-09-13;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 5.º%2C 6.º%2C, 7.º%2C 8.º e 10.º anos de escolaridade,EN 5th%2C 6th%2C 7th%2C 8th and 10th grades,DE 5.%2C 6.%2C 7.%2C 8. und 10. Klassenstufe
6220a74f-8df9-4a9e-9733-fbf439de5ce4;PT;2020-06-20;2020-09-13;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT Educação pré-escolar e 1.º%2C 2.º%2C 3.º e 4.º anos de escolaridade,EN Pre-school education and 1st%2C 2nd%2C 3rd and 4th grades,DE Vorschulerziehung und 1.%2C 2.%2C 3. und 4. Schuljahr
9e21dce3-0c47-4a6c-bf2e-c912101c86eb;PT;2020-12-21;2020-12-31;School;PT Férias de Natal,EN Christmas holidays,DE Weihnachtsferien;
f380cc0a-aaa9-4f9c-b18c-0e9527e687c9;PT;2021-03-29;2021-04-01;School;PT Férias de Páscoa,EN Easter holidays,DE Osterferien;
2576526f-7c96-4f07-8ba2-a429cd40599a;PT;2021-06-19;2021-09-13;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 9.º%2C 11.º e 12.º anos de escolaridade,EN 9th%2C 11th and 12th grades,DE 9.%2C 11. und 12. Jahrgangsstufe 
f85477a1-d721-4330-b122-4ca5823c462c;PT;2021-06-24;2021-09-13;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 5.º%2C 6.º%2C, 7.º%2C 8.º e 10.º anos de escolaridade,EN 5th%2C 6th%2C 7th%2C 8th and 10th grades,DE 5.%2C 6.%2C 7.%2C 8. und 10. Klassenstufe
d0e244aa-3a7a-418f-8e6c-ff755c3c6b91;PT;2021-07-09;2021-09-13;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT Educação pré-escolar e 1.º%2C 2.º%2C 3.º e 4.º anos de escolaridade,EN Pre-school education and 1st%2C 2nd%2C 3rd and 4th grades,DE Vorschulerziehung und 1.%2C 2.%2C 3. und 4. Schuljahr
b704f35a-e8bc-411f-8c31-cb62a1fa362e;PT;2021-12-20;2022-01-07;School;PT Férias de Natal,EN Christmas holidays,DE Weihnachtsferien;
d0dcd31e-6fb3-47ab-8037-a98a0db85a92;PT;2022-03-01;;School;PT Férias de Carnaval,EN Carnival holidays,DE Karnevalsferien;
26d125d7-e5bb-4055-b196-2c75e8d09867;PT;2022-04-11;2022-04-18;School;PT Férias de Páscoa,EN Easter holidays,DE Osterferien;
2899ea85-20e4-4467-a858-456d1e559b7a;PT;2022-06-08;2022-09-12;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 9.º%2C 11.º e 12.º anos de escolaridade,EN 9th%2C 11th and 12th grades,DE 9.%2C 11. und 12. Jahrgangsstufe 
