Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
PT;PT-AV;PT-01;AV;PT distrito,EN district,DE Bezirk;PT Aveiro,EN Aveiro,DE Aveiro;PT;
PT;PT-BE;PT-02;BE;PT distrito,EN district,DE Bezirk;PT Beja,EN Beja,DE Beja;PT;
PT;PT-BR;PT-03;BR;PT distrito,EN district,DE Bezirk;PT Braga,EN Braga,DE Braga;PT;
PT;PT-BA;PT-04;BA;PT distrito,EN district,DE Bezirk;PT Bragança,EN Bragança,DE Bragança;PT;
PT;PT-CB;PT-05;CB;PT distrito,EN district,DE Bezirk;PT Castelo Branco,EN Castelo Branco,DE Castelo Branco;PT;
PT;PT-CO;PT-06;CO;PT distrito,EN district,DE Bezirk;PT Coimbra,EN Coimbra,DE Coimbra;PT;
PT;PT-EV;PT-07;EV;PT distrito,EN district,DE Bezirk;PT Évora,EN Évora,DE Évora;PT;
PT;PT-FA;PT-08;FA;PT distrito,EN district,DE Bezirk;PT Faro,EN Faro,DE Faro;PT;
PT;PT-GU;PT-09;GU;PT distrito,EN district,DE Bezirk;PT Guarda,EN Guarda,DE Guarda;PT;
PT;PT-LE;PT-10;LE;PT distrito,EN district,DE Bezirk;PT Leiria,EN Leiria,DE Leiria;PT;
PT;PT-LI;PT-11;LI;PT distrito,EN district,DE Bezirk;PT Lisboa,EN Lisbon,DE Lissabon;PT;
PT;PT-PA;PT-12;PA;PT distrito,EN district,DE Bezirk;PT Portalegre,EN Portalegre,DE Portalegre;PT;
PT;PT-PO;PT-13;PO;PT distrito,EN district,DE Bezirk;PT Porto,EN Porto,DE Porto;PT;
PT;PT-SA;PT-14;SA;PT distrito,EN district,DE Bezirk;PT Santarém,EN Santarém,DE Santarém;PT;
PT;PT-SE;PT-15;SE;PT distrito,EN district,DE Bezirk;PT Setúbal,EN Setúbal,DE Setúbal;PT;
PT;PT-VC;PT-16;VC;PT distrito,EN district,DE Bezirk;PT Viana do Castelo,EN Viana do Castelo,DE Viana do Castelo;PT;
PT;PT-VR;PT-17;VR;PT distrito,EN district,DE Bezirk;PT Vila Real,EN Vila Real,DE Vila Real;PT;
PT;PT-VI;PT-18;VI;PT distrito,EN district,DE Bezirk;PT Viseu,EN Viseu,DE Viseu;PT;
PT;PT-AC;PT-20;AC;PT região autónoma,EN autonomous region,DE Autonome Region;PT Região Autónoma dos Açores,EN Azores,DE Azoren;PT;
PT;PT-MA;PT-30;MA;PT região autónoma,EN autonomous region,DE Autonome Region;PT Região Autónoma da Madeira,EN Madeira,DE Madeira;PT;
PT;PT-ABT;;ABT;PT município,EN municipality,DE Gemeinde;PT Abrantes,EN Abrantes,DE Abrantes;PT;SA
PT;PT-AGD;;AGD;PT município,EN municipality,DE Gemeinde;PT Águeda,EN Águeda,DE Águeda;PT;AV
PT;PT-AGB;;AGB;PT município,EN municipality,DE Gemeinde;PT Aguiar da Beira,EN Aguiar da Beira,DE Aguiar da Beira;PT;GU
PT;PT-ADL;;ADL;PT município,EN municipality,DE Gemeinde;PT Alandroal,EN Alandroal,DE Alandroal;PT;EV
PT;PT-ALB;;ALB;PT município,EN municipality,DE Gemeinde;PT Albergaria-a-Velha,EN Albergaria-a-Velha,DE Albergaria-a-Velha;PT;AV
PT;PT-ABF;;ABF;PT município,EN municipality,DE Gemeinde;PT Albufeira,EN Albufeira,DE Albufeira;PT;FA
PT;PT-ASL;;ASL;PT município,EN municipality,DE Gemeinde;PT Alcácer do Sal,EN Alcácer do Sal,DE Alcácer do Sal;PT;SE
PT;PT-ACN;;ACN;PT município,EN municipality,DE Gemeinde;PT Alcanena,EN Alcanena,DE Alcanena;PT;SA
PT;PT-ACB;;ACB;PT município,EN municipality,DE Gemeinde;PT Alcobaça,EN Alcobaça,DE Alcobaça;PT;LE
PT;PT-ACH;;ACH;PT município,EN municipality,DE Gemeinde;PT Alcochete,EN Alcochete,DE Alcochete;PT;SE
PT;PT-ACT;;ACT;PT município,EN municipality,DE Gemeinde;PT Alcoutim,EN Alcoutim,DE Alcoutim;PT;FA
PT;PT-ALQ;;ALQ;PT município,EN municipality,DE Gemeinde;PT Alenquer,EN Alenquer,DE Alenquer;PT;LI
PT;PT-AFE;;AFE;PT município,EN municipality,DE Gemeinde;PT Alfândega da Fé,EN Alfândega da Fé,DE Alfândega da Fé;PT;BA
PT;PT-ALJ;;ALJ;PT município,EN municipality,DE Gemeinde;PT Alijó,EN Alijó,DE Alijó;PT;VR
PT;PT-AJZ;;AJZ;PT município,EN municipality,DE Gemeinde;PT Aljezur,EN Aljezur,DE Aljezur;PT;FA
PT;PT-AJT;;AJT;PT município,EN municipality,DE Gemeinde;PT Aljustrel,EN Aljustrel,DE Aljustrel;PT;BE
PT;PT-ALM;;ALM;PT município,EN municipality,DE Gemeinde;PT Almada,EN Almada,DE Almada;PT;SE
PT;PT-ALD;;ALD;PT município,EN municipality,DE Gemeinde;PT Almeida,EN Almeida,DE Almeida;PT;GU
PT;PT-ALR;;ALR;PT município,EN municipality,DE Gemeinde;PT Almeirim,EN Almeirim,DE Almeirim;PT;SA
PT;PT-ADV;;ADV;PT município,EN municipality,DE Gemeinde;PT Almodôvar,EN Almodôvar,DE Almodôvar;PT;BE
PT;PT-APC;;APC;PT município,EN municipality,DE Gemeinde;PT Alpiarça,EN Alpiarça,DE Alpiarça;PT;SA
PT;PT-ALT;;ALT;PT município,EN municipality,DE Gemeinde;PT Alter do Chão,EN Alter do Chão,DE Alter do Chão;PT;PA
PT;PT-AVZ;;AVZ;PT município,EN municipality,DE Gemeinde;PT Alvaiázere,EN Alvaiázere,DE Alvaiázere;PT;LE
PT;PT-AVT;;AVT;PT município,EN municipality,DE Gemeinde;PT Alvito,EN Alvito,DE Alvito;PT;BE
PT;PT-AMD;;AMD;PT município,EN municipality,DE Gemeinde;PT Amadora,EN Amadora,DE Amadora;PT;LI
PT;PT-AMT;;AMT;PT município,EN municipality,DE Gemeinde;PT Amarante,EN Amarante,DE Amarante;PT;PO
PT;PT-AMR;;AMR;PT município,EN municipality,DE Gemeinde;PT Amares,EN Amares,DE Amares;PT;BR
PT;PT-AND;;AND;PT município,EN municipality,DE Gemeinde;PT Anadia,EN Anadia,DE Anadia;PT;AV
PT;PT-AGH;;AGH;PT município,EN municipality,DE Gemeinde;PT Angra do Heroísmo,EN Angra do Heroísmo,DE Angra do Heroísmo;PT;AC
PT;PT-ANS;;ANS;PT município,EN municipality,DE Gemeinde;PT Ansião,EN Ansião,DE Ansião;PT;LE
PT;PT-AVV;;AVV;PT município,EN municipality,DE Gemeinde;PT Arcos de Valdevez,EN Arcos de Valdevez,DE Arcos de Valdevez;PT;VC
PT;PT-AGN;;AGN;PT município,EN municipality,DE Gemeinde;PT Arganil,EN Arganil,DE Arganil;PT;CO
PT;PT-AMM;;AMM;PT município,EN municipality,DE Gemeinde;PT Armamar,EN Armamar,DE Armamar;PT;VI
PT;PT-ARC;;ARC;PT município,EN municipality,DE Gemeinde;PT Arouca,EN Arouca,DE Arouca;PT;AV
PT;PT-ARL;;ARL;PT município,EN municipality,DE Gemeinde;PT Arraiolos,EN Arraiolos,DE Arraiolos;PT;EV
PT;PT-ARR;;ARR;PT município,EN municipality,DE Gemeinde;PT Arronches,EN Arronches,DE Arronches;PT;PA
PT;PT-ARV;;ARV;PT município,EN municipality,DE Gemeinde;PT Arruda dos Vinhos,EN Arruda dos Vinhos,DE Arruda dos Vinhos;PT;LI
PT;PT-AVR;;AVR;PT município,EN municipality,DE Gemeinde;PT Aveiro,EN Aveiro,DE Aveiro;PT;AV
PT;PT-AVS;;AVS;PT município,EN municipality,DE Gemeinde;PT Avis,EN Avis,DE Avis;PT;PA
PT;PT-AZB;;AZB;PT município,EN municipality,DE Gemeinde;PT Azambuja,EN Azambuja,DE Azambuja;PT;LI
PT;PT-BAO;;BAO;PT município,EN municipality,DE Gemeinde;PT Baião,EN Baião,DE Baião;PT;PO
PT;PT-BCL;;BCL;PT município,EN municipality,DE Gemeinde;PT Barcelos,EN Barcelos,DE Barcelos;PT;BR
PT;PT-BRC;;BRC;PT município,EN municipality,DE Gemeinde;PT Barrancos,EN Barrancos,DE Barrancos;PT;BE
PT;PT-BRR;;BRR;PT município,EN municipality,DE Gemeinde;PT Barreiro,EN Barreiro,DE Barreiro;PT;SE
