Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages
RO;RO-AB;RO-AB;AB;RO judeţ,EN department,DE Kreis;RO Alba,EN Alba,DE Alba;RO
RO;RO-AR;RO-AR;AR;RO judeţ,EN department,DE Kreis;RO Arad,EN Arad,DE Arad;RO
RO;RO-AG;RO-AG;AG;RO judeţ,EN department,DE Kreis;RO Argeș,EN Argeș,DE Argeș;RO
RO;RO-BC;RO-BC;BC;RO judeţ,EN department,DE Kreis;RO Bacău,EN Bacău,DE Bacău;RO
RO;RO-BH;RO-BH;BH;RO judeţ,EN department,DE Kreis;RO Bihor,EN Bihor,DE Bihor;RO
RO;RO-BN;RO-BN;BN;RO judeţ,EN department,DE Kreis;RO Bistrița-Năsăud,EN Bistrița-Năsăud,DE Bistritz-Năsăud;RO
RO;RO-BT;RO-BT;BT;RO judeţ,EN department,DE Kreis;RO Botoșani,EN Botoșani,DE Botoșani;RO
RO;RO-BV;RO-BV;BV;RO judeţ,EN department,DE Kreis;RO Brașov,EN Brașov,DE Brașov;RO
RO;RO-BR;RO-BR;BR;RO judeţ,EN department,DE Kreis;RO Brăila,EN Brăila,DE Brăila;RO
RO;RO-BU;RO-B;BU;RO municipiu,EN municipality,DE Gemeinde;RO București,EN Bucharest,DE Bukarest;RO
RO;RO-BZ;RO-BZ;BZ;RO judeţ,EN department,DE Kreis;RO Buzău,EN Buzău,DE Buzău;RO
RO;RO-CS;RO-CS;CS;RO judeţ,EN department,DE Kreis;RO Caraș-Severin,EN Caraș-Severin,DE Caraș-Severin;RO
RO;RO-CJ;RO-CJ;CJ;RO judeţ,EN department,DE Kreis;RO Cluj,EN Cluj,DE Cluj;RO
RO;RO-CT;RO-CT;CT;RO judeţ,EN department,DE Kreis;RO Constanța,EN Constanța,DE Constanța;RO
RO;RO-CV;RO-CV;CV;RO judeţ,EN department,DE Kreis;RO Covasna,EN Covasna,DE Covasna;RO
RO;RO-CL;RO-CL;CL;RO judeţ,EN department,DE Kreis;RO Călărași,EN Călărași,DE Călărași;RO
RO;RO-DJ;RO-DJ;DJ;RO judeţ,EN department,DE Kreis;RO Dolj,EN Dolj,DE Dolj;RO
RO;RO-DB;RO-DB;DB;RO judeţ,EN department,DE Kreis;RO Dâmbovița,EN Dâmbovița,DE Dâmbovița;RO
RO;RO-GL;RO-GL;GL;RO judeţ,EN department,DE Kreis;RO Galați,EN Galați,DE Galați;RO
RO;RO-GR;RO-GR;GR;RO judeţ,EN department,DE Kreis;RO Giurgiu,EN Giurgiu,DE Giurgiu;RO
RO;RO-GJ;RO-GJ;GJ;RO judeţ,EN department,DE Kreis;RO Gorj,EN Gorj,DE Gorj;RO
RO;RO-HR;RO-HR;HR;RO judeţ,EN department,DE Kreis;RO Harghita,EN Harghita,DE Harghita;RO
RO;RO-HD;RO-HD;HD;RO judeţ,EN department,DE Kreis;RO Hunedoara,EN Hunedoara,DE Hunedoara;RO
RO;RO-IL;RO-IL;IL;RO judeţ,EN department,DE Kreis;RO Ialomița,EN Ialomița,DE Ialomița;RO
RO;RO-IS;RO-IS;IS;RO judeţ,EN department,DE Kreis;RO Iași,EN Iași,DE Iași;RO
RO;RO-IF;RO-IF;IF;RO judeţ,EN department,DE Kreis;RO Ilfov,EN Ilfov,DE Ilfov;RO
RO;RO-MM;RO-MM;MM;RO judeţ,EN department,DE Kreis;RO Maramureș,EN Maramureș,DE Maramureș;RO
RO;RO-MH;RO-MH;MH;RO judeţ,EN department,DE Kreis;RO Mehedinți,EN Mehedinți,DE Mehedinți;RO
RO;RO-MS;RO-MS;MS;RO judeţ,EN department,DE Kreis;RO Mureș,EN Mureș,DE Mureș;RO
RO;RO-NT;RO-NT;NT;RO judeţ,EN department,DE Kreis;RO Neamț,EN Neamț,DE Neamț;RO
RO;RO-OT;RO-OT;OT;RO judeţ,EN department,DE Kreis;RO Olt,EN Olt,DE Olt;RO
RO;RO-PH;RO-PH;PH;RO judeţ,EN department,DE Kreis;RO Prahova,EN Prahova,DE Prahova;RO
RO;RO-SM;RO-SM;SM;RO judeţ,EN department,DE Kreis;RO Satu Mare,EN Satu Mare,DE Satu Mare;RO
RO;RO-SB;RO-SB;SB;RO judeţ,EN department,DE Kreis;RO Sibiu,EN Sibiu,DE Sibiu;RO
RO;RO-SV;RO-SV;SV;RO judeţ,EN department,DE Kreis;RO Suceava,EN Suceava,DE Suceava;RO
RO;RO-SJ;RO-SJ;SJ;RO judeţ,EN department,DE Kreis;RO Sălaj,EN Sălaj,DE Sălaj;RO
RO;RO-TR;RO-TR;TR;RO judeţ,EN department,DE Kreis;RO Teleorman,EN Teleorman,DE Teleorman;RO
RO;RO-TM;RO-TM;TM;RO judeţ,EN department,DE Kreis;RO Timiș,EN Timiș,DE Timiș;RO
RO;RO-TL;RO-TL;TL;RO judeţ,EN department,DE Kreis;RO Tulcea,EN Tulcea,DE Tulcea;RO
RO;RO-VS;RO-VS;VS;RO judeţ,EN department,DE Kreis;RO Vaslui,EN Vaslui,DE Vaslui;RO
RO;RO-VN;RO-VN;VN;RO judeţ,EN department,DE Kreis;RO Vrancea,EN Vrancea,DE Vrancea;RO
RO;RO-VL;RO-VL;VL;RO judeţ,EN department,DE Kreis;RO Vâlcea,EN Vâlcea,DE Vâlcea;RO
