Id;Country;StartDate;EndDate;Type;RegionalScope;Name
7b215ce1-0d57-4b94-8d08-fbc985e484a5;RS;2020-01-01;2020-01-02;Public;National;SR Нова Година,DE Neujahr,EN New Year's Day
e2f2b1ad-2a26-463a-8d16-3ef0a33ec250;RS;2020-01-07;;Public;National;SR Први дан Божића,DE Weihnachten (Orthodox),EN Christmas (Orthodox)
4b8e0588-a8f0-414d-950a-3ec979977e23;RS;2020-02-15;2020-02-16;Public;National;SR Дан државности Србије,DE Unabhängigkeitstag,EN Sovereignty Day
c06048cd-e2fa-4c97-a3fc-9423cfd1e6db;RS;2020-04-17;;Public;National;SR Добар петак,DE Karfreitag (Orthodox),EN Good Friday (Orthodox)
3a5ceb54-6e5f-46c5-9bce-6369c0f579b4;RS;2020-04-18;;Public;National;SR Ускршња субота,DE Ostersamstag (Orthodox),EN Easter Saturday (Orthodox)
92f00f74-fb4e-4f0c-88db-4ede5c19701d;RS;2020-04-19;;Public;National;SR Ускрс,DE Ostersonntag (Orthodox),EN Easter Sunday (Orthodox)
fb43ead9-113c-474b-8c15-f8b7362258cc;RS;2020-04-20;;Public;National;SR Ускршњи понедељак,DE Ostermontag (Orthodox),EN Easter Monday (Orthodox)
b3a74e68-5a9d-41ff-883a-59af8e8c9079;RS;2020-05-01;2020-05-02;Public;National;SR Празник рада,DE Tag der Arbeit,EN Labour Day
42daff16-05ed-4b5d-a236-31832cd2e4a6;RS;2020-11-11;;Public;National;SR Дан примирја у Првом светском рату,DE Tag des Waffenstillstands,EN Armistice Day
9a832412-171b-46f1-9a16-85dd67a715e5;RS;2021-01-01;2021-01-02;Public;National;SR Нова Година,DE Neujahr,EN New Year's Day
40c843ce-f3e6-4a58-84d2-9b4b9e882c5c;RS;2021-01-07;;Public;National;SR Први дан Божића,DE Weihnachten (Orthodox),EN Christmas (Orthodox)
f37d6fea-2b9c-4d50-8e5d-66c51cbef791;RS;2021-02-15;2021-02-16;Public;National;SR Дан државности Србије,DE Unabhängigkeitstag,EN Sovereignty Day
e2bde474-cfe6-4ba9-88c6-c273ae12e7a8;RS;2021-04-30;;Public;National;SR Добар петак,DE Karfreitag (Orthodox),EN Good Friday (Orthodox)
0581a948-f0b5-414c-9314-679b27449fb3;RS;2021-05-01;;Public;National;SR Ускршња субота,DE Ostersamstag (Orthodox),EN Easter Saturday (Orthodox)
0d5c1447-6921-4df8-b532-0c7b2ad82ea0;RS;2021-05-01;2021-05-02;Public;National;SR Празник рада,DE Tag der Arbeit,EN Labour Day
334f1331-5ae3-4282-93d5-21b63a2941af;RS;2021-05-02;;Public;National;SR Ускрс,DE Ostersonntag (Orthodox),EN Easter Sunday (Orthodox)
255d6fb5-47eb-4faf-8331-88a304bc91b8;RS;2021-05-03;;Public;National;SR Ускршњи понедељак,DE Ostermontag (Orthodox),EN Easter Monday (Orthodox)
1e63c936-38c8-4109-a378-e91d9b2cbc68;RS;2021-11-11;;Public;National;SR Дан примирја у Првом светском рату,DE Tag des Waffenstillstands,EN Armistice Day
be646f65-33ce-4530-bb70-73bf23036c65;RS;2022-01-01;2022-01-02;Public;National;SR Нова Година,DE Neujahr,EN New Year's Day
fb4b9053-073c-4f64-91dd-41d8de3b54aa;RS;2022-01-07;;Public;National;SR Први дан Божића,DE Weihnachten (Orthodox),EN Christmas (Orthodox)
fa990735-cae9-46b5-ba8b-02595107feaf;RS;2022-02-15;2022-02-16;Public;National;SR Дан државности Србије,DE Unabhängigkeitstag,EN Sovereignty Day
3a1273f5-2252-4075-858b-c454eaecbd00;RS;2022-04-22;;Public;National;SR Добар петак,DE Karfreitag (Orthodox),EN Good Friday (Orthodox)
b67eb7f5-e95d-44b4-96e0-a00bc3185f9d;RS;2022-04-23;;Public;National;SR Ускршња субота,DE Ostersamstag (Orthodox),EN Easter Saturday (Orthodox)
a9d5806b-089a-4520-8e88-ec177d307871;RS;2022-04-24;;Public;National;SR Ускрс,DE Ostersonntag (Orthodox),EN Easter Sunday (Orthodox)
a10c81ce-ff1d-4e0a-b3c5-001bb977eba2;RS;2022-04-25;;Public;National;SR Ускршњи понедељак,DE Ostermontag (Orthodox),EN Easter Monday (Orthodox)
52395a4c-005b-4bff-a84e-97d06761e62e;RS;2022-05-01;2022-05-02;Public;National;SR Празник рада,DE Tag der Arbeit,EN Labour Day
8405dfa2-1282-4161-b041-9e51c087d91f;RS;2022-11-11;;Public;National;SR Дан примирја у Првом светском рату,DE Tag des Waffenstillstands,EN Armistice Day
