Id;Country;StartDate;EndDate;Type;RegionalScope;Name;
4f4bebfc-ddb8-4026-82ed-cacf31014d8b;RU;2020-01-01;2020-01-06;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
9e480ea4-b9da-4528-8ba9-6254d7a2cbc1;RU;2020-01-07;;Public;National;RU Православное Рождество,DE Geburt Christi (Orthodoxe Weihnachten),EN Nativity of Christ (Orthodox Christmas);
9b7d0c06-4be3-4485-9392-b095a5d460cf;RU;2020-01-08;;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
a780be9c-a4f9-4694-abc2-3ea9c34817b2;RU;2020-02-22;;Public;National;RU День отдыха,DE Ruhetag,EN Day off;
c293b7ae-9915-4f6d-bd52-e51aeaa450ec;RU;2020-02-23;;Public;National;RU День защитника Отечества,DE Tag des Verteidigers des Vaterlandes,EN Defender of the Fatherland Day;
b00fb3d6-a914-4fba-9162-345a5a552b7f;RU;2020-02-24;;Public;National;RU День отдыха,DE Ruhetag,EN Day off;
e129ac0b-5e79-4093-b18e-4104be6abd90;RU;2020-03-07;;Public;National;RU День отдыха,DE Ruhetag,EN Day off;
b766ca97-5cd4-4705-869d-95d8d24450bb;RU;2020-03-08;;Public;National;RU Международный женский день,DE Internationaler Frauentag,EN International Women's Day;
48913c46-195b-4b6a-96db-f90484f65543;RU;2020-03-09;;Public;National;RU День отдыха,DE Ruhetag,EN Day off;
ee8fdb7f-a339-4ff7-b763-438e700c61a8;RU;2020-05-01;;Public;National;RU Праздник Весны и Труда,DE Tag der Arbeit,EN Labour Day;
01a1db7b-764a-41f2-81a0-bd67b2fbb428;RU;2020-05-02;2020-05-05;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
8459ffd5-3ef8-4766-acf1-40534c3310d9;RU;2020-05-09;;Public;National;RU День Победы,DE Tag des Sieges,EN Victory Day;
07123f4b-9f99-42dd-9956-0a7f4aaa3ac2;RU;2020-05-10;2020-05-11;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
cb2337a9-4d6f-45e8-aca3-93beb824f122;RU;2020-06-12;;Public;National;RU День России,DE Russlandtag,EN Russia Day;
99baff4f-1989-4621-b365-042689062a37;RU;2020-06-13;2020-06-14;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
9adb64ce-850d-4c73-b78d-25f24a6267db;RU;2020-11-04;;Public;National;RU День народного единства,DE Tag der nationalen Einheit,EN National Unity Day;
50c4b582-8234-4111-838d-be1ba85b2b4f;RU;2021-01-01;2021-01-06;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
af23f3a2-e92f-4941-b49f-82534ef0db92;RU;2021-01-07;;Public;National;RU Православное Рождество,DE Geburt Christi (Orthodoxe Weihnachten),EN Nativity of Christ (Orthodox Christmas);
7c4c0ca6-b534-4845-b760-7754e5e50af4;RU;2021-01-08;2021-01-10;Public;National;RU Новогодние каникулы,DE Neujahrsferien,EN New Year's Holidays;
2fbf67a1-dbab-4fe6-b9d7-b655af9a084f;RU;2021-02-21;2021-02-22;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
62784d98-cc0f-47cb-8199-4f441bf65964;RU;2021-02-23;;Public;National;RU День защитника Отечества,DE Tag des Verteidigers des Vaterlandes,EN Defender of the Fatherland Day;
a1ce9025-a5b9-44b2-9255-45bb1737dfd4;RU;2021-03-06;2021-03-07;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
36f63434-e2c1-4360-820b-445c33fc6013;RU;2021-03-08;;Public;National;RU Международный женский день,DE Internationaler Frauentag,EN International Women's Day;
a6c3e222-48b5-403a-b3c5-bc26e682f4f0;RU;2021-05-01;;Public;National;RU Праздник Весны и Труда,DE Tag der Arbeit,EN Labour Day;
03b0c459-777f-4f70-831b-96dd92c03d72;RU;2021-05-02;2021-05-03;Public;National;RU Дни отдыха,DE Ruhetage,EN Days off;
bd274a4e-b0da-48e7-a42b-fc88a9324a39;RU;2021-05-08;;Public;National;RU День отдыха,DE Ruhetag,EN Day off;
85795ea0-b7bb-4561-b203-ead73fc62a37;RU;2021-05-09;;Public;National;RU День Победы,DE Tag des Sieges,EN Victory Day;
15131fd2-5870-4cb3-8e80-7ea13aec4bc8;RU;2021-05-10;;Public;National;RU День отдыха,DE Ruhetag,EN Day off;
83ed42ec-384f-432a-807c-24c569635fb5;RU;2021-06-12;;Public;National;RU День России,DE Russlandtag,EN Russia Day;
