Id;Country;StartDate;EndDate;Type;RegionalScope;Name
aa01b665-0a9f-48c0-a655-9853fb4eb5af;SE;2020-01-01;;Public;National;SV Nyårsdagen,DE Neujahr,EN New Year's Day
57a6f1e9-0757-4ff5-a49d-6d72a2124f51;SE;2020-01-06;;Public;National;SV Trettondedag jul,DE Dreikönigsfest,EN Epiphany
0b4f9c8e-d3ea-44ec-8fe4-61711c2aeeb5;SE;2020-04-10;;Public;National;SV Långfredagen,DE Karfreitag,EN Good Friday
909d932c-5eff-4dce-890d-421529ed1016;SE;2020-04-12;;Public;National;SV Påskdagen,DE Ostersonntag,EN Easter Sunday
123a2c9c-490e-4bbf-8153-4d97191e5cc6;SE;2020-04-13;;Public;National;SV Annandag påsk,DE Ostermontag,EN Easter Monday
5e6600f0-3058-4966-8dde-77ae1303ab48;SE;2020-05-01;;Public;National;SV Första maj,DE Tag der Arbeit,EN Labour Day
bbecf665-5693-4f0f-b34d-961c028ff9bd;SE;2020-05-21;;Public;National;SV Kristi himmelsfärds dag,DE Himmelfahrt,EN Ascension Day
86643225-a750-4490-92f1-22b0810f8e77;SE;2020-05-31;;Public;National;SV Pingstdagen,DE Pfingstsonntag,EN Whit Sunday
be8bd581-2075-4d27-95af-cf6c49f40e24;SE;2020-06-06;;Public;National;SV Nationaldagen,DE Nationalfeiertag,EN National Day
45d03d84-a89e-499f-8795-1b9feaa22709;SE;2020-06-20;;Public;National;SV Midsommardagen,DE Mittsommer,EN Midsummer Day
2ad2b2bd-756e-4f2e-9e20-4a906fba3583;SE;2020-10-31;;Public;National;SV Alla helgons dag,DE Allerheiligen,EN All Saints' Day
4cacf042-6b34-4146-b539-671d6e9ce181;SE;2020-12-25;;Public;National;SV Juldagen,DE 1. Weihnachtsfeiertag,EN Christmas Day
2ee6b5d5-1ab9-42b1-9fcd-3ea71961447d;SE;2020-12-26;;Public;National;SV Annandag jul,DE 2. Weihnachtsfeiertag,EN Boxing Day
1d393028-f860-4187-b8be-a762e61f97c8;SE;2021-01-01;;Public;National;SV Nyårsdagen,DE Neujahr,EN New Year's Day
08f8504c-9a54-47c5-aff1-f248f0621c11;SE;2021-01-06;;Public;National;SV Trettondedag jul,DE Dreikönigsfest,EN Epiphany
edb8df36-f978-4aca-af0e-b2d1627fd3be;SE;2021-04-02;;Public;National;SV Långfredagen,DE Karfreitag,EN Good Friday
ad14072d-ef72-4e50-82e7-f91e7e892f5e;SE;2021-04-04;;Public;National;SV Påskdagen,DE Ostersonntag,EN Easter Sunday
7cc0aa80-b9c8-4118-a8cf-a93560412a66;SE;2021-04-05;;Public;National;SV Annandag påsk,DE Ostermontag,EN Easter Monday
100eacfe-2f77-4aab-b215-5505254f0e3f;SE;2021-05-01;;Public;National;SV Första maj,DE Tag der Arbeit,EN Labour Day
