Id;Country;StartDate;EndDate;Type;Name;Subdivisions;
b37ceb2b-1435-4144-84d5-67e3ebc1e9ce;SG;2024-01-01;;Public;EN New Year's Day;;
54d2e037-e0a9-4ee1-a395-c3be16ba722f;SG;2024-02-10;;Public;EN Chinese New Year;;
e6892a83-4323-4686-865c-c20831b2cc49;SG;2024-02-11;;Public;EN Chinese New Year (Second Day);;
59d3f87e-12fc-4946-ae78-414c99732aa2;SG;2024-03-29;;Public;EN Good Friday;;
a8feb27d-f8fc-4086-8a08-9676746e2cff;SG;2024-04-10;;Public;EN Hari Raya Puasa;;
243a666d-7515-47e1-ab7d-ef4379da6236;SG;2024-05-01;;Public;EN Labour Day;;
818e0e35-976d-485d-82f7-c2a29ebed030;SG;2024-05-22;;Public;EN Vesak Day;;
3e550df9-d53f-42be-b5dc-96ecbebc0794;SG;2024-06-17;;Public;EN Hari Raya Haji;;
ab1e28f4-5661-4be7-afa6-1a449017b506;SG;2024-08-09;;Public;EN National Day;;
9f381952-09ad-44c4-9739-b155a60f1355;SG;2024-10-31;;Public;EN Deepavali;;
a95cf703-2b55-4917-b35a-15efe56aec4b;SG;2024-12-25;;Public;EN Christmas Day;;
9236c7ed-9a1f-4dc4-a17f-cfc25383c36c;SG;2025-01-01;;Public;EN New Year's Day;;
410c7812-94cc-4d42-a7d4-678e782e4bc0;SG;2025-01-29;;Public;EN Chinese New Year;;
11210f9f-d20a-449d-af4a-d5dee135e389;SG;2025-01-30;;Public;EN Chinese New Year (Second Day);;
1d13f907-3ae1-479b-8e22-2f3b49706081;SG;2025-03-31;;Public;EN Hari Raya Puasa;;
f496781e-7cef-48f5-8a32-cf91937b9de7;SG;2025-04-18;;Public;EN Good Friday;;
cf039c1d-ff3a-4d3c-b7ee-673150d6c9e4;SG;2025-05-01;;Public;EN Labour Day;;
bfeaf398-d0ae-4fc6-968d-bc9f12f5cd6e;SG;2025-05-12;;Public;EN Vesak Day;;
93247a25-7c60-4988-9959-c70acc783a4e;SG;2025-06-07;;Public;EN Hari Raya Haji;;
7e1c1bad-bac0-49d5-8998-7d1cfac9d173;SG;2025-08-09;;Public;EN National Day;;
bbd10a0e-6504-4574-bc21-34c75e2b2bb3;SG;2025-10-20;;Public;EN Deepavali;;
f78b4f78-7337-4adc-99ae-7fac492382fa;SG;2025-12-25;;Public;EN Christmas Day;;
