Id;Country;StartDate;EndDate;Type;RegionalScope;Name
188c7489-0258-40b6-8a2c-b210b1f5c1f7;SI;2020-01-01;2020-01-02;Public;National;SL novo leto,DE Neujahrsferien,EN New Year Holiday
2d11a4ca-3d5d-454f-8663-2511edc375e6;SI;2020-02-08;;Public;National;SL Prešernov dan,DE Prešeren-Tag,EN Prešeren Day
94e5e904-4d53-49ad-bb1c-d2efab73da4a;SI;2020-04-12;;Public;National;SL velikonočna nedelja,DE Ostersonntag,EN Easter Sunday
d03f4c57-cb03-4f08-9849-91b604085136;SI;2020-04-13;;Public;National;SL velikonočni ponedeljek,DE Ostermontag,EN Easter Monday
fb29400c-432d-4b95-ad1c-2dcbb475056f;SI;2020-04-27;;Public;National;SL dan upora proti okupatorju,DE Tag des Aufstands gegen die Besetzung,EN Day of Uprising Against the Occupation
78f969a0-73ea-46cb-88ff-c87d0ce89960;SI;2020-05-01;;Public;National;SL praznik dela,DE Tag der Arbeit,EN Labour Day
1ce564c4-7789-427e-8719-f7e3c76f911b;SI;2020-05-02;;Public;National;SL praznik dela,DE Tag der Arbeit,EN Labour Day
7ce1f65f-09ca-4cdb-af8f-839e591d6cd1;SI;2020-05-31;;Public;National;SL binkoštna nedelja,DE Pfingstsonntag,EN Whit Sunday
39dc70c9-f542-415c-8960-7c3903045076;SI;2020-06-25;;Public;National;SL dan državnosti,DE Unabhängigkeitstag,EN Statehood Day
8a0f4fd3-b8a4-4b56-ad07-7076f1223dc2;SI;2020-08-15;;Public;National;SL Marijino vnebovzetje,DE Mariä Himmelfahrt,EN Assumption Day
b4213707-199e-4f41-bd7b-7d7b412771b4;SI;2020-10-31;;Public;National;SL dan reformacije,DE Reformationstag,EN Reformation Day
e2016918-a518-49d2-8ca6-02b6ee937e90;SI;2020-11-01;;Public;National;SL dan spomina na mrtve,DE Tag der Toten,EN Day of Remembrance for the Dead
6dbaf544-e3cd-4832-bed5-958473e65964;SI;2020-12-25;;Public;National;SL božič,DE Weihnachten,EN Christmas Day
f9162a56-2ced-474f-a28a-d046f6e23de7;SI;2020-12-26;;Public;National;SL dan samostojnosti in enotnosti,DE Tag der Unabhängigkeit und Einheit,EN Independence and Unity Day
d8b3d7a3-b5b5-410e-b7c2-166f31a798fb;SI;2021-01-01;2021-01-02;Public;National;SL novo leto,DE Neujahrsferien,EN New Year Holiday
322e0019-c69d-4c51-a22e-0085fc78f198;SI;2021-02-08;;Public;National;SL Prešernov dan,DE Prešeren-Tag,EN Prešeren Day
0772c6ae-f374-43df-a851-1590dc42822d;SI;2021-04-04;;Public;National;SL velikonočna nedelja,DE Ostersonntag,EN Easter Sunday
911ee5db-01da-49c7-a233-c60d81d9f786;SI;2021-04-05;;Public;National;SL velikonočni ponedeljek,DE Ostermontag,EN Easter Monday
b9979b36-dee9-4257-9079-f23929e3c25f;SI;2021-04-27;;Public;National;SL dan upora proti okupatorju,DE Tag des Aufstands gegen die Besetzung,EN Day of Uprising Against the Occupation
2cac8347-b9fb-4a65-a6ec-1d4518dadd50;SI;2021-05-01;;Public;National;SL praznik dela,DE Tag der Arbeit,EN Labour Day
ad331903-e877-467b-842a-29dbb20f21ff;SI;2021-05-02;;Public;National;SL praznik dela,DE Tag der Arbeit,EN Labour Day
561fc3ca-d23c-473e-9017-60f91e21d9e9;SI;2021-05-23;;Public;National;SL binkoštna nedelja,DE Pfingstsonntag,EN Whit Sunday
fa6d76f7-32dc-4c81-b7ed-00653c8e2c91;SI;2021-06-25;;Public;National;SL dan državnosti,DE Unabhängigkeitstag,EN Statehood Day
142ccaed-dc3b-4777-94d6-b6f371f29ae1;SI;2021-08-15;;Public;National;SL Marijino vnebovzetje,DE Mariä Himmelfahrt,EN Assumption Day
4f508f22-86fe-422c-adf7-73c5acdc6365;SI;2021-10-31;;Public;National;SL dan reformacije,DE Reformationstag,EN Reformation Day
8ed46905-fc09-4373-b725-b187832bdaab;SI;2021-11-01;;Public;National;SL dan spomina na mrtve,DE Tag der Toten,EN Day of Remembrance for the Dead
6f9c8d2c-8951-493d-9c36-bc58d504b86a;SI;2021-12-25;;Public;National;SL božič,DE Weihnachten,EN Christmas Day
b094d424-9c7c-4d3e-9104-2f8c8dec0284;SI;2021-12-26;;Public;National;SL dan samostojnosti in enotnosti,DE Tag der Unabhängigkeit und Einheit,EN Independence and Unity Day
2a02e7cb-18ab-4836-b206-52be1f2c6933;SI;2022-01-01;2022-01-02;Public;National;SL novo leto,DE Neujahrsferien,EN New Year Holiday
ba091cba-799a-4dfc-bf79-aca13c29fdb8;SI;2022-02-08;;Public;National;SL Prešernov dan,DE Prešeren-Tag,EN Prešeren Day
33957031-0ebe-4fc1-8e13-3f0c1544dace;SI;2022-04-17;;Public;National;SL velikonočna nedelja,DE Ostersonntag,EN Easter Sunday
4af4e2d6-896c-4b26-a6fb-2947c6a2faf8;SI;2022-04-18;;Public;National;SL velikonočni ponedeljek,DE Ostermontag,EN Easter Monday
b41b1b6a-ae6f-4fe3-93d6-78a8d76bbe60;SI;2022-04-27;;Public;National;SL dan upora proti okupatorju,DE Tag des Aufstands gegen die Besetzung,EN Day of Uprising Against the Occupation
7277cf4f-4834-4a51-a739-f3a3815030a1;SI;2022-05-01;;Public;National;SL praznik dela,DE Tag der Arbeit,EN Labour Day
7bef0b92-5787-4879-8ec2-eb2bc70acf98;SI;2022-05-02;;Public;National;SL praznik dela,DE Tag der Arbeit,EN Labour Day
ebd1d667-900c-44c7-8211-6668bc6b535a;SI;2022-06-05;;Public;National;SL binkoštna nedelja,DE Pfingstsonntag,EN Whit Sunday
8fb8aa63-fa81-471f-a3a2-d3ad4d7ecd13;SI;2022-06-25;;Public;National;SL dan državnosti,DE Unabhängigkeitstag,EN Statehood Day
d76c5f22-7d53-4397-8aad-f0f77f8e63fb;SI;2022-08-15;;Public;National;SL Marijino vnebovzetje,DE Mariä Himmelfahrt,EN Assumption Day
