Id;Country;StartDate;EndDate;Type;RegionalScope;Name
d36ac5bb-2876-46d3-93c2-2b944a28f165;VA;2020-01-01;;Public;National;IT Maria Santissima Madre di Dio,EN Solemnity of Mary%2C Mother of God,DE Heilige Maria%2C Mutter Gottes
9530b6c4-7b8f-4a57-ae5c-b84a5f292fed;VA;2020-01-06;;Public;National;IT Epifania del Signore,EN Epiphany,DE Heilige Drei Könige
5dec2c3c-0d91-4d9d-b6f4-693e405e3ef3;VA;2020-02-11;;Public;National;IT Anniversario della istituzione dello Stato della Città del Vaticano,EN Anniversary of the foundation of Vatican City,DE Jahrestag der Gründung der Vatikanstadt
1216665d-a1bb-486e-a4e8-b98db0072994;VA;2020-03-13;;Public;National;IT Anniversario dell'Elezione del Santo Padre,EN Anniversary of the election of Pope Francis,DE Jahrestag der Amtseinführung von Papst Franziskus
512ceb32-4ce6-4ea1-a183-c3e1b146ced5;VA;2020-03-19;;Public;National;IT San Giuseppe,EN Saint Joseph,DE Heiliger Josef
2bf21895-1cd2-4b96-913c-864370c1e711;VA;2020-04-09;;Public;National;IT Giovedì santo,EN Maundy Thursday,DE Gründonnerstag
86f70428-5ed4-49cf-8ccb-c09d1247f42f;VA;2020-04-10;;Public;National;IT Venerdì santo,EN Good Friday,DE Karfreitag
86399c3d-5c42-4414-a9cc-24cd15d3c1a9;VA;2020-04-11;;Public;National;IT Sabato di Pasqua,EN Easter Saturday,DE Ostersamstag
7da7bf98-a4c1-478e-9e76-2a32b3750bd9;VA;2020-04-12;;Public;National;IT Domenica di Pasqua,EN Easter Sunday,DE Ostersonntag
9ee3c31e-cee4-4a8a-8889-53409a0eb353;VA;2020-04-13;;Public;National;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag
c3013e5a-b847-4328-8433-2c1619faf020;VA;2020-04-14;;Public;National;IT Martedì di Pasqua,EN Easter Tuesday,DE Osterdienstag
7c013dc6-9211-4ae4-b67e-905eacb7cca1;VA;2020-04-23;;Public;National;IT Onomastico del Santo Padre,EN Saint George,DE Georgstag
7ecba843-6a45-4184-b2db-51c7865517b3;VA;2020-05-01;;Public;National;IT San Giuseppe lavoratore,EN Saint Joseph the Worker,DE Josef der Arbeiter
9e7a5648-de38-4d5e-8481-5a95b0503b89;VA;2020-06-29;;Public;National;IT Santi Pietro e Paolo,EN Saints Peter and Paul,DE Heiligen Petrus und Paulus
aa253f7a-f807-43f9-a109-89dbaee7c65d;VA;2020-08-14;;Public;National;IT Vigilia dell'Assunzione di Maria in Cielo,EN Vigil of the Assumption,DE Vorabend Mariä Himmelfahrt
9aef767f-1061-49cc-9735-7b5805458cb4;VA;2020-08-15;;Public;National;IT Assunzione di Maria in Cielo,EN Assumption Day,DE Mariä Himmelfahrt
b96f5e7b-9150-4886-850a-cd48081f2924;VA;2020-08-16;;Public;National;IT Santo Stefano d'Ungheria,EN Saint Stephen of Hungary,DE Heiliger Stefan von Ungarn
6d6b1ef0-b100-49ec-96c8-1019eb51f8fc;VA;2020-09-08;;Public;National;IT Festa della natività della madonna,EN Nativity of Mary,DE Allerheiligen
3de534dd-0606-4740-aa3d-19bd147c2cd1;VA;2020-11-01;;Public;National;IT Tutti i santi%2C Ognissanti,EN All Saints’ Day,DE Allerheiligen
aba18a3f-9c19-4ad9-8153-dea7f0a6612a;VA;2020-11-02;;Public;National;IT Giorno dei morti,EN All Souls’ Day,DE Allerseelen
932a935f-d7c4-4a57-bb2a-cc874149b1c9;VA;2020-12-08;;Public;National;IT Immacolata Concezione,EN Immaculate Conception,DE Unbefleckte Empfängnis
b0f75848-4d18-421f-8522-e508a705e720;VA;2020-12-24;;Public;National;IT Vigilia di Natale,EN Christmas Eve,DE Heiligabend
3c8d2195-74e4-48e8-a296-491c611fd977;VA;2020-12-25;;Public;National;IT Natale,EN Christmas Day,DE Weihnachten
c0867e65-06b5-4338-8561-fcfb03171330;VA;2020-12-26;;Public;National;IT Santo Stefano,EN Saint Stephen's Day,DE Stefanitag
aedfc6ec-2e33-4176-b453-ac53c0acdd0b;VA;2020-12-27;;Public;National;IT San Giovanni Evangelista,EN Saint John the Evangelist,DE Johannes der Evangelist
c26662ad-8399-4385-8081-f19d5499637f;VA;2020-12-26;;Public;National;IT Silvestro,EN New Year's Eve,DE Sylvester
fe5ce0b0-1458-42e7-a1b7-1ac2b15b5ff3;VA;2021-01-01;;Public;National;IT Maria Santissima Madre di Dio,EN Solemnity of Mary%2C Mother of God,DE Heilige Maria%2C Mutter Gottes
a0267d51-2d8b-4e90-9f69-a8a30e09fbeb;VA;2021-01-06;;Public;National;IT Epifania del Signore,EN Epiphany,DE Heilige Drei Könige
90abc996-c085-4b0d-8770-734073dcb262;VA;2021-02-11;;Public;National;IT Anniversario della istituzione dello Stato della Città del Vaticano,EN Anniversary of the foundation of Vatican City,DE Jahrestag der Gründung der Vatikanstadt
fb22c1d9-2e90-4598-9034-32a8bc7b5846;VA;2021-03-13;;Public;National;IT Anniversario dell'Elezione del Santo Padre,EN Anniversary of the election of Pope Francis,DE Jahrestag der Amtseinführung von Papst Franziskus
31d58e2d-2f5c-4130-b3e9-2f660c209f13;VA;2021-03-19;;Public;National;IT San Giuseppe,EN Saint Joseph,DE Heiliger Josef
358317b4-85a4-4834-9373-c69b178ff9cc;VA;2021-04-01;;Public;National;IT Giovedì santo,EN Maundy Thursday,DE Gründonnerstag
3e69d948-c89c-4ca3-bbd1-7ba57defe1c1;VA;2021-04-02;;Public;National;IT Venerdì santo,EN Good Friday,DE Karfreitag
e3e2bdf2-b98d-4919-8e2e-281686aca61f;VA;2021-04-03;;Public;National;IT Sabato di Pasqua,EN Easter Saturday,DE Ostersamstag
a30a67f8-2a6a-4a12-b313-f5e1c91ab9de;VA;2021-04-04;;Public;National;IT Domenica di Pasqua,EN Easter Sunday,DE Ostersonntag
fa4bb87c-dfe6-4fe8-9805-8464d6e0cebd;VA;2021-04-05;;Public;National;IT Lunedì di Pasqua,EN Easter Monday,DE Ostermontag
6c16dbe0-488f-4fd9-b62f-9feac207e778;VA;2021-04-06;;Public;National;IT Martedì di Pasqua,EN Easter Tuesday,DE Osterdienstag
c0945b2f-4ae7-4237-ad53-66f8c127ca0c;VA;2021-04-23;;Public;National;IT Onomastico del Santo Padre,EN Saint George,DE Georgstag
d4841b5b-7b10-46b9-84cf-8c64d64b3414;VA;2021-05-01;;Public;National;IT San Giuseppe lavoratore,EN Saint Joseph the Worker,DE Josef der Arbeiter
e40ad11d-e0c4-48dd-89cb-ab9c91e2cc7c;VA;2021-06-29;;Public;National;IT Santi Pietro e Paolo,EN Saints Peter and Paul,DE Heiligen Petrus und Paulus
b9cf7be4-d362-42f6-93e4-94025f72ae24;VA;2021-08-14;;Public;National;IT Vigilia dell'Assunzione di Maria in Cielo,EN Vigil of the Assumption,DE Vorabend Mariä Himmelfahrt
0a49a4ac-eb8c-44e7-89c7-cd95dff5cf35;VA;2021-08-15;;Public;National;IT Assunzione di Maria in Cielo,EN Assumption Day,DE Mariä Himmelfahrt
526fc4ff-3c99-4a5c-bf07-432755374977;VA;2021-08-16;;Public;National;IT Santo Stefano d'Ungheria,EN Saint Stephen of Hungary,DE Heiliger Stefan von Ungarn
c9322e71-e8c7-4edc-b0d1-c84887224bf6;VA;2021-09-08;;Public;National;IT Festa della natività della madonna,EN Nativity of Mary,DE Allerheiligen
1e80c0a6-3e93-4def-96d4-f3c689976b48;VA;2021-11-01;;Public;National;IT Tutti i santi%2C Ognissanti,EN All Saints’ Day,DE Allerheiligen
d8555841-5130-4f18-b938-c07cfdefa549;VA;2021-11-02;;Public;National;IT Giorno dei morti,EN All Souls’ Day,DE Allerseelen
54d09568-7924-4710-a1d9-8b84079969bc;VA;2021-12-08;;Public;National;IT Immacolata Concezione,EN Immaculate Conception,DE Unbefleckte Empfängnis
09d849de-3aa6-4a8b-9eb7-af47c30ae332;VA;2021-12-24;;Public;National;IT Vigilia di Natale,EN Christmas Eve,DE Heiligabend
9855ae3d-d832-49df-8cce-fc4bdf24b796;VA;2021-12-25;;Public;National;IT Natale,EN Christmas Day,DE Weihnachten
46d00b8a-8fa5-4b5f-9c3b-9e8852a45416;VA;2021-12-26;;Public;National;IT Santo Stefano,EN Saint Stephen's Day,DE Stefanitag
c394a25f-569e-4cbc-a33f-c0172afeb659;VA;2021-12-27;;Public;National;IT San Giovanni Evangelista,EN Saint John the Evangelist,DE Johannes der Evangelist
be707f76-03e3-4c7d-9e31-bc549ba59e71;VA;2021-12-26;;Public;National;IT Silvestro,EN New Year's Eve,DE Sylvester
fcea7f49-5456-452a-b7ca-bd7f19338e66;VA;2022-01-01;;Public;National;IT Maria Santissima Madre di Dio,EN Solemnity of Mary%2C Mother of God,DE Heilige Maria%2C Mutter Gottes
abb4e08e-a05b-4bc8-8b8a-c4e28c1b36f8;VA;2022-01-06;;Public;National;IT Epifania del Signore,EN Epiphany,DE Heilige Drei Könige
