Id;Country;StartDate;EndDate;Type;RegionalScope;Name
4550ec8a-6587-47e9-a55d-9d9eeb2c5dd6;ZA;2020-01-01;;Public;National;EN New Year’s Day,DE Neujahrstag
306930ff-d008-4d5a-abcb-faa405ae6e62;ZA;2020-03-21;;Public;National;EN Human Rights Day,DE Tag der Menschenrechte
42b2355c-4c82-4ecd-ad16-132b7b4aef58;ZA;2020-04-10;;Public;National;EN Good Friday,DE Karfreitag
3b0928b0-af69-4f5c-8aaa-0ea75493babb;ZA;2020-04-13;;Public;National;EN Family Day,DE Tag der Familie
32fbf3b8-4961-4df5-b39f-391d84e50d24;ZA;2020-04-27;;Public;National;EN Freedom Day,DE Tag der Freiheit
7ea520a0-ef32-494a-b2ca-2380f1b5f3e9;ZA;2020-05-01;;Public;National;EN Workers' Day,DE Tag der Arbeit
9b1a6c98-7551-4d31-870a-fb0482074a69;ZA;2020-06-16;;Public;National;EN Youth Day,DE Tag der Jugend
efd843e4-00c2-4798-9727-f3b84c521eee;ZA;2020-08-09;;Public;National;EN National Women's Day,DE Nationaler Frauentag
b4d45be8-6035-42ea-935a-13252c820aab;ZA;2020-09-24;;Public;National;EN Heritage Day,DE Tag des Kulturerbes
efd8f801-d48b-46db-8f69-be2df31b4886;ZA;2020-12-16;;Public;National;EN Day of Reconciliation,DE Versöhnungstag
33e41d38-ab19-4631-b94b-09bb8a327887;ZA;2020-12-25;;Public;National;EN Christmas Day,DE Weihnachtstag
e45dd9a1-00e3-40d7-ba10-6ef35154164e;ZA;2020-12-26;;Public;National;EN Day of Goodwill,DE Tag des gegenseitigen Verständnisses
19b225d9-9eb4-421a-9186-2f545581b37e;ZA;2021-01-01;;Public;National;EN New Year’s Day,DE Neujahrstag
0dc05d50-76f1-45e2-8285-e255f6537cc3;ZA;2021-03-21;;Public;National;EN Human Rights Day,DE Tag der Menschenrechte
2c98e2c5-0e43-43d9-9f31-5a902d39749a;ZA;2021-03-22;;Public;National;EN Human Rights Day observed,DE Montag nach Tag der Menschenrechte
79224b9f-6821-497d-be77-8b185926d5ad;ZA;2021-04-02;;Public;National;EN Good Friday,DE Karfreitag
afbd1bc1-ed1a-4f23-b8a1-1a5004f14fe2;ZA;2021-04-05;;Public;National;EN Family Day,DE Tag der Familie
89ac883e-d653-40ed-b1e7-b5e5f700ea55;ZA;2021-04-27;;Public;National;EN Freedom Day,DE Tag der Freiheit
f2fa9794-064c-489f-90f2-be00a8997905;ZA;2021-05-01;;Public;National;EN Workers' Day,DE Tag der Arbeit
756c9b8d-aed0-443b-bf36-f6ab6f7dbbe0;ZA;2021-06-16;;Public;National;EN Youth Day,DE Tag der Jugend
e0456a5b-b65c-4a7a-8ede-6fead03ac696;ZA;2021-08-09;;Public;National;EN National Women's Day,DE Nationaler Frauentag
a7fae5f0-2b59-4bfe-93c7-d41ee82355f8;ZA;2021-09-24;;Public;National;EN Heritage Day,DE Tag des Kulturerbes
5b6f4e27-1812-461e-af47-671df4e62fcd;ZA;2021-12-16;;Public;National;EN Day of Reconciliation,DE Versöhnungstag
237d54b5-4a89-4e1a-8e53-301692d494eb;ZA;2021-12-25;;Public;National;EN Christmas Day,DE Weihnachtstag
